aminoacid	AAs	molar_percent	MW	weight_AA	mass_percent
Alanine	65	0.075057737	0.0710779	4.6200635	0.049199759
Arginine	25	0.02886836	0.1561011	3.9025275	0.041558609
Asparagine	36	0.041570439	0.1140429	4.1055444	0.043720567
Aspartic acid	44	0.050808314	0.1150269	5.0611836	0.053897314
Cysteine	16	0.018475751	0.1030092	1.6481472	0.01755137
Glutamine	33	0.038106236	0.1280585	4.2259305	0.045002576
Glutamic acid	49	0.056581986	0.1290425	6.3230825	0.067335467
Glycine	57	0.065819861	0.0570214	3.2502198	0.034612085
Histidine	19	0.021939954	0.1370589	2.6041191	0.02773166
Isoleucine	27	0.031177829	0.113084	3.053268	0.032514715
Leucine	66	0.076212471	0.113084	7.463544	0.079480415
Lysine	52	0.060046189	0.1280949	6.6609348	0.070933307
Methionine	7	0.008083141	0.1310405	0.9172835	0.009768291
Phenylalanine	32	0.036951501	0.1470684	4.7061888	0.05011692
Proline	54	0.062355658	0.0970527	5.2408458	0.055810564
Serine	101	0.116628176	0.087032	8.790232	0.093608517
Threonine	67	0.077367206	0.1010476	6.7701892	0.072096774
Tryptophan	11	0.012702079	0.18607931	2.04687241	0.021797456
Tyrosine	33	0.038106236	0.1630633	5.3810889	0.057304034
Valine	72	0.083140878	0.0990684	7.1329248	0.075959601
