Target reaction: r_2051

Down targets	Bio lb	Bio ub	Target lb	Target ub
r_0005	0.059265	0.059265	0.006585	0.006585
r_0006	0.019801	0.019801	0.002200	0.002200
r_0014	0.000079	0.000079	0.000009	0.000009
r_0015	0.000079	0.000079	0.000009	0.000009
r_0038	0.000158	0.000158	0.000018	0.000018
r_0045	0.000481	0.000481	0.000053	0.000053
r_0058	0.000481	0.000481	0.000053	0.000053
r_0157	0.041727	0.041727	0.004636	0.004636
r_0209	0.014615	0.014615	0.001624	0.001624
r_0212	0.009249	0.009249	0.001028	0.001028
r_0220	0.027057	0.027057	0.003006	0.003006
r_0304	0.000000	0.000000	0.000000	0.000000
r_0313	0.000600	0.000600	0.000067	0.000067
r_0346	0.000005	0.000005	0.000001	0.000001
r_0347	0.000005	0.000005	0.000001	0.000001
r_0361	0.056290	0.056290	0.006254	0.006254
r_0362	0.056290	0.056290	0.006254	0.006254
r_0436	0.000000	0.000000	0.000000	0.000000
r_0438	7.410118	10.277446	4.473881	6.915903
r_0439	3.705059	5.138723	2.229048	3.457952
r_0440	0.000001	0.000001	0.000000	0.000000
r_0478	0.009586	0.009586	0.001065	0.001065
r_0479	0.027448	0.027448	0.003050	0.003050
r_0512	0.026411	0.026411	0.002935	0.002935
r_0524	0.000005	0.000005	0.000001	0.000001
r_0525	0.000079	0.000079	0.000009	0.000009
r_0530	0.000000	0.000000	0.000000	0.000000
r_0531	0.000000	0.000000	0.000000	0.000000
r_0539	0.006030	0.006030	0.000670	0.000670
r_0557	0.000000	0.000000	0.000000	0.000000
r_0665	0.017526	0.017526	0.001947	0.001947
r_0671	0.000481	0.000481	0.000053	0.000053
r_0701	0.026957	0.026957	0.002995	0.002995
r_0711	0.026029	0.026029	0.002892	0.002892
r_0722	0.056290	0.056290	0.006254	0.006254
r_0729	0.004611	0.004611	0.000512	0.000512
r_0768	0.000481	0.000481	0.000053	0.000053
r_0785	0.000481	0.000481	0.000053	0.000053
r_0786	0.000481	0.000481	0.000053	0.000053
r_0852	0.012178	0.012178	0.001353	0.001353
r_0935	0.000000	0.000000	0.000000	0.000000
r_0941	0.014979	0.014979	0.001664	0.001664
r_0942	0.000000	0.000000	0.000000	0.000000
r_0967	0.000158	0.000158	0.000018	0.000018
r_0968	0.000079	0.000079	0.000009	0.000009
r_0995	0.016862	0.016862	0.001874	0.001874
r_1042	0.017408	0.017408	0.001934	0.001934
r_1057	0.002583	0.002583	0.000287	0.000287
r_1066	0.009277	0.009277	0.001031	0.001031
r_1081	0.000000	0.000000	0.000000	0.000000
r_1083	0.000000	0.000000	0.000000	0.000000
r_1089	0.024065	0.024065	0.002674	0.002674
r_2114	0.000481	0.000481	0.000053	0.000053
r_1178	0.000002	0.000002	0.000000	0.000000
r_1179	0.000000	0.000000	0.000000	0.000000
r_1249	0.000287	0.000287	0.000032	0.000032
r_1260	-0.046959	0.000000	-0.370461	-0.370461
r_1606	0.000005	0.000005	0.000001	0.000001
r_1738	0.000005	0.000005	0.000001	0.000001
r_1766	0.000000	0.000000	0.000000	0.000000
r_1814	0.000005	0.000005	0.000001	0.000001
r_1978	1.852530	2.569362	1.118470	1.728976
r_1979	1.895915	2.612747	1.123291	1.733797
r_2022	0.000000	0.000000	0.000000	0.000000
r_2030	0.000079	0.000079	0.000009	0.000009
r_2108	0.079177	0.079177	0.008797	0.008797
r_2111	0.079177	0.079177	0.008797	0.008797
r_3958	0.000000	0.000000	-0.000000	-0.000000
r_3973	0.000539	0.000539	0.000060	0.000060
r_3987	0.000471	0.000471	0.000052	0.000052
r_3996	0.002041	0.002041	0.000227	0.000227
r_4005	0.000549	0.000549	0.000061	0.000061
r_4038	0.000543	0.000543	0.000060	0.000060
r_4040	0.000000	0.000000	0.000000	0.000000
r_4041	0.079177	0.079177	0.008797	0.008797
r_4047	0.079177	0.079177	0.008797	0.008797
r_4048	0.079177	0.079177	0.008797	0.008797
r_4049	0.079177	0.079177	0.008797	0.008797
r_4050	0.079177	0.079177	0.008797	0.008797
r_4063	0.079177	0.079177	0.008797	0.008797
r_4065	0.079177	0.079177	0.008797	0.008797
