genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
YMR205C	P16862	PFK2	104.61673	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	OE	1.24609750965711	essential	2	3.86640515589531e-07	6.95322382669216e-07	6.95312541672203e-07	1	9	0	1	1.00685159327054	1.03370930717204	0.0541694385110968
YDR516C	Q04409	EMI2	55.92028	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	1.00034962496872	essential	2	2.22093359635875e-08	1.86179422647325e-07	1.86101209884525e-07	1	4	0	1	1.00088697405446	1.00426480727475	0
YER062C	P40106	GPP2	27.8134	sce00561  Glycerolipid metabolism	OE	1000	opt_isoenz_tight	2	0	2.02415435419617e-05	2.0241163149022e-05	1	7	0	2	1.0489566936052	1.28808814845165	0.444953026928276
YBL039C	P28274	URA7	64.70953	sce00240  Pyrimidine metabolism	KD	0.289645038969741	subOpt_isoenz	0	0	4.15276402273603e-08	0	0	12	3	2	0.999999999999999	0.999999999999989	0
YER070W	P21524	RNR1	99.56021	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	KD	0.282078003848933	subOpt_isoenz	0	0	4.8726897333918e-07	0	0	24	4	2	1	0.999999999999993	0
YIL066C	P21672	RNR3	97.51369	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	KD	0.282078003848933	subOpt_isoenz	0	0	4.87268973341374e-07	0	0	24	4	2	1	0.999999999999998	0
YJL026W	P09938	RNR2	46.14681	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	KD	0.282078003848933	subOpt_isoenz	0	0	4.87268973341771e-07	0	0	24	4	2	0.999999999999999	0.999999999999989	0
YBR218C	P32327	PYC2	130.16549	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KD	0.27261619054949	subOpt_isoenz	0	0	5.54746139320456e-07	0	0	8	6	2	0.999999999999999	0.999999999999991	0
YNR019W	P53629	ARE2	74.022	sce00100  Steroid biosynthesis	KD	0.207585615185077	subOpt_isoenz	0	0	0.00113738081072657	0	1	84	0	2	1	1	0
YOR245C	Q08650	DGA1	47.71075	sce00561  Glycerolipid metabolism	KD	0.164378422777615	subOpt_isoenz	0	0	1.01683650753915e-07	0	1	122	0	2	1	0.999999999999991	0
YBR117C	P33315	TKL2	75.02862	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KO	0.000897929872366745	subOpt_isoenz	0	0	0.00112217681421836	0	1	10	0	2	0.999999999999998	0.999999999999989	0
YLR438W	P07991	CAR2	46.08557	sce00330  Arginine and proline metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	KO	0	subOpt_isoenz	0	0	2.48794445517253e-08	0	1	4	0	2	0.999999999999999	0.999999999999989	0
YHR163W	P38858	SOL3	27.78417	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KO	0	subOpt_isoenz	0	0	1.27355566543215e-09	0	0	5	8	3	1.00054781423891	1.00263064187776	0
YHR183W	P38720	GND1	53.54274	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KO	0	subOpt_isoenz	0	0	3.49877757418225e-10	0	0	6	9	3	1.00029529279367	1.00141665703273	0
YOR120W	P14065	GCY1	35.07875	sce00561  Glycerolipid metabolism	KO	0	flux_leak	0	0	0	0	1	0	0	1	1	0.999999999999995	0
YHL032C	P32190	GUT1	79.82359	sce00561  Glycerolipid metabolism	KO	0	flux_leak	0	0	0	0	1	0	0	1	1	0.999999999999993	0
