genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz	2	0	1.86630816484454e-09	1.51086591833632e-09
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz	2	0	2.41928952472191e-10	1.95853082201373e-10
YBR117C	P33315	TKL2	75.02862	1	38.8996942608601	subOpt_isoenz	2	0	0.00083494040079317	0
YPR074C	P23254	TKL1	73.80488	1	32.8787282069419	opt_isoenz	2	0	0.000848783903877702	8.73556040322455e-07
YDL141W	P48445	BPL1	76.36203	2	11.4375024679296	tightly_const	2	5.00465125486009e-10	5.00465592860038e-10	5.00465125486009e-10
YNR016C	Q00955	ACC1	250.35091	2	11.4375024679296	tightly_const	2	6.89318788419454e-06	6.89320944454882e-06	6.89318788419458e-06
YAL054C	Q01574	ACS1	79.13997	1	11.3084953717971	subOpt_isoenz	2	0	4.06302979291727e-06	0
YGR087C	P26263	PDC6	61.57964	1	11.3084953717971	subOpt_isoenz	2	0	4.08921628362576e-06	0
YLR044C	P06169	PDC1	61.49468	2	11.3084953717971	opt_isoenz_tight	2	0	1.7484923019091e-06	1.74847377555256e-06
YLR134W	P16467	PDC5	61.91138	1	11.3084953717971	subOpt_isoenz	2	0	4.08921630900344e-06	0
YLR153C	P52910	ACS2	75.49079	2	11.3084953717971	opt_isoenz_tight	2	0	4.06302903844188e-06	4.06296015839376e-06
YPL061W	P54115	ALD6	54.41344	2	11.3084953717971	tightly_const	2	1.15237795697122e-05	1.15241807745408e-05	1.1524058668723e-05
YJL121C	P46969	RPE1	25.96689	1	8.79486399126897	essential	2	5.30953407587631e-07	0.00241051987042455	5.3106086352996e-07
YGR248W	P53315	SOL4	28.44737	1	4.83612227333245	subOpt_isoenz	2	0	9.6166494277144e-06	0
YGR256W	P53319	GND2	53.92235	1	4.83612227333245	subOpt_isoenz	2	0	2.64193536247147e-06	0
YHR163W	P38858	SOL3	27.78417	2	4.83612227333245	opt_isoenz_tight	2	0	9.61664942770883e-06	9.61632980981242e-06
YHR183W	P38720	GND1	53.54274	2	4.83612227333245	opt_isoenz_tight	2	0	2.64193536247026e-06	2.6418475554014e-06
YNL241C	P11412	ZWF1	57.5209	2	4.83612227333245	tightly_const	2	1.51935683111726e-07	1.51969622392997e-07	1.51964584354921e-07
YNL036W	P53615	NCE103	24.85889	1	3.15647639721085	opt_isoenz	2	0	0.00251740577648163	2.78821265013194e-10
YOR095C	Q12189	RKI1	28.25777	1	2.65267179050842	essential	2	3.73524969977897e-06	0.00221834347712602	3.73588492176822e-06
YDR226W	P07170	ADK1	24.2546	1	1.97835587887349	subOpt_isoenz	2	0	5.93709245795428e-06	0
YAL038W	P00549	CDC19	54.54404	2	1.90388094349282	opt_isoenz_tight	2	0	1.45842060756234e-06	1.45840208118632e-06
YOR347C	P52489	PYK2	55.19478	1	1.90388094349282	subOpt_isoenz	2	0	1.45842060756234e-06	0
YGR254W	P00924	ENO1	46.81564	1	1.78712509324122	opt_isoenz	2	0	0.00133823741144564	1.50485565752453e-06
YHR174W	P00925	ENO2	46.91368	1	1.78712509324122	subOpt_isoenz	2	0	0.00133543905814096	0
YKL152C	P00950	GPM1	27.60828	1	1.78712509324122	subOpt_isoenz	2	0	0.00226710137310174	0
YMR323W	P42222	ERR3	47.31216	1	1.78712509324122	subOpt_isoenz	2	0	0.00132419095586131	0
YOR393W	P0CX10	ERR1	47.32712	1	1.78712509324122	subOpt_isoenz	2	0	0.00132377406056809	0
YPL281C	P0CX11	ERR2	47.32712	1	1.78712509324122	subOpt_isoenz	2	0	0.00132377406056804	0
YOR283W	Q12040	YOR283W	26.17622	1	1.78712509324122	opt_isoenz	2	0	0.00239113442758755	4.1550653005865e-07
YMR267W	P28239	PPA2	35.57213	2	1.57833949226933	tightly_const	2	1.24280301488585e-06	1.24285275795282e-06	1.24283402150774e-06
YCL040W	P17709	GLK1	55.37689	1	1.21808081225611	subOpt_isoenz	2	0	7.95932395249293e-07	0
YGL253W	P04807	HXK2	53.9419	1	1.21808081225611	subOpt_isoenz	2	0	1.72127382077181e-06	0
YLR446W	Q06204	YLR446W	48.96875	1	1.21808081225611	subOpt_isoenz	2	0	0.00013058978918373	0
YFR053C	P04806	HXK1	53.73784	1	1.2180808122561	opt_isoenz	2	0	7.95932415360285e-07	7.8460020357744e-10
YCR012W	P00560	PGK1	44.73787	1	1.14239140583946	essential	2	8.57478948257132e-07	0.00139967004365867	8.57478948257201e-07
YGR192C	P00359	TDH3	35.74626	1	1.14239140583946	subOpt_isoenz	2	0	0.00176653966476076	0
YJL052W	P00360	TDH1	35.74956	1	1.14239140583946	opt_isoenz	2	0	0.00176637659725068	1.58692734936984e-05
YJR009C	P00358	TDH2	35.84645	1	1.14239140583946	subOpt_isoenz	2	0	0.00176160665557579	0
YDR050C	P00942	TPI1	26.79508	1	1.05560487361788	essential	2	2.48684926431131e-08	0.0023355242105628	2.48685571243706e-08
YGR240C	P16861	PFK1	107.96906	1	1.04998797382841	subOpt_isoenz	2	0	3.36727605218646e-07	0
YKL060C	P14540	FBA1	39.62024	1	1.04998797382841	subOpt_isoenz	2	0	0.00158179018789403	0
YMR205C	P16862	PFK2	104.61673	2	1.04998797382841	essential	2	3.3671644707907e-07	6.05543283234999e-07	6.0552428815816e-07
YOR222W		ODC2	NaN	0	0.293666280488554		0	NaN	NaN	NaN
YPL134C		ODC1	NaN	0	0.293666280488554		0	NaN	NaN	NaN
YBR218C	P32327	PYC2	130.16549	0	0.293604031275637	subOpt_isoenz	0	0	5.54843417258696e-07	0
YGL062W	P11154	PYC1	130.09827	0	0.293604031275635	opt_isoenz_tight	0	0	5.54843417261393e-07	5.54314672570062e-07
YKL067W	P36010	YNK1	17.16647	0	0.2934914613247	essential	0	9.97227239327664e-08	0.00364556842383061	9.9722757155255e-08
YOL126C	P22133	MDH2	40.7305	0	0.293105163081304	essential	0	1.71568062192591e-09	0.00153644091089898	1.71615820885302e-09
YPR021C		AGC1	NaN	0	0.292040994145998		0	NaN	NaN	NaN
YKL029C	P36013	MAE1	74.37529	0	0.291246995580546	tightly_const	0	3.55573815775398e-08	3.58246772998617e-08	3.55879257927188e-08
YER069W	Q01217	ARG5,6	94.86823	0	0.291244509432202	tightly_const	0	1.23645780844878e-06	1.24245324506649e-06	1.23752090401903e-06
YMR062C	Q04728	ARG7	47.84821	0	0.291244509432202	essential	0	2.71333511254948e-07	0.0013081564698694	2.71566801403228e-07
YOL140W	P18544	ARG8	46.68082	0	0.291244509432202	tightly_const	0	3.07119667789209e-06	3.08608854471422e-06	3.0738372658372e-06
YOR130C		ORT1	NaN	0	0.291244509432202		0	NaN	NaN	NaN
YLR438W	P07991	CAR2	46.08557	0	0.288555937040499	tightly_const	0	2.46412461806243e-08	2.48783538542647e-08	2.46832895074113e-08
YBR029C	P38221	CDS1	51.82218	0	0.2781627992595	essential	0	7.35531973808917e-08	0.00120766293515994	7.3554180645688e-08
YOR175C	Q08548	ALE1	72.22714	0	0.265001528774584	essential	0	1.55725788279362e-08	2.21992190168224e-08	2.2172052349836e-08
YDL052C	P33333	SLC1	33.88654	0	0.239388049981172	subOpt_isoenz	0	0	2.97211162842204e-06	0
YCR048W	P25628	ARE1	71.61215	0	0.220003558117869	opt_isoenz	0	0	0.000873872605891218	1.9670167838932e-11
YDR503C	Q04396	LPP1	31.58604	0	0.207961799698949	opt_isoenz	0	0	9.79789711313248e-10	9.53795898879539e-10
YNR019W	P53629	ARE2	74.022	0	0.207585615220138	subOpt_isoenz	0	0	0.000845423472072847	0
YOR245C	Q08650	DGA1	47.71075	0	0.164378422830207	subOpt_isoenz	0	0	1.01733999424476e-07	0
