genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YGR155W	P32582	CYS4	56.02121	sce00260  Glycine, serine and threonine metabolism sce00270  Cysteine and methionine metabolism sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	17.2243149064326	tightly_const	2	1.18576423238922e-07	1.18747257336858e-07	1.18656388135448e-07	1	4	0	1
YNL247W	P53852	YNL247W	87.52914	sce00970  Aminoacyl-tRNA biosynthesis	2	17.2243149064325	tightly_const	2	2.4768059618948e-07	2.47680606125417e-07	2.4768059618948e-07	1	6	0	1
YJL121C	P46969	RPE1	25.96689	sce00030  Pentose phosphate pathway sce00040  Pentose and glucuronate interconversions sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	10.3851988274092	essential	2	6.2305766439697e-07	0.00292928640358303	6.23165120339044e-07	1	2	0	1
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	6.42467384731523	tightly_const	2	1.98260628026176e-07	1.98294589077152e-07	1.98289538230997e-07	1	5	0	1
YDR007W	P00912	TRP1	24.14425	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.53930430000695	tightly_const	2	5.34638747504612e-08	5.34697524069217e-08	5.34638747504612e-08	1	2	0	1
YDR354W	P07285	TRP4	41.37402	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.53930430000695	tightly_const	2	1.27207251016524e-06	1.27221235796362e-06	1.27207251016524e-06	1	4	0	1
YER090W	P00899	TRP2	56.76706	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.53930430000695	tightly_const	2	6.36036255082622e-06	6.36047319215344e-06	6.36036255082622e-06	1	6	0	1
YGL026C	P00931	TRP5	76.62516	sce00260  Glycine, serine and threonine metabolism sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.53930430000695	tightly_const	2	4.75540777769816e-09	4.75593057283494e-09	4.75540777769816e-09	1	5	0	1
YKL211C	P00937	TRP3	53.48881	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.53930430000695	tightly_const	2	6.69270562781796e-06	6.69282205040313e-06	6.69270562781796e-06	1	10	0	1
YOL097C	Q12109	WRS1	49.34966	sce00970  Aminoacyl-tRNA biosynthesis	2	5.53930430000695	tightly_const	2	2.63501246494159e-06	2.63501277948366e-06	2.63501246494159e-06	1	6	0	1
