genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10049928576044e-07	2.10432990578114e-07	2.10188074822914e-07	1	4	0	1	1.00384765190846	1.00384788156984
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72287073449304e-08	2.72790025023384e-08	2.72466152002226e-08	1	6	0	1	1.00052603752291	1.00052606881766
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.69126008018429e-11	4.2498543745081e-09	1.5728024228112e-10	1	16	0	1	1.00000134872151	1.00000134880151
BZL	Q53005	BZL	58.93	2	1000	tightly_const	2	5.40414577577173e-08	5.40414577578254e-08	5.40414577577173e-08	1	1	0	1	1.00001761191965	1.00001761296696
BPS	A4ZYX5	BPS	43.039	2	1000	tightly_const	2	7.8605756738498e-06	7.86057567386552e-06	7.8605756738498e-06	1	2	0	1	1.00187441332361	1.00187452498507
TXS	A0A161I263	TXS	57.849	2	1000	tightly_const	2	0.00155639398342226	0.00155639398342537	0.00155639398342226	1	6	0	1	1.99167351221924	1.9917954652986
YLR044C	P06169	PDC1	61.49468	2	12.2056689548512	tightly_const	2	8.67142099735005e-07	8.75058076129194e-07	8.69102474803539e-07	0	17	2	1	1.0864034494986	1.1674902821977
YAL038W	P00549	CDC19	54.54404	2	2.45470674940277	essential	2	1.90722364698665e-06	2.04667245277422e-06	2.04621259500768e-06	0	6	3	1	1.03875563592271	1.09977251147048
YGR254W	P00924	ENO1	46.81564	2	2.29800255672573	essential	2	1.91563022975323e-06	2.09967082278677e-06	2.09777684138304e-06	0	5	4	1	1.02657872105596	1.08687662943138
YLR354C	P15019	TAL1	37.0359	2	1.26633890462391	tightly_const	2	3.29425505881788e-06	3.29887283904925e-06	3.29427597006906e-06	0	6	5	1	1.044042461774	1.10537087528062
YMR205C	P16862	PFK2	104.61673	2	1.22892743269334	tightly_const	2	6.90951350514966e-07	6.94197385860552e-07	6.93898593649196e-07	1	9	0	1	1.00395858218061	1.06276520432145
YDR050C	P00942	TPI1	26.79508	2	1.22778414106195	essential	2	2.85049096564638e-08	3.18795489945424e-08	2.85106499208109e-08	1	2	0	1	1.0006168719121	1.00061692425521
YCR012W	P00560	PGK1	44.73787	2	1.22638263711267	tightly_const	2	9.16166678159772e-07	9.18240590098109e-07	9.16259366653708e-07	1	4	0	1	0.983228790259236	1.03550830166238
YJL052W	P00360	TDH1	35.74956	2	1.22638263711267	tightly_const	2	1.69537099823983e-05	1.69609410117662e-05	1.69571165684516e-05	0	8	6	1	1.43202370218781	1.53975831194005
YPL023C	P46151	MET12	73.94088	0	0.293884450454309	subOpt_isoenz	0	0	1.40932010149897e-08	0	0	6	7	2	0.999999001934408	1.0000012687128
YDR502C	P19358	SAM2	42.2555	0	0.293827460547136	subOpt_isoenz	0	0	2.14006620430238e-09	0	0	7	8	2	1.00000000000131	0.999999999999792
YBR218C	P32327	PYC2	130.16549	0	0.282987457510793	subOpt_isoenz	0	0	5.14528424905334e-07	0	0	8	11	2	0.999999115294357	1.00000138207975
YBL039C	P28274	URA7	64.70953	0	0.258201785040243	subOpt_isoenz	0	0	3.67353181562843e-08	0	0	12	13	2	1.00000000001884	0.999999999997915
YMR145C	P40215	NDE1	62.77345	0	0.213945110638827	subOpt_isoenz	0	0	8.11319466934888e-08	0	0	6	14	2	0.999999001934291	1.00000126871269
YAL062W	P39708	GDH3	49.62653	0	0.125433425976976	subOpt_isoenz	0	0	1.34295887594491e-06	0	0	8	20	2	0.999999115294366	1.00000138207975
YER081W	P40054	SER3	51.1927	0	0.0284390103953688	subOpt_isoenz	0	0	2.98372125244178e-08	0	0	6	21	2	0.999999115293395	1.00000138207877
YLR438W	P07991	CAR2	46.08557	0	0	subOpt_isoenz	0	0	1.55121864244816e-11	0	1	4	0	2	0.999999999999775	1
YMR246W	P47912	FAA4	77.26612	0	0	subOpt_isoenz	0	0	1.24610210730632e-09	0	1	48	0	2	0.999999115293384	1.00000138207877
YOR317W	P30624	FAA1	77.86529	0	0	subOpt_isoenz	0	0	1.23587958186692e-09	0	1	52	0	2	0.999999001934443	1.00000126871283
YOR388C	Q08911	FDH1	41.7138	0	0	subOpt_isoenz	0	0	2.11028034977267e-09	0	1	4	0	2	0.999999001934429	1.00000126871281
