genes	action
GLK1	KO
HXK1	KO
HXK2	KO
MDH2	KO
YLR446W	KO
URA7	KD
RNR1	KD
RNR3	KD
RNR2	KD
COX1	OE
ATP8	OE
ATP6	OE
COB	OE
OLI1	OE
COX2	OE
COX3	OE
ADE1	OE
COR1	OE
ATP1	OE
ATP3	OE
SHM1	OE
ATP16	OE
COX9	OE
TPI1	OE
ATP5	OE
TIM11	OE
ATP17	OE
ADE8	OE
QCR7	OE
RIP1	OE
PRS2	OE
QCR6	OE
COX4	OE
COX13	OE
ADE5,7	OE
ADE6	OE
QCR9	OE
QCR10	OE
COX6	OE
COX5B	OE
TDH1	OE
QCR8	OE
ATP2	OE
ATP7	OE
MDH1	OE
AAT1	OE
PRS1	OE
COX12	OE
SHM2	OE
PNP1	OE
ATP14	OE
COX8	OE
ATP18	OE
NDI1	OE
ADE17	OE
COX7	OE
ADE4	OE
CYT1	OE
ADE2	OE
GDH1	OE
ATP4	OE
ATP15	OE
ATP20	OE
QCR2	OE
ATP19	OE
EMI2	OE
