genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
YNL247W	P53852	YNL247W	87.52914	sce00970  Aminoacyl-tRNA biosynthesis	OE	51.5435904838527	tightly_const	2	7.30698666897567e-07	7.30698676828102e-07	7.30698666897567e-07	1	6	0	1	1.00187351801802	1.00297444780439	0
YKL001C	Q02196	MET14	23.06018	sce00230  Purine metabolism sce00920  Sulfur metabolism	OE	7.3781584506033	tightly_const	2	2.21752114104284e-06	2.21769560852649e-06	2.21752114104284e-06	1	5	0	1	1.00148989042865	1.00236485816981	0
YOL064C	P32179	MET22	39.14886	sce00920  Sulfur metabolism sce01130  Biosynthesis of antibiotics	OE	7.3781584506033	tightly_const	2	8.87001088606418e-07	8.87085901319516e-07	8.87007753906294e-07	1	4	0	1	1.00101132222349	1.00160479092915	0
YPR167C	P18408	MET16	30.3799	sce00920  Sulfur metabolism	OE	7.3781584506033	tightly_const	2	2.78774216768828e-06	2.78796149834168e-06	2.78774216768828e-06	1	7	0	1	1.00246963396528	1.00392222894519	0
YOR168W	P13188	GLN4	93.13159	sce00970  Aminoacyl-tRNA biosynthesis	OE	5.97920787954213	tightly_const	2	4.59662739943769e-06	4.59662791015252e-06	4.59662739943769e-06	1	6	0	1	1.01257265659021	1.02008674040053	0.0358144747831051
YER055C	P00498	HIS1	32.26611	sce00340  Histidine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	OE	2.62639805412133	tightly_const	2	1.61871294247234e-06	1.61875438238319e-06	1.61871294247234e-06	1	4	0	1	1.00150750099999	1.00239283560915	0
YCL018W	P04173	LEU2	38.95257	sce00290  Valine, leucine and isoleucine biosynthesis sce00660  C5-Branched dibasic acid metabolism sce01110  Biosynthesis of secondary metabolites sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	OE	2.38088604792164	tightly_const	2	1.9823804390097e-06	1.98239367341471e-06	1.9823804390097e-06	1	5	0	1	1.002226717703	1.00353592967199	0
YNL104C	P06208	LEU4	68.40819	sce00290  Valine, leucine and isoleucine biosynthesis sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	OE	2.38088604792164	tightly_const	2	1.30078494760543e-06	1.3009884347949e-06	1.30097974943223e-06	1	13	0	1	1.00256692993802	1.00407698542875	0
YPL160W	P26637	CDC60	124.14	sce00970  Aminoacyl-tRNA biosynthesis	OE	2.38088604792164	tightly_const	2	4.78414289829015e-07	4.78414412305388e-07	4.78414289829015e-07	1	6	0	1	1.00171204802496	1.00271783628522	0
YDR127W	P08566	ARO1	174.75305	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	2.34180235546886	tightly_const	2	9.98493358043345e-07	9.98514137451847e-07	9.98493358043344e-07	1	14	0	1	1.00503931449076	1.00801543507463	0.0126672228668761
YGL148W	P28777	ARO2	40.83793	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	2.34180235546886	tightly_const	2	1.81272565296189e-05	1.81276337716539e-05	1.81272565296189e-05	1	3	0	1	1.02160155898012	1.03469669567919	0.0534378166323567
YBR115C	P07702	LYS2	155.34394	sce00300  Lysine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	2.32018104257687	tightly_const	2	4.06273249983277e-07	4.06275715071985e-07	4.06273249983277e-07	0	8	4	1	1.00181876395158	1.00288742604063	0
YDL131W	Q12122	LYS21	48.59372	sce00300  Lysine biosynthesis sce00620  Pyruvate metabolism sce01130  Biosynthesis of antibiotics sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	OE	2.32018104257687	tightly_const	2	2.74579980987641e-05	2.74581648087742e-05	2.74579980987641e-05	1	6	0	1	1.03935410594682	1.06388403089994	0.0960628667658226
YIL094C	P40495	LYS12	40.06854	sce00300  Lysine biosynthesis sce01130  Biosynthesis of antibiotics sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	OE	2.32018104257687	tightly_const	2	9.96565897762574e-07	9.96571944489357e-07	9.96565897762574e-07	1	6	0	1	1.00115024700247	1.00182538884214	0
YIR034C	P38998	LYS1	41.46445	sce00300  Lysine biosynthesis sce00310  Lysine degradation sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	2.32018104257687	tightly_const	2	9.0114748350976e-07	9.01152954786489e-07	9.0114748350976e-07	1	7	0	1	1.00107630217317	1.00170796777051	0
YGR185C	P36421	TYS1	44.01942	sce00970  Aminoacyl-tRNA biosynthesis	OE	2.09432436709311	tightly_const	2	1.20259183759008e-06	1.20259218140579e-06	1.20259183759008e-06	1	6	0	1	1.00152286329772	1.00241724174877	0
YOL140W	P18544	ARG8	46.68082	sce00220  Arginine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	OE	1.83572440547055	tightly_const	2	1.01922658081962e-05	1.02071576746485e-05	1.01949063957555e-05	1	4	0	1	1.00721175556685	1.01148553943784	0.0173456038533304
YER069W	Q01217	ARG5,6	94.86823	sce00220  Arginine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids	OE	1.83572440497593	tightly_const	2	4.10338638842279e-06	4.10938182492684e-06	4.10444948386962e-06	1	9	0	1	1.00589617227974	1.00938306074472	0.0142097545298699
YNL220W	P80210	ADE12	48.27868	sce00230  Purine metabolism sce00250  Alanine, aspartate and glutamate metabolism	OE	1.76882028325235	tightly_const	2	8.97645862168474e-07	8.98001078385728e-07	8.97645862168517e-07	1	7	0	1	1.00124294439716	1.00197260252833	0
YBR221C	P32473	PDB1	40.0532	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	1.76587989022099	tightly_const	2	1.40460971957258e-06	1.40471056598343e-06	1.404649076557e-06	0	6	8	1	1.0016138670315	1.00256182873814	0
