genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YGR155W	P32582	CYS4	56.02121	sce00260  Glycine, serine and threonine metabolism sce00270  Cysteine and methionine metabolism sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	51.5435904838527	tightly_const	2	3.49975977972925e-07	3.50146812068928e-07	3.50055942868951e-07	1	4	0	1
YNL247W	P53852	YNL247W	87.52914	sce00970  Aminoacyl-tRNA biosynthesis	2	51.5435904838527	tightly_const	2	7.30698666897567e-07	7.30698676828102e-07	7.30698666897567e-07	1	6	0	1
YJL121C	P46969	RPE1	25.96689	sce00030  Pentose phosphate pathway sce00040  Pentose and glucuronate interconversions sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	11.2130340750915	essential	2	6.71001914674872e-07	0.00295933542164773	6.71109370617878e-07	1	2	0	1
YCL050C	P16550	APA1	36.49211	sce00230  Purine metabolism sce00920  Sulfur metabolism	2	7.3781584506033	tightly_const	2	1.01591686786105e-07	1.01644450115515e-07	1.01636458809343e-07	1	9	0	1
YFR030W	P39692	MET10	114.82714	sce00920  Sulfur metabolism	2	7.3781584506033	tightly_const	2	6.25455941723855e-08	6.25476509094806e-08	6.25455941723855e-08	0	6	1	1
YJR137C	P47169	MET5	161.21721	sce00920  Sulfur metabolism	2	7.3781584506033	tightly_const	2	6.25455941723855e-08	6.25476509094806e-08	6.25455941723855e-08	0	6	1	1
YKL001C	Q02196	MET14	23.06018	sce00230  Purine metabolism sce00920  Sulfur metabolism	2	7.3781584506033	tightly_const	2	2.21752114104284e-06	2.21769560852649e-06	2.21752114104284e-06	1	5	0	1
YOL064C	P32179	MET22	39.14886	sce00920  Sulfur metabolism sce01130  Biosynthesis of antibiotics	2	7.3781584506033	tightly_const	2	8.87001088606418e-07	8.87085901319516e-07	8.87007753906294e-07	1	4	0	1
YPR167C	P18408	MET16	30.3799	sce00920  Sulfur metabolism	2	7.3781584506033	tightly_const	2	2.78774216768828e-06	2.78796149834168e-06	2.78774216768828e-06	1	7	0	1
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	6.65730781771339	tightly_const	2	2.05044660678801e-07	2.05078608921822e-07	2.05073570883785e-07	1	5	0	1
