genes	enzymes	shortNames	MWs	actions	k_scores
YCL025C		AGP1	NaN	1	1000
YDR508C		GNP1	NaN	1	1000
YKR039W		GAP1	NaN	1	1000
YPL265W		DIP5	NaN	1	1000
YKL060C	P14540	FBA1	39.62024	1	667.073711383685
YGR240C	P16861	PFK1	107.96906	1	500.610567075527
YMR205C	P16862	PFK2	104.61673	1	400.732688759516
YLR174W	P41939	IDP2	46.56172	1	28.5331320030584
YPR035W	P32288	GLN1	41.7656	1	12.2577632371679
YOL126C	P22133	MDH2	40.7305	1	7.77364567765488
YKL085W	P17505	MDH1	35.64959	1	7.5309803343239
YPR001W	P43635	CIT3	53.81073	1	7.5309803343239
YNR001C	P00890	CIT1	53.35945	1	7.5309803343239
YBR218C	P32327	PYC2	130.16549	1	3.83340960428618
YGL062W	P11154	PYC1	130.09827	1	3.83340960428618
YBR221C	P32473	PDB1	40.0532	1	3.62377191254485
YER178W	P16387	PDA1	46.34261	1	3.62377191254485
YGR193C	P16451	PDX1	45.36125	1	3.62377191254485
YNL071W	P12695	LAT1	51.81762	1	3.62377191254485
YDR384C		ATO3	NaN	1	2.99829298075207
YGR121C		MEP1	NaN	1	2.99829298075207
YNL142W		MEP2	NaN	1	2.99829298075207
YPR138C		MEP3	NaN	1	2.99829298075207
YNL036W	P53615	NCE103	24.85889	1	2.66584391761558
YGL080W		MPC1	NaN	1	2.51404024484179
YGR243W		MPC3	NaN	1	2.51404024484179
YHR162W		MPC2	NaN	1	2.51404024484179
YAL038W	P00549	CDC19	54.54404	1	2.44584640406528
YOR347C	P52489	PYK2	55.19478	1	2.44584640406528
YGR254W	P00924	ENO1	46.81564	1	2.28978489305244
YHR174W	P00925	ENO2	46.91368	1	2.28978489305244
YKL152C	P00950	GPM1	27.60828	1	2.28978489305244
YMR323W	P42222	ERR3	47.31216	1	2.28978489305244
YOR393W	P0CX10	ERR1	47.32712	1	2.28978489305244
YPL281C	P0CX11	ERR2	47.32712	1	2.28978489305244
YOR283W	Q12040	YOR283W	26.17622	1	2.28978489305244
YML120C	P32340	NDI1	57.24915	1	1.68070592523554
YLR354C	P15019	TAL1	37.0359	1	1.24701707077888
YGR043C	P53228	NQM1	37.25314	1	1.24701707077888
YDR050C	P00942	TPI1	26.79508	1	1.22806418027219
YCR012W	P00560	PGK1	44.73787	1	1.22801637112428
YGR192C	P00359	TDH3	35.74626	1	1.22801637112428
YJL052W	P00360	TDH1	35.74956	1	1.22801637112428
YJR009C	P00358	TDH2	35.84645	1	1.22801637112428
YBR196C	P12709	PGI1	61.29832	1	1.16627256071515
YDR516C	Q04409	EMI2	55.92028	1	1.00066856594497
YOL140W	P18544	ARG8	46.68082	0	0.2933456958578
YER069W	Q01217	ARG5,6	94.86823	0	0.2933456958578
YMR062C	Q04728	ARG7	47.84821	0	0.2933456958578
YOR130C		ORT1	NaN	0	0.2933456958578
YLR438W	P07991	CAR2	46.08557	0	0.292707281749962
YBL039C	P28274	URA7	64.70953	0	0.287659843875714
YJR103W	P38627	URA8	64.50989	0	0.287659843875714
YBR029C	P38221	CDS1	51.82218	0	0.280353253343019
YER070W	P21524	RNR1	99.56021	0	0.276643399932695
YIL066C	P21672	RNR3	97.51369	0	0.276643399932695
YJL026W	P09938	RNR2	46.14681	0	0.276643399932695
YGR180C	P49723	RNR4	40.05407	0	0.273939260648938
YKR067W	P36148	GPT2	83.64407	0	0.251944247310952
YDL085W	Q07500	NDE2	61.65854	0	0.248293185657819
YMR145C	P40215	NDE1	62.77345	0	0.248293185657819
YCR048W	P25628	ARE1	71.61215	0	0.220003613406845
YOR175C	Q08548	ALE1	72.22714	0	0.214605051392447
YHR002W		LEU5	NaN	0	0.21168
YNR019W	P53629	ARE2	74.022	0	0.207585679199695
YGR087C	P26263	PDC6	61.57964	0	0.1930606986893
YLR044C	P06169	PDC1	61.49468	0	0.1930606986893
YLR134W	P16467	PDC5	61.91138	0	0.1930606986893
YOR245C	Q08650	DGA1	47.71075	0	0.164378518799543
YDL052C	P33333	SLC1	33.88654	0	0.163682815934411
YDL066W	P21954	IDP1	48.18986	0	0.1323
YDR148C	P19262	KGD2	50.43011	0	0.1323
YIL125W	P20967	KGD1	114.41496	0	0.1323
YDR503C	Q04396	LPP1	31.58604	0	0.124777119086627
YAL044C	P39726	GCV3	18.79276	0	0.100405685512588
YDR019C	P48015	GCV1	44.46849	0	0.100405685512588
YMR189W	P49095	GCV2	114.45033	0	0.100405685512588
YBR263W	P37292	SHM1	53.68589	0	0.0685113076218038
YER081W	P40054	SER3	51.1927	0	0.0410836338159823
YGR208W	P42941	SER2	34.20684	0	0.0410836338159823
YIL074C	P40510	SER33	51.18777	0	0.0410836338159823
YOR184W	P33330	SER1	43.41501	0	0.0410836338159823
YLR058C	P37291	SHM2	52.21793	0	0.032547798564675
YOR388C	Q08911	FDH1	41.7138	0	0.0248611976863784
YCL040W	P17709	GLK1	55.37689	0	0
YFR053C	P04806	HXK1	53.73784	0	0
YGL253W	P04807	HXK2	53.9419	0	0
YGR202C	P13259	PCT1	49.40551	0	0
YHR123W	P22140	EPT1	44.55926	0	0
YLR133W	P20485	CKI1	66.31602	0	0
YML059C	Q04958	NTE1	187.13107	0	0
YNL130C	P17898	CPT1	44.82898	0	0
YNR008W	P40345	LRO1	75.39242	0	-0
YPL110C	Q02979	GDE1	138.01285	0	0
YLR446W	Q06204	YLR446W	48.96875	0	0
