genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YOR074C	P06785	CDC21	35.04694	OE	1000	2	2.08440858665092e-06	2.08441057527337e-06	2.08440858665092e-06	1.000001000001	1	4	0	1
YOR236W	P07807	DFR1	24.26075	OE	1000	2	1.642882248873e-06	1.64288381625886e-06	1.642882248873e-06	1.00000100000099	1	10	0	1
YKL024C	P15700	URA6	22.93296	OE	95.2704730811406	2	4.62351461028784e-07	4.62783182057286e-07	4.62351461028784e-07	1.000001000001	1	12	0	1
YDR353W	P29509	TRR1	34.23767	OE	56.2589311104264	2	3.01920951111491e-06	3.01924566807857e-06	3.01920951111491e-06	1.00000100000099	1	6	0	1
YEL021W	P03962	URA3	29.23918	OE	43.8498575934957	2	1.76639253917241e-07	1.76639478574536e-07	1.76639253917241e-07	1.00000100000099	1	4	0	1
YKL216W	P28272	URA1	34.80045	OE	43.8498575934957	2	1.18452171453767e-05	1.18452322106262e-05	1.18452171453767e-05	1.000001000001	1	4	0	1
YLR420W	P20051	URA4	40.31285	OE	43.8498575934957	2	4.05985133523932e-05	0.00180731995768865	4.05985133523932e-05	1.00000100000099	1	4	0	1
YJL130C	P07259	URA2	245.03829	OE	31.4130744152068	2	2.79761548581909e-07	2.79762071553789e-07	2.79761548581909e-07	1.00000100000099	1	11	0	1
YHR144C	P06773	DCD1	35.64574	OE	8.99297694136868	2	9.22933987005125e-10	0.00199803967099304	9.27209441168316e-10	1.00000099999965	1	7	0	1
YOR095C	Q12189	RKI1	28.25777	OE	8.29368884127055	2	1.2614509045104e-05	0.0025330342348295	1.26155097023784e-05	1.000001000001	1	2	0	1
YNL241C	P11412	ZWF1	57.5209	OE	6.8936205394999	2	2.48592800754183e-07	2.48642251812291e-07	2.48638337989723e-07	1.00000100000099	1	5	0	1
YPR035W	P32288	GLN1	41.7656	OE	5.22138007694609	2	2.0052273526041e-06	2.00537583369529e-06	2.00522735260412e-06	1.00000100000099	1	7	0	1
YJL121C	P46969	RPE1	25.96689	OE	4.40631982800473	2	3.18927258487892e-07	0.00274309887580705	3.19096515210541e-07	1.00000100000087	1	2	0	1
YMR267W	P28239	PPA2	35.57213	OE	1.14604098613936	2	9.85321411325146e-07	9.85393730593486e-07	9.85369565022004e-07	1.00000100000099	1	4	0	1
YNR019W	P53629	ARE2	74.022	deletion	0.107676212045177	0	0	0.000962166535670184	0	1.000001000001	1	84	0	1
YOR245C	Q08650	DGA1	47.71075	deletion	0.0852643180677662	0	0	5.45083944163464e-08	0	1.000001000001	1	122	0	1
YML106W	P13298	URA5	24.66419	OE	43.8498575934957	2	0	0.00289696904486718	9.32264843381417e-06	1.00000100000099	0	6	1	2
YPR074C	P23254	TKL1	73.80488	OE	16.4585664063954	2	0	0.000965521634781124	5.24890285560063e-07	1.00000100000104	0	10	2	2
YOR303W	P07258	CPA1	45.36103	OE	15.3759947896214	2	3.83119062070297e-08	3.83124291789086e-08	3.83119062070297e-08	1.00000100000099	0	9	3	2
YER099C	P38620	PRS2	34.76468	OE	14.7295889380115	2	0	0.000154538144713348	0.000154534350803466	1.000001000001	0	6	4	2
YHR163W	P38858	SOL3	27.78417	OE	6.8936205394999	2	0	1.57340999689809e-05	1.57338518814918e-05	1.000001000001	0	5	5	2
YHR183W	P38720	GND1	53.54274	OE	6.8936205394999	2	0	4.32255282021617e-06	4.32248466434179e-06	1.00000100000099	0	6	6	2
YGL062W	P11154	PYC1	130.09827	OE	1.81000563748933	2	0	1.95518519273153e-06	1.95437399883348e-06	1.000001000001	0	8	7	2
YOR222W		ODC2	NaN	deletion	0.152088784498189	0	0	0	0	1.00000100000099	0	6	8	2
