genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YJL121C	P46969	RPE1	25.96689	1	9.59753195503827	essential	2	5.77439911963588e-07	0.00294670247757653	5.77547334595752e-07	1	2	0	1
YNL241C	P11412	ZWF1	57.5209	2	5.95043517776535	tightly_const	2	1.84430982707234e-07	1.8446492198825e-07	1.84459883950486e-07	1	5	0	1
YGR155W	P32582	CYS4	56.02121	2	5.89535551211141	tightly_const	2	4.21952463885404e-08	4.23660804850429e-08	4.22752112848122e-08	1	4	0	1
YNL247W	P53852	YNL247W	87.52914	2	5.89535551211141	tightly_const	2	8.82442968271206e-08	8.82443067627392e-08	8.82442968271206e-08	1	6	0	1
YDR354W	P07285	TRP4	41.37402	2	4.63229532011763	tightly_const	2	1.07699183196962e-06	1.07713167976928e-06	1.07699183196962e-06	1	4	0	1
YGL026C	P00931	TRP5	76.62516	2	4.63229532011763	tightly_const	2	4.02613474730339e-09	4.02665754243476e-09	4.02613474730339e-09	1	5	0	1
YOL097C	Q12109	WRS1	49.34966	2	4.63229532011763	tightly_const	2	2.23091598883116e-06	2.2309163031708e-06	2.23091598883116e-06	1	6	0	1
YDR007W	P00912	TRP1	24.14425	2	4.63229532011763	tightly_const	2	4.52648382474784e-08	4.52707159039285e-08	4.52648382474784e-08	1	2	0	1
YER090W	P00899	TRP2	56.76706	2	4.63229532011763	tightly_const	2	5.3849591598481e-06	5.385069801178e-06	5.3849591598481e-06	1	6	0	1
YKL211C	P00937	TRP3	53.48881	2	4.63229532011763	tightly_const	2	5.66633524216377e-06	5.66645166474948e-06	5.66633524216377e-06	1	10	0	1
YOR095C	Q12189	RKI1	28.25777	1	3.94320206124138	essential	2	5.32762709778624e-06	0.00271260672765551	5.32826231977511e-06	1	2	0	1
YBR166C	P20049	TYR1	50.92272	2	3.85680034525438	tightly_const	2	3.60462396563973e-07	3.60474875674244e-07	3.60462396563973e-07	1	5	0	1
YGR185C	P36421	TYS1	44.01942	2	3.85680034525438	tightly_const	2	2.06090405231165e-06	2.06090439612906e-06	2.06090405231165e-06	1	6	0	1
YHR019C	P38707	DED81	62.20612	2	3.62539840578872	tightly_const	2	8.84700306168224e-07	8.84700462298583e-07	8.84700306168224e-07	1	6	0	1
YDR127W	P08566	ARO1	174.75305	2	3.06722110134923	tightly_const	2	1.26509282660103e-06	1.26511359268959e-06	1.26509282660103e-06	1	14	0	1
YGL148W	P28777	ARO2	40.83793	2	3.06722110134923	tightly_const	2	2.29672656476319e-05	2.29676428896572e-05	2.29672656476319e-05	1	3	0	1
YPR060C	P32178	ARO7	29.7468	2	2.87880118158604	tightly_const	2	4.66987296915423e-08	4.66996388343985e-08	4.66987296915423e-08	1	2	0	1
YIL078W	P04801	THS1	84.51944	2	2.8042624974303	tightly_const	2	4.02553243217737e-06	4.02553332607456e-06	4.02553243217737e-06	1	6	0	1
YDL066W	P21954	IDP1	48.18986	2	2.43600621276649	tightly_const	2	1.66071369854317e-06	1.66199289791492e-06	1.66122537829784e-06	1	5	0	1
YER023W	P32263	PRO3	30.13145	2	2.31334987712809	tightly_const	2	1.40125294186121e-08	1.40148232121292e-08	1.40125294186121e-08	1	6	0	1
YHR020W	P38708	YHR020W	77.38534	2	2.31334987712809	tightly_const	2	1.7365543533571e-06	1.73655480909119e-06	1.7365543533571e-06	1	7	0	1
YLR438W	P07991	CAR2	46.08557	2	2.30790582971022	tightly_const	2	9.96733406525224e-08	9.99104483261093e-08	9.97153839777926e-08	1	4	0	1
YCL018W	P04173	LEU2	38.95257	2	2.24745308425037	tightly_const	2	1.88640236928351e-06	1.88641560368862e-06	1.88640236928351e-06	1	5	0	1
YGL009C	P07264	LEU1	85.79356	1	2.24745308425037	essential	2	3.68325905811643e-06	0.00089537832338534	3.68325905811643e-06	1	4	0	1
YNL104C	P06208	LEU4	68.40819	2	2.24745308425037	tightly_const	2	1.23779727750496e-06	1.23800076469574e-06	1.23799207933307e-06	1	13	0	1
YPL160W	P26637	CDC60	124.14	2	2.24745308425037	tightly_const	2	4.55251591507519e-07	4.55251713983846e-07	4.55251591507519e-07	1	6	0	1
YCR053W	P16120	THR4	57.47349	2	2.1923879465311	tightly_const	2	6.00816982399974e-09	6.009551813658e-09	6.00922260771883e-09	1	6	0	1
YDR158W	P13663	HOM2	39.54334	2	2.1923879465311	tightly_const	2	1.29175753957054e-07	1.29183279269424e-07	1.29176202551522e-07	1	6	0	1
YER052C	P10869	HOM3	58.10913	2	2.1923879465311	tightly_const	2	1.08006722589624e-07	1.08013010637377e-07	1.08007097429005e-07	1	4	0	1
YHR025W	P17423	THR1	38.71215	2	2.1923879465311	tightly_const	2	6.00816914870715e-07	6.00955160262891e-07	6.00922260771883e-07	1	5	0	1
YJR139C	P31116	HOM6	38.50163	2	2.1923879465311	tightly_const	2	1.08580433003889e-06	1.08586758265621e-06	1.08580809834343e-06	1	7	0	1
YFL022C	P15625	FRS2	57.51077	2	2.13379614838157	tightly_const	2	1.22356251903763e-08	1.22356286334533e-08	1.22356251903763e-08	0	6	9	1
YLR060W	P15624	FRS1	67.36425	2	2.13379614838157	tightly_const	2	1.22356251903763e-08	1.22356286334533e-08	1.22356251903763e-08	0	6	9	1
YNL316C	P32452	PHA2	38.22484	2	2.13379614838157	tightly_const	2	3.81887179915065e-09	3.8189029100978e-09	3.81887179915065e-09	1	5	0	1
YJR148W	P47176	BAT2	41.62419	1	2.12570856595859	essential	2	3.84805104305409e-08	0.0018379532986333	3.84938379131968e-08	1	14	0	1
YJR016C	P39522	ILV3	62.86049	2	1.93910664723728	tightly_const	2	1.54689808429624e-06	1.54690438039007e-06	1.54689808429624e-06	1	5	0	1
YMR108W	P07342	ILV2	74.93608	2	1.93764955588462	tightly_const	2	4.21641401013324e-06	4.21643357580607e-06	4.21641401013324e-06	1	8	0	1
YOR168W	P13188	GLN4	93.13159	2	1.93041403338811	tightly_const	2	1.66777861802504e-06	1.66777912840664e-06	1.66777861802504e-06	1	6	0	1
YLR355C	P06168	ILV5	44.36792	2	1.91158948228464	tightly_const	2	1.12501551940122e-05	1.12502703500555e-05	1.12501551940122e-05	1	7	0	1
YER069W	Q01217	ARG5,6	94.86823	2	1.86227927098639	tightly_const	2	4.15267875702865e-06	4.1586741934988e-06	4.15374185241305e-06	1	9	0	1
YOL140W	P18544	ARG8	46.68082	2	1.86227927098639	tightly_const	2	1.03147014931358e-05	1.03295933595501e-05	1.03173420805654e-05	1	4	0	1
YMR062C	Q04728	ARG7	47.84821	1	1.86227926501164	essential	2	9.11281323514529e-07	0.00159975396673867	9.11514613653091e-07	1	9	0	1
YBL076C	P09436	ILS1	122.98195	2	1.86034910448414	tightly_const	2	1.176717532494e-07	1.17671790388526e-07	1.176717532494e-07	1	6	0	1
YGR094W	P07806	VAS1	125.7682	2	1.71390514429926	tightly_const	2	2.42795394231199e-07	2.42795476233273e-07	2.42795394231199e-07	1	12	0	1
YHR208W	P38891	BAT1	43.59553	1	1.71390514429926	essential	2	1.12928029358972e-08	0.00175481932156196	1.12928029358972e-08	1	16	0	1
YCL050C	P16550	APA1	36.49211	2	1.69170718980882	tightly_const	2	2.70486831202073e-08	2.71014515758023e-08	2.70934551437519e-08	1	9	0	1
YJR137C	P47169	MET5	161.21721	2	1.69170718980882	tightly_const	2	1.66729170811395e-08	1.66749724998153e-08	1.66729170811395e-08	0	6	11	1
YKL001C	Q02196	MET14	23.06018	2	1.69170718980882	tightly_const	2	5.911295047958e-07	5.91303972280218e-07	5.911295047958e-07	1	5	0	1
YOL064C	P32179	MET22	39.14886	2	1.69170718980882	tightly_const	2	2.36444945073119e-07	2.36529762062031e-07	2.36451614648454e-07	1	4	0	1
YPR167C	P18408	MET16	30.3799	2	1.69170718980882	tightly_const	2	7.43134582387328e-07	7.43353913041815e-07	7.43134582387328e-07	1	7	0	1
YFR030W	P39692	MET10	114.82714	2	1.69170674914304	tightly_const	2	1.66729170811395e-08	1.66749724998153e-08	1.66729170811395e-08	0	6	11	1
YFR025C	P38635	HIS2	38.58138	2	1.594736632918	tightly_const	2	1.34033145794035e-09	1.3403837418878e-09	1.34033145794035e-09	1	4	0	1
YBR248C	P33734	HIS7	61.06729	2	1.594736632918	tightly_const	2	2.07847768160902e-08	2.07855881133491e-08	2.07847768160902e-08	1	6	0	1
YCL030C	P00815	HIS4	87.72027	2	1.594736632918	tightly_const	2	8.39576839079136e-08	8.39609589478976e-08	8.39576839079136e-08	1	10	0	1
YER055C	P00498	HIS1	32.26611	2	1.594736632918	tightly_const	2	1.06233785601535e-06	1.06237932250789e-06	1.06233785601535e-06	1	4	0	1
YIL020C	P40545	HIS6	29.55623	2	1.594736632918	tightly_const	2	8.96345049077344e-08	8.96380036331585e-08	8.96345049077344e-08	1	5	0	1
YIL116W	P07172	HIS5	42.64564	2	1.594736632918	tightly_const	2	9.25258572766155e-10	9.25294688609336e-10	9.25258572766155e-10	1	4	0	1
YOR202W	P06633	HIS3	23.83295	2	1.594736632918	tightly_const	2	2.86830498311867e-09	2.86841687059589e-09	2.86830498311867e-09	1	3	0	1
YPR033C	P07263	HTS1	59.95193	2	1.594736632918	tightly_const	2	7.17075213190701e-08	7.17075470028015e-08	7.17075213190701e-08	1	12	0	1
YKL085W	P17505	MDH1	35.64959	1	1.53338781254414	essential	2	2.24254594545866e-07	0.00214615948146002	2.24282997701981e-07	1	5	0	1
