genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YOL126C	P22133	MDH2	40.7305	1	10.6159980082635	essential	2	1.30245772579181e-05	0.000228512231348489	1.30245772579146e-05	1	5	0	1	1.00000000000003	1.00000000000003
YDR516C	Q04409	EMI2	55.92028	2	1.59671341993674	essential	2	1.86175882961893e-07	2.48781940430901e-07	2.32269250515572e-07	1	4	0	1	1.00305170279033	1.00310041871619
YBR196C	P12709	PGI1	61.29832	1	1.31473961934756	essential	2	3.62325540977696e-07	0.000143546066279909	3.62325540977652e-07	1	2	0	1	1.00485884150109	1.00493654770397
YDR050C	P00942	TPI1	26.79508	1	1.26129711139902	essential	2	2.81214979858362e-08	0.000327585372466925	2.81214976572347e-08	1	2	0	1	1.00019037133122	1.00019340152113
YMR205C	P16862	PFK2	104.61673	2	1.25411075404017	essential	2	3.80609245449025e-07	6.8447855582769e-07	6.84456422778606e-07	1	9	0	1	1.0179529195328	1.01824383793202
YCR012W	P00560	PGK1	44.73787	1	1.22084044973924	essential	2	9.09983641115589e-07	0.000197095573165961	9.0998364111554e-07	1	4	0	1	1.0102315603482	1.01039608002101
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz_tight	2	0	2.05857332554002e-09	2.0585733316405e-09	1	4	0	2	1.00323083921453	1.00328242414673
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz_tight	2	0	2.66852224453158e-10	2.66852224969969e-10	1	6	0	2	1.00044172856676	1.00044876147015
YGL062W	P11154	PYC1	130.09827	2	3.438104371176	opt_isoenz_tight	2	0	0.000582269524933171	0.000582193548984627	0	8	7	2	1.00000000000012	1.00000000000013
YAL038W	P00549	CDC19	54.54404	2	1.88648290529682	opt_isoenz_tight	2	0	1.52721352408632e-06	1.5271928862141e-06	0	6	8	2	1.02334038633108	1.0237206403512
YBL039C	P28274	URA7	64.70953	0	0.258201785040243	subOpt_isoenz	0	0	4.15394430322021e-08	0	0	12	12	2	1.00000000000005	1.00000000000006
YOR317W	P30624	FAA1	77.86529	0	0.151387818038053	subOpt_isoenz	0	0	0.000112897602073321	0	1	52	0	2	1.00000000000009	1.00000000000009
YER070W	P21524	RNR1	99.56021	0	0.11662	subOpt_isoenz	0	0	4.87283119999516e-07	0	0	24	13	2	1.00000000000003	1.00000000000003
YIL066C	P21672	RNR3	97.51369	0	0.11662	subOpt_isoenz	0	0	4.8728311999607e-07	0	0	24	13	2	1.00000000000006	1.00000000000006
YJL026W	P09938	RNR2	46.14681	0	0.11662	subOpt_isoenz	0	0	4.87283119996172e-07	0	0	24	13	2	1.00000000000006	1.00000000000006
YGR248W	P53315	SOL4	28.44737	0	0.0289569746607568	subOpt_isoenz	0	0	1.16289621818679e-06	0	0	5	15	2	1.00000000000006	1.00000000000006
YGR256W	P53319	GND2	53.92235	0	0.0289569746607568	subOpt_isoenz	0	0	3.19476826601586e-07	0	0	6	16	2	1.0000000000001	1.00000000000011
YCL040W	P17709	GLK1	55.37689	0	0	subOpt_isoenz	0	0	1.15350627726035e-11	0	1	6	0	2	1.00000000000007	1.00000000000007
YPL061W	P54115	ALD6	54.41344	0	0	subOpt_isoenz	0	0	2.69370070282239e-10	0	1	8	0	2	1.00000000000008	1.00000000000008
YLR446W	Q06204	YLR446W	48.96875	0	0	subOpt_isoenz	0	0	1.89257455343771e-09	0	1	20	0	2	0.999999999999993	0.999999999999996
YIL099W	P08019	SGA1	61.46231	2	1000	opt_isoenz	2	0	5.48153522504499e-08	5.38093526867896e-08	1	3	0	3	0.999999999999999	1
YDR038C	Q12691	ENA5	120.29497	1	1000	opt_isoenz	2	0	8.0831170259107e-07	1.43927445802751e-08	0	8	2	3	1.00000000000013	1.00000000000013
YJL137C	P47011	GLG2	44.54552	2	20.9019129193298	opt_isoenz	2	0	3.18350008099599e-07	1.60693491074543e-07	0	6	4	3	1.00012660004214	1.00012861503735
YLR258W	P27472	GSY2	80.07802	2	20.9019129193298	opt_isoenz	2	0	3.18350008099526e-07	1.60693491074543e-07	0	6	4	3	1.00022758442223	1.00023120707948
YMR105C	P37012	PGM2	63.08769	1	5.26497917023437	opt_isoenz	2	0	0.000139524402805872	3.95930630457159e-07	0	8	6	3	1.0015643601675	1.00158929524589
YHL012W	P38709	YHL012W	55.99958	1	5.26497917023437	opt_isoenz	2	0	0.000157656361419688	9.11012174178389e-07	0	7	5	3	1.00319499945374	1.00324601030181
YGR254W	P00924	ENO1	46.81564	1	1.85377756211927	opt_isoenz	2	0	0.000189052975910365	1.57424455853362e-06	0	5	9	3	1.0242733853488	1.02466920590936
YOR283W	Q12040	YOR283W	26.17622	1	1.85377756211927	opt_isoenz	2	0	0.000335736554102614	4.34665537993203e-07	1	4	0	3	1.00378486516915	1.00384532981732
YLR354C	P15019	TAL1	37.0359	1	1.32186762907343	opt_isoenz	2	0	0.000240190100492556	3.20598791729848e-06	0	6	10	3	1.02530621841004	1.02571930404752
YJL052W	P00360	TDH1	35.74956	1	1.22084044973924	opt_isoenz	2	0	0.000262351968157938	1.68409723702307e-05	0	8	11	3	1.14963056928532	1.15237465922825
YDR148C	P19262	KGD2	50.43011	0	0.09996	subOpt_isoenz	0	0	4.73531242369603e-06	0	0	11	14	3	0.999999999999988	0.999999999999988
YIL125W	P20967	KGD1	114.41496	0	0.09996	subOpt_isoenz	0	0	4.73531242369603e-06	0	0	11	14	3	0.999999999999988	0.999999999999988
YFR053C	P04806	HXK1	53.73784	0	0	subOpt_isoenz	0	0	1.15278510406748e-11	0	0	12	17	3	1.00000000000029	1.00000000000029
YGL253W	P04807	HXK2	53.9419	0	0	subOpt_isoenz	0	0	2.49455874849761e-11	0	0	12	17	3	1.00000000000029	1.00000000000029
