genes	enzymes	shortNames	MWs	actions	k_scores
YAR035W	P80235	YAT1	77.76483	1	1000
YBL015W	P32316	ACH1	58.71137	1	1000
YCL064C	P25379	CHA1	39.30093	1	1000
YEL046C	P37303	GLY1	42.81463	1	1000
YER024W	P40017	YAT2	103.33286	1	1000
YER073W	P40047	ALD5	56.69214	1	1000
YER170W	P26364	ADK2	25.19373	1	1000
YLR138W		NHA1	NaN	1	1000
YML042W	P32796	CAT2	77.24096	1	1000
YMR170C	P47771	ALD2	55.18718	1	1000
YOR100C		CRC1	NaN	1	1000
YOR108W	Q12166	LEU9	67.19951	1	1000
YOR374W	P46367	ALD4	56.72295	1	1000
YMR110C	Q04458	HFD1	59.97826	1	1000
YDR456W		NHX1	NaN	1	1000
YDR038C	Q12691	ENA5	120.29497	1	1000
YDR039C	Q01896	ENA2	120.31602	1	1000
YDR040C	P13587	ENA1	120.35609	1	1000
CAD	B3IUN8	CAD	52.754	1	1000
YAL054C	Q01574	ACS1	79.13997	1	668.689064456538
YBR296C		PHO89	NaN	1	67.8070683513704
YCR037C		PHO87	NaN	1	67.8070683513704
YJL198W		PHO90	NaN	1	67.8070683513704
YML123C		PHO84	NaN	1	67.8070683513704
YNR013C		PHO91	NaN	1	67.8070683513704
YOL126C	P22133	MDH2	40.7305	1	8.93799882679225
YKL085W	P17505	MDH1	35.64959	1	8.6804018049315
YNR001C	P00890	CIT1	53.35945	1	8.6804018049315
YPR001W	P43635	CIT3	53.81073	1	8.6804018049315
YLR153C	P52910	ACS2	75.49079	1	6.06719336961483
YGL062W	P11154	PYC1	130.09827	1	4.78519183110717
YBR218C	P32327	PYC2	130.16549	1	4.78519183110717
YPL061W	P54115	ALD6	54.41344	1	4.52684243467181
YGR087C	P26263	PDC6	61.57964	1	4.35962688586844
YLR044C	P06169	PDC1	61.49468	1	4.35962688586844
YLR134W	P16467	PDC5	61.91138	1	4.35962688586844
YCR053W	P16120	THR4	57.47349	1	4.03270501685387
YDR158W	P13663	HOM2	39.54334	1	4.03270501685387
YER052C	P10869	HOM3	58.10913	1	4.03270501685387
YHR025W	P17423	THR1	38.71215	1	4.03270501685387
YJR139C	P31116	HOM6	38.50163	1	4.03270501685387
YNL036W	P53615	NCE103	24.85889	1	3.2569790560834
YAL038W	P00549	CDC19	54.54404	1	2.61215262129097
YOR347C	P52489	PYK2	55.19478	1	2.61215262129097
YGR254W	P00924	ENO1	46.81564	1	2.43376766076774
YHR174W	P00925	ENO2	46.91368	1	2.43376766076774
YKL152C	P00950	GPM1	27.60828	1	2.43376766076774
YMR323W	P42222	ERR3	47.31216	1	2.43376766076774
YOR393W	P0CX10	ERR1	47.32712	1	2.43376766076774
YPL281C	P0CX11	ERR2	47.32712	1	2.43376766076774
YOR283W	Q12040	YOR283W	26.17622	1	2.43376766076774
YBR221C	P32473	PDB1	40.0532	1	1.51475163868981
YER178W	P16387	PDA1	46.34261	1	1.51475163868981
YGR193C	P16451	PDX1	45.36125	1	1.51475163868981
YNL071W	P12695	LAT1	51.81762	1	1.51475163868981
YML120C	P32340	NDI1	57.24915	1	1.37692585274032
YLR354C	P15019	TAL1	37.0359	1	1.3420121696892
YGR043C	P53228	NQM1	37.25314	1	1.3420121696892
YDR050C	P00942	TPI1	26.79508	1	1.29572675394927
YGR240C	P16861	PFK1	107.96906	1	1.28729586359742
YKL060C	P14540	FBA1	39.62024	1	1.28729586359742
YMR205C	P16862	PFK2	104.61673	1	1.28729586359742
YCR012W	P00560	PGK1	44.73787	1	1.2846166524553
YGR192C	P00359	TDH3	35.74626	1	1.2846166524553
YJL052W	P00360	TDH1	35.74956	1	1.2846166524553
YJR009C	P00358	TDH2	35.84645	1	1.2846166524553
YBR196C	P12709	PGI1	61.29832	1	1.26287230750635
YDR226W	P07170	ADK1	24.2546	1	1.17007891584267
YDR516C	Q04409	EMI2	55.92028	1	1.00066875659346
YDR454C	P15454	GUK1	20.63708	0	0.151891028387322
YER141W	P40086	COX15	54.65792	0	0.145891666666667
YBR263W	P37292	SHM1	53.68589	0	0.142868763260932
YAL044C	P39726	GCV3	18.79276	0	0.142868479249346
YDR019C	P48015	GCV1	44.46849	0	0.142868479249346
YMR189W	P49095	GCV2	114.45033	0	0.142868479236222
YBL039C	P28274	URA7	64.70953	0	0.133931198022575
YJR103W	P38627	URA8	64.50989	0	0.133931198022575
YER070W	P21524	RNR1	99.56021	0	0.099965314940497
YIL066C	P21672	RNR3	97.51369	0	0.099965314940497
YJL026W	P09938	RNR2	46.14681	0	0.099965314940497
YGR180C	P49723	RNR4	40.05407	0	0.0922238727791205
YDR503C	Q04396	LPP1	31.58604	0	0.0809035312274104
YOR095C	Q12189	RKI1	28.25777	0	0.0733086357242954
YMR246W	P47912	FAA4	77.26612	0	0.0386528127230701
YOR317W	P30624	FAA1	77.86529	0	0.0300633002378737
YLR058C	P37291	SHM2	52.21793	0	0.00435539924678193
YCL040W	P17709	GLK1	55.37689	0	0
YDL066W	P21954	IDP1	48.18986	0	0
YDR148C	P19262	KGD2	50.43011	0	0
YER081W	P40054	SER3	51.1927	0	0
YFR053C	P04806	HXK1	53.73784	0	0
YGL253W	P04807	HXK2	53.9419	0	0
YGR202C	P13259	PCT1	49.40551	0	0
YGR208W	P42941	SER2	34.20684	0	0
YGR248W	P53315	SOL4	28.44737	0	0
YGR256W	P53319	GND2	53.92235	0	0
YHR002W		LEU5	NaN	0	0
YHR123W	P22140	EPT1	44.55926	0	0
YHR163W	P38858	SOL3	27.78417	0	0
YHR183W	P38720	GND1	53.54274	0	0
YIL074C	P40510	SER33	51.18777	0	0
YIL125W	P20967	KGD1	114.41496	0	0
YLR133W	P20485	CKI1	66.31602	0	0
YML059C	Q04958	NTE1	187.13107	0	0
YMR267W	P28239	PPA2	35.57213	0	0
YNL130C	P17898	CPT1	44.82898	0	0
YNL241C	P11412	ZWF1	57.5209	0	0
YNR008W	P40345	LRO1	75.39242	0	-0
YOR184W	P33330	SER1	43.41501	0	0
YOR388C	Q08911	FDH1	41.7138	0	0
YPL110C	Q02979	GDE1	138.01285	0	0
YPR140W	Q06510	TAZ1	44.1872	0	0
YLR446W	Q06204	YLR446W	48.96875	0	0
