genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
YMR217W	P38625	GUA1	58.48154	sce00230  Purine metabolism	OE	156.6350046145	tightly_const	2	0.000317659907686575	0.0003176614892357	0.000317659907686575	1	9	0	1	1.13111371820052	1.17677643461863	0.293685371072239
YGL234W	P07244	ADE5,7	86.06721	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	78.3027158346925	tightly_const	2	3.91886070284678e-05	3.91886485806425e-05	3.91886070284678e-05	1	9	0	1	1.02193921545387	1.02861796016554	0.0532111929700509
YDR408C	P04161	ADE8	23.53994	sce00230  Purine metabolism sce00670  One carbon pool by folate sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	78.3027158346925	tightly_const	2	1.82880166132849e-05	1.82880360042998e-05	1.8288016613285e-05	1	5	0	1	1.00275054543694	1.00356747582031	0
YMR300C	P04046	ADE4	56.71874	sce00230  Purine metabolism sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	78.3027158346925	tightly_const	2	2.46632200934746e-06	2.46632462441981e-06	2.46632200934746e-06	1	6	0	1	1.00089220186939	1.00115655519077	0
YOR128C	P21264	ADE2	62.33875	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites	OE	78.3027158346925	tightly_const	2	3.42900434943328e-06	3.42900798524986e-06	3.42900434943329e-06	1	8	0	1	1.00136397388901	1.00176835700383	0
YGR061C	P38972	ADE6	148.90358	sce00230  Purine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	78.3027158346924	tightly_const	2	2.70667781156817e-05	2.70668068149282e-05	2.70667781156818e-05	1	9	0	1	1.02632226985503	1.03438019410784	0.0635711235807985
YBL045C	P07256	COR1	50.22724	sce00190  Oxidative phosphorylation	OE	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1	1.00449539632606	1.00583357394299	0
YDR529C	P00128	QCR7	14.56466	sce00190  Oxidative phosphorylation	OE	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1	1.00130226863986	1.00168832689393	0
YEL024W	P08067	RIP1	23.36479	sce00190  Oxidative phosphorylation	OE	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1	1.00208961929138	1.00270971973341	0
YFR033C	P00127	QCR6	17.25682	sce00190  Oxidative phosphorylation	OE	1.60068192184645	tightly_const	2	1.60500151382255e-05	1.6050037599392e-05	1.60500293867316e-05	0	6	7	1	1.0015430917457	1.00200068478929	0
