genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YBR208C	P32528	DUR1,2	201.82994	2	1000	2	1.86963348418872e-07	1.87092218294378e-07	1.87042164919645e-07	1.000001000001	1	10	0	1
YEL046C	P37303	GLY1	42.81463	2	1000	2	9.52564993300402e-08	9.5350630475621e-08	9.52697775853812e-08	1.000001000001	1	4	0	1
YEL047C	P32614	FRD1	50.84351	1	1000	2	5.60317654221671e-07	0.00168995492251997	5.60436169711178e-07	1.00000100000097	1	10	0	1
YHR037W	P07275	PUT2	64.43444	1	1000	2	5.75259458334362e-06	0.00133881082074651	5.75381134236809e-06	1.000001000001	1	9	0	1
YLR142W	P09368	PUT1	53.27087	2	1000	2	2.57578996397041e-07	2.57929996015986e-07	2.57633478172863e-07	1.000001000001	1	4	0	1
YLR438W	P07991	CAR2	46.08557	2	1000	2	4.44661325444995e-08	4.45869181819273e-08	4.44848807586346e-08	1.000001000001	1	4	0	1
YML042W	P32796	CAT2	77.24096	2	1000	2	9.36669806478132e-09	9.60934136391123e-07	9.60639399030067e-07	1.000001000001	1	8	0	1
YPL111W	P00812	CAR1	35.66162	2	1000	2	1.60325794311704e-05	1.60436314363353e-05	1.6039339232734e-05	1.000001000001	1	4	0	1
YOL126C	P22133	MDH2	40.7305	1	19.8296638605924	2	2.96031771205855e-08	0.0021088848422968	2.96038532528972e-08	1.000001000001	1	5	0	1
YKL085W	P17505	MDH1	35.64959	1	19.3929764070015	2	1.38082937448211e-06	0.00241079720197943	1.380875024177e-06	1.00000100000106	1	5	0	1
YPR035W	P32288	GLN1	41.7656	2	4.58827270789297	2	6.42937443598252e-07	6.43276311288053e-07	6.43027175762495e-07	1.000001000001	1	7	0	1
YER023W	P32263	PRO3	30.13145	2	3.74191345277394	2	6.23743559335686e-09	6.25437865970827e-09	6.24006547752955e-09	1.000001000001	1	6	0	1
YKL029C	P36013	MAE1	74.37529	2	1.42331565306172	2	6.43944622765175e-08	6.45378094496193e-08	6.44080827368942e-08	1.000001000001	1	7	0	1
YMR205C	P16862	PFK2	104.61673	2	1.31817858111885	2	4.09112782878866e-07	7.35758007518885e-07	7.35731075603184e-07	1.000001000001	1	9	0	1
YCR012W	P00560	PGK1	44.73787	1	1.28679966318084	2	9.79100194606519e-07	0.00192093351853866	9.79110991054114e-07	1.0000010000008	1	4	0	1
YBR196C	P12709	PGI1	61.29832	1	1.17945400270202	2	3.87640630902544e-07	0.00140164558489694	3.876660080802e-07	1.00000100000079	1	2	0	1
YDR516C	Q04409	EMI2	55.92028	1	1.08755212042794	2	1.86174116319426e-07	4.04698474506151e-07	1.86178e-07	1.000001000001	1	4	0	1
YOR317W	P30624	FAA1	77.86529	0	0.024357357089301	0	0	0.00110320960254398	0	1.000001000001	1	52	0	1
YCL009C	P25605	ILV6	33.98652	0	0	0	0	4.46276978997679e-11	0	1.000001000001	1	8	0	1
YCL018W	P04173	LEU2	38.95257	0	0	0	0	1.01662721126273e-10	0	1.000001000001	1	5	0	1
