genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	1	1000	subOpt_isoenz	2	0	1.44724629429229e-09	0
YBR145W	P38113	ADH5	37.64764	1	1000	subOpt_isoenz	2	0	7.83933508599033e-10	0
YBR252W	P33317	DUT1	15.30716	1	1000	subOpt_isoenz	2	0	5.83235207940748e-09	0
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10058715534525e-07	2.10416021297341e-07	2.10188074822914e-07
YEL038W	P32626	UTR4	25.18714	2	1000	tightly_const	2	1.69851321901891e-07	1.69869809043494e-07	1.69851321901891e-07
YER170W	P26364	ADK2	25.19373	1	1000	subOpt_isoenz	2	0	3.42948726224882e-09	0
YLR017W	Q07938	MEU1	37.85618	2	1000	tightly_const	2	7.70866189305846e-06	7.7097320284362e-06	7.70866189305846e-06
YLR209C	Q05788	PNP1	33.7546	2	1000	essential	2	1.57749152485613e-08	1.83347113847986e-08	1.57814790171608e-08
YMR009W	Q03677	ADI1	20.8791	2	1000	tightly_const	2	1.69851321901891e-07	1.69869809043494e-07	1.69851321901891e-07
YMR278W	Q03262	PRM15	71.06819	1	1000	subOpt_isoenz	2	0	4.25527944208059e-09	0
YNL141W	P53909	AAH1	39.63458	2	1000	tightly_const	2	3.64263957236549e-07	3.64908349727004e-07	3.64408487406266e-07
YOL086C	P00330	ADH1	36.84874	1	1000	subOpt_isoenz	2	0	3.09963170603033e-10	0
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72298307274873e-08	2.72773887343837e-08	2.72466152002226e-08
YJR024C	P47095	MDE1	27.42662	2	1000	tightly_const	2	1.21469255292723e-07	1.21486457790958e-07	1.21469255292723e-07
YPR118W	Q06489	MRI1	45.01983	1	1000	essential	2	1.20014654647222e-10	2.00233689237751e-09	1.20014654647222e-10
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	3.25242290468508e-11	4.07533677562301e-09	1.5728024228112e-10
YDR452W	Q04119	PPN1	78.34335	1	1000	opt_isoenz	2	0	1.08172830034616e-09	1.59461388661699e-12
NAS2	Q9FKT9	NAS2	35.679	2	1000	tightly_const	2	0.00240509365988957	0.00240509365989438	0.00240509365988957
YLR044C	P06169	PDC1	61.49468	2	11.8651588262159	essential	2	8.79482143537564e-07	8.91965046874769e-07	8.81053937244361e-07
YGR087C	P26263	PDC6	61.57964	1	11.8651588262159	subOpt_isoenz	2	0	2.45206826248377e-09	0
YLR134W	P16467	PDC5	61.91138	1	11.8651588262159	subOpt_isoenz	2	0	2.37924283114339e-09	0
YAL038W	P00549	CDC19	54.54404	2	2.43758031168462	essential	2	1.9051878449951e-06	2.03903573652799e-06	2.0380278715143e-06
YOR347C	P52489	PYK2	55.19478	1	2.43758031168462	subOpt_isoenz	2	0	1.33006219875826e-07	0
YGR254W	P00924	ENO1	46.81564	2	2.28211783963298	essential	2	1.91538241710513e-06	2.09149871270809e-06	2.08952095648622e-06
YHR174W	P00925	ENO2	46.91368	1	2.28211783963298	subOpt_isoenz	2	0	2.61049858481705e-09	0
YKL152C	P00950	GPM1	27.60828	1	2.28211783963298	subOpt_isoenz	2	0	9.10390974165679e-09	0
YMR323W	P42222	ERR3	47.31216	1	2.28211783963298	subOpt_isoenz	2	0	1.74306177143061e-07	0
YOR393W	P0CX10	ERR1	47.32712	1	2.28211783963298	subOpt_isoenz	2	0	1.69228636636261e-07	0
YPL281C	P0CX11	ERR2	47.32712	1	2.28211783963298	subOpt_isoenz	2	0	1.69228636677249e-07	0
YOR283W	Q12040	YOR283W	26.17622	2	2.28211783963298	essential	2	5.7069272531464e-07	5.80285841152545e-07	5.7693878995851e-07
YLR354C	P15019	TAL1	37.0359	2	1.24772806055465	tightly_const	2	3.28168301056184e-06	3.29044831344785e-06	3.28326961183036e-06
YGR043C	P53228	NQM1	37.25314	1	1.24772806055465	subOpt_isoenz	2	0	3.33485159181803e-09	0
YDR050C	P00942	TPI1	26.79508	2	1.21615589285934	essential	2	2.8336362085508e-08	3.15650160002109e-08	2.83404908578614e-08
YCR012W	P00560	PGK1	44.73787	2	1.21603274077895	tightly_const	2	9.09689989601719e-07	9.11672748069524e-07	9.09778565052929e-07
YGR192C	P00359	TDH3	35.74626	1	1.21603274077895	subOpt_isoenz	2	0	3.52743368329234e-09	0
YJL052W	P00360	TDH1	35.74956	2	1.21603274077895	tightly_const	2	1.68339119032124e-05	1.6846472933089e-05	1.68371770489214e-05
YJR009C	P00358	TDH2	35.84645	1	1.21603274077895	subOpt_isoenz	2	0	5.67001595957224e-09	0
YGR240C	P16861	PFK1	107.96906	1	1.2155544854291	subOpt_isoenz	2	0	3.53853336920683e-09	0
YKL060C	P14540	FBA1	39.62024	1	1.2155544854291	subOpt_isoenz	2	0	3.66553257604711e-09	0
YMR205C	P16862	PFK2	104.61673	2	1.2155544854291	tightly_const	2	6.8700038543633e-07	6.90488272583924e-07	6.8976320139306e-07
