rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
newRxn1	1	s_0597	reactant	extracellular
newRxn1	1	s_1067	reactant	extracellular
newRxn1	1	s_1163	reactant	extracellular
newRxn1	1	s_1288	reactant	extracellular
newRxn1	1	s_1295	reactant	extracellular
newRxn1	1	s_1450	reactant	extracellular
newRxn1	1	s_2826	reactant	extracellular
newRxn1	1	s_4209	product	extracellular
newRxn2	1	s_4209	reactant	extracellular
newRxn3	1	s_0068	reactant	mitochondrion
newRxn3	1	s_1200	reactant	mitochondrion
newRxn3	1	s_0460	product	mitochondrion
newRxn3	1	s_1205	product	mitochondrion
newRxn3	1	s_1401	product	mitochondrion
newRxn4	1	s_0434	reactant	cytoplasm
newRxn4	1	s_0522	reactant	cytoplasm
newRxn4	1	s_0529	reactant	cytoplasm
newRxn4	1/k1	prot_Q91V92	reactant	cytoplasm
newRxn4	1	s_0373	product	cytoplasm
newRxn4	1	s_0394	product	cytoplasm
newRxn4	1	s_1271	product	cytoplasm
newRxn4	1	s_1322	product	cytoplasm
newRxn5	1	s_0373	reactant	cytoplasm
newRxn5	21	s_0794	reactant	cytoplasm
newRxn5	7	s_1101	reactant	cytoplasm
newRxn5	14	s_1212	reactant	cytoplasm
newRxn5	1/k2	prot_A0A2Z6EZ44	reactant	cytoplasm
newRxn5	1/k2	prot_A0A2Z6EYW1	reactant	cytoplasm
newRxn5	7	s_0456	product	cytoplasm
newRxn5	7	s_0529	product	cytoplasm
newRxn5	7	s_0803	product	cytoplasm
newRxn5	14	s_1207	product	cytoplasm
newRxn5	1	s_1302	product	cytoplasm
newRxn6	1	s_0373	reactant	cytoplasm
newRxn6	24	s_0794	reactant	cytoplasm
newRxn6	8	s_1101	reactant	cytoplasm
newRxn6	16	s_1212	reactant	cytoplasm
newRxn6	1/k2	prot_A0A2Z6EZ44	reactant	cytoplasm
newRxn6	1/k2	prot_A0A2Z6EYW1	reactant	cytoplasm
newRxn6	8	s_0456	product	cytoplasm
newRxn6	8	s_0529	product	cytoplasm
newRxn6	8	s_0803	product	cytoplasm
newRxn6	16	s_1207	product	cytoplasm
newRxn6	1	s_1454	product	cytoplasm
newRxn7	1	s_0373	reactant	cytoplasm
newRxn7	18	s_0794	reactant	cytoplasm
newRxn7	6	s_1101	reactant	cytoplasm
newRxn7	12	s_1212	reactant	cytoplasm
newRxn7	1/k2	prot_A0A2Z6EZ44	reactant	cytoplasm
newRxn7	1/k2	prot_A0A2Z6EYW1	reactant	cytoplasm
newRxn7	6	s_0456	product	cytoplasm
newRxn7	6	s_0529	product	cytoplasm
newRxn7	6	s_0803	product	cytoplasm
newRxn7	12	s_1207	product	cytoplasm
newRxn7	1	s_1176	product	cytoplasm
newRxn8	1	s_0373	reactant	cytoplasm
newRxn8	15	s_0794	reactant	cytoplasm
newRxn8	5	s_1101	reactant	cytoplasm
newRxn8	10	s_1212	reactant	cytoplasm
newRxn8	1/k2	prot_A0A2Z6EZ44	reactant	cytoplasm
newRxn8	1/k2	prot_A0A2Z6EYW1	reactant	cytoplasm
newRxn8	5	s_0456	product	cytoplasm
newRxn8	5	s_0529	product	cytoplasm
newRxn8	5	s_0803	product	cytoplasm
newRxn8	10	s_1207	product	cytoplasm
newRxn8	1	s_1073	product	cytoplasm
newRxn9	1	s_0373	reactant	cytoplasm
newRxn9	12	s_0794	reactant	cytoplasm
newRxn9	4	s_1101	reactant	cytoplasm
newRxn9	8	s_1212	reactant	cytoplasm
newRxn9	1/k2	prot_A0A2Z6EZ44	reactant	cytoplasm
newRxn9	1/k2	prot_A0A2Z6EYW1	reactant	cytoplasm
newRxn9	4	s_0456	product	cytoplasm
newRxn9	4	s_0529	product	cytoplasm
newRxn9	4	s_0803	product	cytoplasm
newRxn9	8	s_1207	product	cytoplasm
newRxn9	1	s_4210	product	cytoplasm
newRxn10	1	s_1302	reactant	cytoplasm
newRxn10	1	s_0803	reactant	cytoplasm
newRxn10	1/k3	prot_P0ADA1	reactant	cytoplasm
newRxn10	1	s_0529	product	cytoplasm
newRxn10	1	s_1286	product	cytoplasm
newRxn10	1	s_0794	product	cytoplasm
newRxn11	1	s_1454	reactant	cytoplasm
newRxn11	1	s_0803	reactant	cytoplasm
newRxn11	1/k3	prot_P0ADA1	reactant	cytoplasm
newRxn11	1	s_0529	product	cytoplasm
newRxn11	1	s_1449	product	cytoplasm
newRxn11	1	s_0794	product	cytoplasm
newRxn12	1	s_1262	reactant	cytoplasm
newRxn12	1	s_0803	reactant	cytoplasm
newRxn12	1/k3	prot_P0ADA1	reactant	cytoplasm
newRxn12	1	s_0529	product	cytoplasm
newRxn12	1	s_1260	product	cytoplasm
newRxn12	1	s_0794	product	cytoplasm
newRxn13	1	s_4210	reactant	cytoplasm
newRxn13	1	s_0803	reactant	cytoplasm
newRxn13	1/k3	prot_P0ADA1	reactant	cytoplasm
newRxn13	1	s_0529	product	cytoplasm
newRxn13	1	s_0595	product	cytoplasm
newRxn13	1	s_0794	product	cytoplasm
newRxn14	1	s_1073	reactant	cytoplasm
newRxn14	1	s_0803	reactant	cytoplasm
newRxn14	1/k3	prot_P0ADA1	reactant	cytoplasm
newRxn14	1	s_0529	product	cytoplasm
newRxn14	1	s_1065	product	cytoplasm
newRxn14	1	s_0794	product	cytoplasm
newRxn15	1	s_1176	reactant	cytoplasm
newRxn15	1	s_0803	reactant	cytoplasm
newRxn15	1/k3	prot_P0ADA1	reactant	cytoplasm
newRxn15	1	s_0529	product	cytoplasm
newRxn15	1	s_1161	product	cytoplasm
newRxn15	1	s_0794	product	cytoplasm
newRxn16	1	s_2877	reactant	cytoplasm
newRxn16	1	s_0803	reactant	cytoplasm
newRxn16	1/k3	prot_P0ADA1	reactant	cytoplasm
newRxn16	1	s_0529	product	cytoplasm
newRxn16	1	s_1293	product	cytoplasm
newRxn16	1	s_0794	product	cytoplasm
newRxn17	MW1	prot_pool	reactant	cytoplasm
newRxn17	1	prot_Q91V92	product	cytoplasm
newRxn18	MW2	prot_pool	reactant	cytoplasm
newRxn18	1	prot_A0A2Z6EZ44	product	cytoplasm
newRxn19	MW3	prot_pool	reactant	cytoplasm
newRxn19	1	prot_A0A2Z6EYW1	product	cytoplasm
newRxn20	MW4	prot_pool	reactant	cytoplasm
newRxn20	1	prot_P0ADA1	product	cytoplasm
