Chemicals	RxnID	Description	Reaction	Gene	Protein	Enzyme	Kcat (1/s)	MW (KDa)	s.a.(µmol/min/mg)	Similar species	_ (h-1)	product yield in vivo	in silico	Medium	OE	deletion	Ref
Lactic acid	1	L-lactate dehydrogenase	s_1399 + s_1203 + s_0794 + 3.95999e-05 prot_P19858 -> s_0063 + s_1198	LDHA (Bos taurus)	P19858	1.1.1.27	7.0146	36.598	11.5		0.29	0.89 g/g	0.77 g/g	YEP		"GPD1,CYB2,PDC1,ADH1, ALD6"	Introduction of a bacterial acetyl-CoA synthesis pathway improves lactic acid production in Saccharomyces cerevisiae
	2	acetaldehyde dehydrogenase	s_0359 + s_0529 + s_1198 + 1.76929e-05 prot_P77445 -> s_0373 + s_1203 + s_0794	EutE (E.coli)	P77445	1.2.1.10	15.7	49.022									
	3	draw_prot_P19858	36.598 prot_pool  -> prot_P19858 														
	4	draw_prot_P77445	49.022 prot_pool  -> prot_P77445 														
	5	L-lactate transport	s_0063 -> s_0064														
	6	L-lactate exchange	s_0064 ->														
																	
Malate	r_0958No1	pyruvate carboxylase (No1)	pmet_r_0958 + 0.000534188 prot_P32327  -> s_0394 + s_0794 + s_1271 + s_1322 				0.52	130.166	0.24		0.1	0.42 mol/mol	0.95 mol/mol	Min	PYC2	"PDC1,5,6, MDH3"	"Malic Acid Production by Saccharomyces cerevisiae: Engineering of Pyruvate Carboxylation, Oxaloacetate Reduction, and Malate Export"
	r_0958No2	pyruvate carboxylase (No2)	pmet_r_0958 + 0.000534188 prot_P11154  -> s_0394 + s_0794 + s_1271 + s_1322 					130.098							PYC2		
	r_0714_REVNo1	"malate dehydrogenase, cytoplasmic (reversible) (No1)"	s_0794 + s_1203 + s_1271 + 1.34162e-05 prot_P22133  -> s_0066 + s_1198 				20.70467083	40.7305	30.5						MDH2		
	r_1901_REV	L-malate transport (reversible)	s_0066  + prot_P50537 -> s_0067 	mae1 (Schizosaccharomyces pombe)	P50537	2.A.16.2.1Ê		49.304									
	1	draw_prot_P50537	49.304 prot_pool  -> prot_P50537 														
																	
"cis,cis-muconic acid"	1	dehydroshikimate dehydratase	s_0211 + 2.28737e-06 prot_3DSD -> s_4211 + s_0803	Pa_5_5120 (Podospora anserina)	3DSD	4.2.1.118	121.44	40.48	180		0.1	0.0039 g/g	0.0903 g/g	YEP		"ARO3, ARO4, ZWF1"	Metabolic engineering of muconic acid production inÊSaccharomyces cerevisiae
	2	protocatechuic acid decarboxylase	s_4211 + s_0794 + 3.08642e-06 prot_A0A0H3CJN8 -> s_0456 + s_4212	ECL_01944 (Enterobacter cloacae)	A0A0H3CJN8	4.1.1.63	90	53.541		Sedimentibacter hydroxybenzoicus							
	3	"catechol 1,2-dioxygenase"	s_4212 + s_1275 + 1.7611e-06 prot_P86029 -> 2 s_0794 + s_4213	HQD2 (Candida albicans)	P86029	1.13.11.1	157.7333333	33.8	280								
	4	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	s_0551 + s_0803 + s_1360 + 0.0033548 prot_P32449ly  -> s_0349 + s_1322 	ARO4K229L (S. cerevisiae)	P32449ly	2.5.1.54	0.082809792	39.7487	0.125								Alleviation of feedback inhibition in Saccharomyces cerevisiae aromatic amino acid biosynthesis: Quantification of metabolic impact
	5	draw_prot_3DSD	40.48 prot_pool  -> prot_3DSD														
	6	draw_prot_A0A0H3CJN8	53.541 prot_pool  -> prot_A0A0H3CJN8														
	7	draw_prot_P86029	33.8 prot_pool  -> prot_P86029			 											
	8	draw_prot_P32449ly	39.7487 prot_pool  -> prot_P32449ly														
	9	"cis,cis-muconic acid transport"	s_4213 -> s_4214														
	10	"cis,cis-muconic acid exchange"	s_4214 ->														
																	
Resveratrol	1	tyrosine ammonia-lyase	s_1051 + 0.00365497 prot_A9B0P2 -> s_0419 + s_4215	Haur_4629	A9B0P2	4.3.1.23	0.076	56.397			0.15	0.0021 g/g	0.0025 g/g	Min			De novo production of resveratrol from glucose or ethanol by engineered Saccharomyces cerevisiae
	2	4-coumaryl-CoAÊligase	s_4215 + s_0434 + s_0529 + 2.18389e-05 prot_Q42524 -> s_0423 + s_0633 + s_4216	4CL1	Q42524	6.2.1.12	12.719375	61.053	12.5								
	3	resveratrolÊsynthase	3 s_0794 + s_4216 + 3 s_1101 + 0.0925926 prot_P28343 -> 4 s_0529 + 4 s_0456 + s_4217	VST1	P28343	2.3.1.95	0.003	42.84									
	4	draw_prot_A9B0P2	56.397 prot_pool  -> prot_A9B0P2														
	5	draw_prot_Q42524	61.053 prot_pool  -> prot_Q42524														
	6	draw_prot_P28343	42.84 prot_pool  -> prot_P28343														
	7	resveratrol transport	s_4217 -> s_4218														
	8	resveratrol exchange	s_4218 ->														
																	
