genes	enzymes	shortNames	MWs	actions	k_scores
YCR005C	P08679	CIT2	51.41279	1	1000
YDL078C	P32419	MDH3	37.18575	1	1000
YDR148C	P19262	KGD2	50.43011	1	1000
YDR256C	P15202	CTA1	58.55479	1	1000
YER015W	P39518	FAA2	83.43704	1	1000
YGL205W	P13711	POX1	84.04132	1	1000
YGR244C	P53312	LSC2	46.90018	1	1000
YIL125W	P20967	KGD1	114.41496	1	1000
YIL160C	P27796	POT1	44.72993	1	1000
YJR019C	P41903	TES1	40.25927	1	1000
YKL106W	Q01802	AAT1	51.79484	1	1000
YKL188C		PXA2	NaN	1	1000
YKR009C	Q02207	FOX2	98.70186	1	1000
YML042W	P32796	CAT2	77.24096	1	1000
YMR241W		YHM2	NaN	1	1000
YOR100C		CRC1	NaN	1	1000
YOR142W	P53598	LSC1	35.03207	1	1000
YPL147W		PXA1	NaN	1	1000
YBR117C	P33315	TKL2	75.02862	1	41.0613797574208
YPR074C	P23254	TKL1	73.80488	1	34.7032986171263
YJR051W	P21375	OSM1	55.06455	1	29.9496238434194
YAL054C	Q01574	ACS1	79.13997	1	13.5139328443317
YGR087C	P26263	PDC6	61.57964	1	13.5139328443317
YLR044C	P06169	PDC1	61.49468	1	13.5139328443317
YLR134W	P16467	PDC5	61.91138	1	13.5139328443317
YLR153C	P52910	ACS2	75.49079	1	13.5139328443317
YPL061W	P54115	ALD6	54.41344	1	13.5139328443317
YNR016C	Q00955	ACC1	250.35091	1	13.4597937435438
YDL141W	P48445	BPL1	76.36203	1	13.4597937435438
YLR174W	P41939	IDP2	46.56172	1	9.4738518055467
YJL121C	P46969	RPE1	25.96689	1	9.27097405594813
YKL085W	P17505	MDH1	35.64959	1	5.77135317495665
YGR248W	P53315	SOL4	28.44737	1	5.09051805001783
YGR256W	P53319	GND2	53.92235	1	5.09051805001783
YHR163W	P38858	SOL3	27.78417	1	5.09051805001783
YHR183W	P38720	GND1	53.54274	1	5.09051805001783
YNL241C	P11412	ZWF1	57.5209	1	5.09051805001783
YNL036W	P53615	NCE103	24.85889	1	3.65802900855219
YFR053C	P04806	HXK1	53.73784	1	3.18415635075699
YCL040W	P17709	GLK1	55.37689	1	3.18415635075698
YGL253W	P04807	HXK2	53.9419	1	3.18415635075698
YLR446W	Q06204	YLR446W	48.96875	1	3.18415635075698
YOR095C	Q12189	RKI1	28.25777	1	2.78477772551143
YDR226W	P07170	ADK1	24.2546	1	2.4506630948585
YAL038W	P00549	CDC19	54.54404	1	2.12007567396938
YOR347C	P52489	PYK2	55.19478	1	2.12007567396938
YGR254W	P00924	ENO1	46.81564	1	1.98764038461554
YHR174W	P00925	ENO2	46.91368	1	1.98764038461554
YKL152C	P00950	GPM1	27.60828	1	1.98764038461554
YMR323W	P42222	ERR3	47.31216	1	1.98764038461554
YOR393W	P0CX10	ERR1	47.32712	1	1.98764038461554
YPL281C	P0CX11	ERR2	47.32712	1	1.98764038461554
YOR283W	Q12040	YOR283W	26.17622	1	1.98764038461554
YMR267W	P28239	PPA2	35.57213	1	1.93847943155018
YML120C	P32340	NDI1	57.24915	1	1.2849538357859
YCR012W	P00560	PGK1	44.73787	1	1.13723143699258
YGR192C	P00359	TDH3	35.74626	1	1.13723143699258
YJL052W	P00360	TDH1	35.74956	1	1.13723143699258
YJR009C	P00358	TDH2	35.84645	1	1.13723143699258
YDR050C	P00942	TPI1	26.79508	1	1.04521205240717
YMR205C	P16862	PFK2	104.61673	1	1.03967179336366
YGR240C	P16861	PFK1	107.96906	1	1.03967179336364
YKL060C	P14540	FBA1	39.62024	1	1.03967179336364
YKL067W	P36010	YNK1	17.16647	0	0.293491461327996
YDL066W	P21954	IDP1	48.18986	0	0.27783
YBR029C	P38221	CDS1	51.82218	0	0.276191409728277
YBR218C	P32327	PYC2	130.16549	0	0.266775225422029
YGL062W	P11154	PYC1	130.09827	0	0.266775225422029
YOR175C	Q08548	ALE1	72.22714	0	0.262072221496403
YDL052C	P33333	SLC1	33.88654	0	0.233865493237695
YAL062W	P39708	GDH3	49.62653	0	0.23077488940826
YOR375C	P07262	GDH1	49.56931	0	0.23077488940826
YCR048W	P25628	ARE1	71.61215	0	0.220003558044872
YDR503C	Q04396	LPP1	31.58604	0	0.207961799611878
YNR019W	P53629	ARE2	74.022	0	0.207585615135532
YER081W	P40054	SER3	51.1927	0	0.186575633840613
YGR208W	P42941	SER2	34.20684	0	0.186575633840613
YIL074C	P40510	SER33	51.18777	0	0.186575633840613
YOR184W	P33330	SER1	43.41501	0	0.186575633840613
YLR058C	P37291	SHM2	52.21793	0	0.180394267626021
YBR263W	P37292	SHM1	53.68589	0	0.178544325176264
YOR388C	Q08911	FDH1	41.7138	0	0.177054302971225
YOR245C	Q08650	DGA1	47.71075	0	0.164378422703298
YBR291C		CTP1	NaN	0	0.147
YGL080W		MPC1	NaN	0	0.0892967877844474
YGR243W		MPC3	NaN	0	0.0892967877844474
YHR162W		MPC2	NaN	0	0.0892967877844474
YBR221C	P32473	PDB1	40.0532	0	0
YER178W	P16387	PDA1	46.34261	0	0
YGR193C	P16451	PDX1	45.36125	0	0
YNL071W	P12695	LAT1	51.81762	0	0
YNR001C	P00890	CIT1	53.35945	0	0
YOL126C	P22133	MDH2	40.7305	0	0
YPR001W	P43635	CIT3	53.81073	0	0
