genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz	2	0	1.86630817356109e-09	1.51086592825316e-09
YEL063C		CAN1	NaN	1	1000		2	NaN	NaN	NaN
YKR039W		GAP1	NaN	1	1000		2	NaN	NaN	NaN
YNL270C		ALP1	NaN	1	1000		2	NaN	NaN	NaN
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz	2	0	2.41928951205937e-10	1.9585308348689e-10
YKL060C	P14540	FBA1	39.62024	1	667.008864952891	opt_isoenz	2	0	0.0018683396968265	8.29518929320124e-10
YGR240C	P16861	PFK1	107.96906	1	500.513297429337	subOpt_isoenz	2	0	3.30662372248341e-07	0
YMR205C	P16862	PFK2	104.61673	2	400.615977931913	essential	2	3.30651218317952e-07	5.94636066156544e-07	5.94617071079637e-07
YBR117C	P33315	TKL2	75.02862	1	43.7802679919051	subOpt_isoenz	2	0	0.000986420321012115	0
YPR074C	P23254	TKL1	73.80488	1	36.9981476431919	opt_isoenz	2	0	0.00100277533983974	9.86421890439962e-07
YHR018C	P04076	ARG4	51.9886	1	31.6417828381748	essential	2	3.87219178018689e-08	0.00142221456308758	3.87219178018689e-08
YJL088W	P05150	ARG3	37.84479	2	31.6417828381748	tightly_const	2	1.38359868457329e-06	1.38360549183829e-06	1.38359868457329e-06
YOL058W	P22768	ARG1	46.92715	1	31.6417828381748	essential	2	6.57635478949305e-06	0.00158214300179339	6.57635478949305e-06
YJR109C	P03965	CPA2	123.91392	2	20.7213821835142	tightly_const	2	4.31270820945831e-08	4.31274409390055e-08	4.31270820945831e-08
YOR303W	P07258	CPA1	45.36103	2	20.7213821835142	tightly_const	2	4.31270820945831e-08	4.31274409390055e-08	4.31270820945831e-08
YLR174W	P41939	IDP2	46.56172	1	19.2754287528563	essential	2	1.97208233081328e-06	0.00158990697991578	1.97245095125975e-06
YMR062C	Q04728	ARG7	47.84821	1	15.772764845932	essential	2	6.60350008916403e-06	0.00155184332311361	6.60373337931777e-06
YOL140W	P18544	ARG8	46.68082	2	15.772764845932	tightly_const	2	7.47443522338261e-05	7.47592441002952e-05	7.47469928213351e-05
YOR130C		ORT1	NaN	1	15.772764845932		2	NaN	NaN	NaN
YER069W	Q01217	ARG5,6	94.86823	2	15.7727648452354	tightly_const	2	3.00919308170137e-05	3.0097926253609e-05	3.00929939125351e-05
YKL029C	P36013	MAE1	74.37529	2	15.7587993983669	tightly_const	2	8.64615314806914e-07	8.64882610530553e-07	8.64645859021597e-07
YPL262W	P08417	FUM1	53.15125	1	15.0031408339694	essential	2	1.12199186034033e-07	0.0013911775386199	1.1219953555842e-07
YPR021C		AGC1	NaN	1	11.2986408032505		2	NaN	NaN	NaN
YJL121C	P46969	RPE1	25.96689	1	9.86966624833911	essential	2	5.99567969399353e-07	0.00284795268773571	5.99675392031555e-07
YPR035W	P32288	GLN1	41.7656	2	7.09563772669715	tightly_const	2	2.31457620635614e-06	2.31467815407294e-06	2.31457620635609e-06
YGR248W	P53315	SOL4	28.44737	1	5.41040710674208	subOpt_isoenz	2	0	1.07848133314454e-05	0
YGR256W	P53319	GND2	53.92235	1	5.41040710674208	subOpt_isoenz	2	0	2.96285935472624e-06	0
YHR163W	P38858	SOL3	27.78417	2	5.41040710674208	opt_isoenz_tight	2	0	1.07848133314358e-05	1.07844937135451e-05
YHR183W	P38720	GND1	53.54274	2	5.41040710674208	opt_isoenz_tight	2	0	2.96285935472652e-06	2.96277154765418e-06
YNL241C	P11412	ZWF1	57.5209	2	5.41040710674208	tightly_const	2	1.70395891883454e-07	1.70429840126557e-07	1.7042480208872e-07
YOL126C	P22133	MDH2	40.7305	1	5.32075506786447	essential	2	1.46787669077951e-08	0.00181528655553609	1.46792444947911e-08
YKL085W	P17505	MDH1	35.64959	1	5.23879013642039	essential	2	6.62081016044516e-07	0.00207465259336955	6.62109401112735e-07
YNR001C	P00890	CIT1	53.35945	2	5.23879013642039	opt_isoenz_tight	2	0	8.92211626574089e-07	8.92181208267412e-07
YPR001W	P43635	CIT3	53.81073	1	5.23879013642039	subOpt_isoenz	2	0	8.92211607075054e-07	0
YNL036W	P53615	NCE103	24.85889	1	4.76632685714834	opt_isoenz	2	0	0.00297426406540571	4.073619686916e-10
YBR218C	P32327	PYC2	130.16549	1	4.74312421772812	subOpt_isoenz	2	0	4.25796645273325e-06	0
YGL062W	P11154	PYC1	130.09827	2	4.74312421504173	opt_isoenz_tight	2	0	4.25796645272828e-06	4.25743770803742e-06
YLR027C	P23542	AAT2	46.05711	1	4.284638207127	opt_isoenz	2	0	0.00160555774724364	2.25862316459199e-07
YDR384C		ATO3	NaN	1	3.98949197123077		2	NaN	NaN	NaN
YGR121C		MEP1	NaN	1	3.98949197123077		2	NaN	NaN	NaN
YNL142W		MEP2	NaN	1	3.98949197123077		2	NaN	NaN	NaN
YPR138C		MEP3	NaN	1	3.98949197123077		2	NaN	NaN	NaN
YOR095C	Q12189	RKI1	28.25777	1	2.95089243636513	essential	2	4.14086204953328e-06	0.00262065562567205	4.14149727152576e-06
YBR221C	P32473	PDB1	40.0532	2	2.70662370377559	tightly_const	2	2.02827174369443e-06	2.02837259010631e-06	2.0283111006791e-06
YER178W	P16387	PDA1	46.34261	2	2.70662370377559	tightly_const	2	2.02827174369443e-06	2.02837259010631e-06	2.0283111006791e-06
YGR193C	P16451	PDX1	45.36125	2	2.70662370377559	tightly_const	2	2.02827174369443e-06	2.02837259010631e-06	2.0283111006791e-06
YNL071W	P12695	LAT1	51.81762	2	2.70662370377559	tightly_const	2	2.02827174369443e-06	2.02837259010631e-06	2.0283111006791e-06
YAL062W	P39708	GDH3	49.62653	1	1.83560763838221	subOpt_isoenz	2	0	9.80049372379203e-06	0
YOR375C	P07262	GDH1	49.56931	2	1.83560763838221	opt_isoenz_tight	2	0	9.80049372379245e-06	9.80031792890123e-06
YAL038W	P00549	CDC19	54.54404	2	1.78448881272406	opt_isoenz_tight	2	0	1.38591232868496e-06	1.38589380230888e-06
YOR347C	P52489	PYK2	55.19478	1	1.78448881272406	subOpt_isoenz	2	0	1.38591232868496e-06	0
YGR254W	P00924	ENO1	46.81564	1	1.67639180391912	opt_isoenz	2	0	0.00158075427050161	1.43171696139596e-06
YOR283W	Q12040	YOR283W	26.17622	1	1.67639180391912	opt_isoenz	2	0	0.00282498149875834	3.95312164114353e-07
YHR174W	P00925	ENO2	46.91368	1	1.67639180391912	subOpt_isoenz	2	0	0.00157744875901617	0
YKL152C	P00950	GPM1	27.60828	1	1.67639180391912	subOpt_isoenz	2	0	0.00267844382833367	0
YMR323W	P42222	ERR3	47.31216	1	1.67639180391912	subOpt_isoenz	2	0	0.00156416225888519	0
YOR393W	P0CX10	ERR1	47.32712	1	1.67639180391912	subOpt_isoenz	2	0	0.00156366985566608	0
YPL281C	P0CX11	ERR2	47.32712	1	1.67639180391912	subOpt_isoenz	2	0	0.0015636698556661	0
YML120C	P32340	NDI1	57.24915	1	1.52675556770125	opt_isoenz	2	0	7.73202150178284e-05	7.82260978976871e-07
YLL052C		AQY2	NaN	1	1.26259202337773		2	NaN	NaN	NaN
YPR192W		AQY1	NaN	1	1.26259202337773		2	NaN	NaN	NaN
