compound	bioYield_ec	prodYield_ec	prodRate_ec	bioYield_gem	prodYield_gem	prodRate_gem
(R,R)-2,3-butanediol	0.483767870863022	1.07715127623568	81.2328760788132	0.488744722172855	1.07715021972768	708.9125
2-phenylethanol	0.483767870863017	0.546175623631712	5.08130847229466	0.488744722172855	0.546175623611762	319.681591119334
glycerol	0.483767870863026	1.5823961747458	66.6095462982556	0.488744722172855	1.5823961747458	1000
isoamylol	0.483767870863024	0.74729768739439	5.27170860931647	0.488744722172855	0.747297687394348	337.790291262136
isobutanol	0.483767870863023	1	16.5256490957458	0.488744722172855	1	536.697607541158
L-phenylacetylcarbinol	0.476544587413273	1	1	NaN	NaN	NaN
n-butanol	0.482521620717574	0.887245720103551	7.13009532594305	NaN	NaN	NaN
docosanol	0.484026005687823	0.00184561628792946	0.00185122354714094	NaN	NaN	NaN
choline	0.483767870863022	0.195860784949037	0.195950375233679	0.488744722172855	0.556194790388475	118.889473684211
hypoxanthine	0.483767870863024	0.976339109610811	1.28041160188687	0.488744722172855	0.976339109609776	142.24807692308
xanthine	0.483767870863024	0.77844667547292	0.804269500551172	0.488744722172855	0.942110257103426	117.374311926605
(S)-Reticuline	0.483767870863023	0.00123229340976454	0.00123615738586238	NaN	NaN	NaN
psilocybin	0.483767870863022	0.000774820095231392	0.000777280456177913	NaN	NaN	NaN
cinnamoyltropine	0.483767870863023	0.000544852750656395	0.000546591549433159	NaN	NaN	NaN
glutathione	0.483767870863027	0.457394322126151	3.15384559727541	NaN	NaN	NaN
L-alanine	0.483767870863021	1	1	0.488744722175621	1	1
L-arginine	0.483767870863022	0.25	0.25	0.488744722175621	0.25	0.25
L-asparagine	0.483767870863024	0.5	0.5	0.488744722175621	0.500000000000001	0.5
L-aspartate	0.483767870863024	1	1	0.488744722175621	1	1
L-citrulline	0.483767870863023	0.333333333333333	0.333333333333333	0.488744722175621	0.333333333333333	0.333333333333409
L-cysteine	0.483767870863023	1	1	0.488744722175621	0.999999999999433	0.999999999999987
L-glutamate	0.483767870863024	0.999998000002	1	0.488744722175621	0.999998000002024	1
L-glutamine	0.483767870863024	0.5	0.5	0.488744722175621	0.5	0.5
L-glycine	0.483767870863023	1	0.999999999999999	0.488744722175621	1.00000000000007	1
L-histidine	0.483767870863022	0.333333333333333	0.333333333333333	0.488744722175621	0.333333333333334	0.333333333333333
L-homoserine	0.483767870863024	1	1	0.488744722175621	1	1
L-isoleucine	0.483767870863023	0.740763694531102	1	0.488744722175621	0.740763694531246	1
L-leucine	0.483767870863023	0.714726489863409	1	0.488744722175621	0.714726489862326	1
L-lysine	0.483767870863027	0.5	0.5	0.488744722175621	0.499999999999886	0.5
