models	passed
3HP_GEM	0
FFAs_GEM	0
(s)-reticuline	0
2-phenylethanol	0
3-methylbutanol	0
3hp-asp	0
3hp-malcoa	0
4-hydroxymandelic_acid	0
ara	0
acetaldehyde	1
acetate	1
adipic_acid	0
alanine	1
amorphadiene	0
arginine	1
artemisinic_acid	0
asparagine	1
aspartate	1
astaxanthin	0
catechin	0
cinnamate	0
citrate	1
citrulline	1
coumaric_acid	0
cysteine	1
dha	0
docosanol	0
epa	0
ergosterol	1
ethylene	0
ffas	0
farnesene	0
fumaric_acid	0
genistein	0
geraniol	0
glucagon	1
glutamate	1
glutathione	0
glycerol	1
glycine	1
glycolate	1
guanine	0
hsa	1
hemoglobin	1
hexanoate	1
histidine	1
homoserine	1
hypoxanthine	0
isobutanol	0
isoleucine	1
itaconic_acid	0
kaempferol	0
lactase	1
lactate	0
laurate	1
leucine	1
limonene	0
linalool	0
lupeol	0
lysine	1
malate	1
methionine	1
narinrenin	0
oleanolate	0
oleate	1
ornithine	0
oxoglutarate	1
palmitoleate	1
patchoulol	0
phenylalanine	1
proline	1
protopanaxadiol	0
putrescine	1
pyruvate	0
quercetin	0
r,r-2,3-butanediol	1
resveratrol	0
santalene	0
serine	1
spermine	1
suc-retca	0
threonine	1
thymidine	1
tryptophan	1
tyrosine	1
urea	0
valine	1
xanthine	0
xanthone	0
alpha_amylase	1
beta_amyrin	0
beta_carotene	0
beta_ionone	0
cis_muconate	0
glutamine	1
mandelic_acid	0
n-butanol	0
triacylglycerol	1
