chemical	bioY1	bioY2	bioY3	proY1	proY2	proY3	proR1	proR2	proR3
2-phenylethanol	0.483365049800528	0	0.479659784097192	0.491577787383014	0	0.49199631462952	4.96486734564604	0	8.20172296306146
2_fucosyllactose	0.679230638407032	0.679230638407036	0.679202044203863	0.0185619204317252	0.0190819135700026	0.0359506429798451	0.00149715148812811	0.00149713010669933	0.00299202012051477
3-methylbutanol	0.657962298001617	0.336044228165371	0.657962289673663	0.808503140356329	0.830225029458796	0.808503141218497	5.18509581380218	6.06327706187116	5.76869579732946
4-hydroxymandelic_acid	0.48546824812541	0	0.485468248125409	0.535206976136931	0.594577662850059	0.535206976136931	4.11674147680015	4.49440293623764	6.8671984670861
adipic_acid	0.657962298001621	0.657962298001616	0.657962298001619	0.804086408420841	0.713584656460029	0.804086408420839	19.8143904639777	0.728789567985567	27.1515205464821
amorphadiene	0.483365049800526	0.483365049800526	0.483365049800529	0.210842217939256	0.210842217939255	0.210842217939254	0.451172114951516	0.690809634467235	0.557522824235465
astaxanthin	0.657962298001622	0.65796229800162	0.657962298001623	0.000481109429885504	0.000481118490577524	0.00095046100500754	0.0003919742460743	0.000391981719186225	0.000782534796126992
betaxanthin	0.645349952336214	0.645349952336217	0.645332354049967	0.00839813418575339	0.00839813418575233	0.0167150741809817	0.00351522094940826	0.0035152209494079	0.00702960133798813
caffeic_acid	0.657962298001622	0.657954551702946	0.657962298001617	0.00216291521610085	0.00216290433492614	0.00432571862944741	0.00174071395653559	0.00174069281187084	0.00348133793422533
cinnamoyltropine	0.657962298001624	0.657962298001624	0.641758750984559	0.000663309469769588	0.000663315541179723	0.00112470320956783	0.000534777356200036	0.000534782259795409	0.00089436937861121
coumaric_acid	0.657962298001619	0.657954551702951	0.657934468732553	0.143307427710719	0.133276845101592	0.283311461003072	0.143320892826383	0.133287126469058	0.283830543005532
coumaric_acid_xylose	0.47803621121369	0.47803621121369	0	0.312996812029661	0.304413205224137	0	0.13119376629997	0.12099079884321	0
docosanol	0.4836229696831	0	0.483546793250139	0.00230093011802083	0.00486354481557102	0.00441792565090687	0.00180947651643705	0.00185157741165807	0.00360561417417094
ffas	0.483365049800529	0.483346381910119	0.48336504980053	0.0295084856396866	0.0290346820809249	0.0295084856396867	0.15832151328737	0.158321653144484	0.26188047359401
farnesene	0.483365049800528	0.483365049800526	0.483365049800528	0.205281878512498	0.206649846578927	0.210842217939255	0.206028670837832	0.210901608672022	0.321337577260119
fumaric_acid	0.483365049800529	0.483365049800529	0.476886262110371	1.41063850860539	1.41063850860539	1.41183626614012	50.646789363752	59.6186682885813	61.8566836879947
geraniol	0.657962298001621	0.657962298001615	0.657962298001619	0.35845213686196	0.358452136861961	0.35845213686196	0.713433650730274	0.744054570465899	0.827800493439365
glutathione	0.657962298001616	0.65796229800162	0.65796229800162	0.499470951287175	0.499470951287173	0.499470951287174	3.1221748938153	3.12227677406661	3.90217916117025
hemoglobin	0.483365049800529	0.483365049800528	0.48336504980053	0.013168833088572	0.0137541138893363	0.0158501446137113	0.0132589322668889	0.0138534452980071	0.0248140504484553
isobutanol	0.657962298001617	0.336044228165371	0.657962298001619	1.05152737271489	0.018	1.05152737271489	16.2889232446565	0.018	17.6489492638475
itaconic_acid	0.657962298001619	0.657962298001619	0.657962298001618	1.12360124597097	1.12360124597097	1.12360124597097	1.54397599541527	1.54397581895029	2.92685894761819
lactate	0.663014473722404	0.663014473722408	0.663014473722401	2.05566593459435	2.00902543541817	2.05566593459435	55.5269514646295	55.5267974917976	83.4912168223762
limonene	0.48336504980053	0.483365049800527	0.483365049800527	0.316263326908882	0.316263326908883	0.316263326908885	0.442484031056197	0.452675713147275	0.610616813649158
linalool	0.48336504980053	0.483365049800527	0.483288954590476	0.188102730108128	0.189926756612044	0.31284515589727	0.188147017345245	0.189972180269442	0.359179258085978
lupeol	0.48336504980053	0.483365049800526	0.483365044214154	0.00150248206548939	0.00150487871761098	0.00294048664980685	0.00115378170020835	0.00115565072574626	0.00229207937431019
lycopene	0.657962298001622	0.65796229800162	0.641758750984559	0.000739906050595471	0.000739860859605132	0.00145964516099485	0.000606851312832639	0.00060709586540231	0.00121081823804404
malate	0.48336504980053	0.477914114692939	0.476886262110371	1.41063850860539	1.41164624321696	1.41183626614012	51.0104007863355	24.064092295689	62.3995644482309
miltiradiene	0.657962298001623	0.657962298001619	0.657962298001616	0.000779828858512676	0.000779962155602055	0.00154225738708724	0.000633867425897567	0.000633976854727213	0.00126591153013288
naringenin	0.483365049800529	0.482996636456953	0.483288954590475	0.00366226385826224	0.00365008968920765	0.00710898343991752	0.00284757050038077	0.00284740701504862	0.0056885286908385
nicotianamine	0.658021083489088	0.65802108348909	0.657962298001621	0.00337220503919183	0.00337220506351759	0.00650758942961427	0.00280881588693702	0.00280881590790583	0.00560185293226486
nootkatone	0.657962298001619	0.657962298001622	0.641758750984556	0.0181913726185516	0.0182229460317304	0.0331020558626087	0.0162671483210625	0.016298212432598	0.0317815673631904
oleanolate	0.65796229800162	0.657962298001614	0.657962298001617	0.00219107270942187	0.00219613951655361	0.00424100421972279	0.0018226962619901	0.00182700988718813	0.00360679729882182
ornithine	0.483365049800529	0.483307618045126	0.483365049800529	0.870390784210326	0.870358185369486	0.870390784210327	1.39298727049889	1.39808253160368	2.5908711755816
patchoulol	0.657962298001622	0.657962298001621	0.641758750984561	0.00293458097701006	0.00293562154477301	0.00584369089145829	0.00242100743187001	0.00242187868080383	0.00482288669459192
protopanaxadiol	0.483365049800532	0.483365049800533	0.483365049800528	0.000914445272890677	0.000915584947344017	0.00180465879490298	0.000698034358232818	0.000698912556503228	0.00139037840645594
psilocybin	0.483365049800525	0.483365049800528	0.483365049800525	0.000995346986730829	0.000995633562752752	0.00196971924210412	0.000759408341297911	0.000759628945343916	0.0015161039355188
pyruvate	1.02536840391015	1.02448849580607	1.02536840391015	2.07926201800471	2.07939995345548	2.07926201800471	168.473813503557	168.477861527328	174.320220794431
rosmarinic_acid	0.483365049800523	0.483365049800525	0.483288954590474	0.134651001441808	0.115469230763196	0.138748255206234	0.135054039728234	0.115701577122739	0.13919916354836
s-adenosyl-l-methionine	0.657962298001621	0.657962298001619	0.657962298001622	0.310122843899945	0.310122843899945	0.310122843899944	0.722046294596647	0.722046294596645	1.12702448258451
santalene	0.483365049800528	0.483365049800526	0.483365049800527	0.208510249620601	0.208877094176013	0.210842217939255	0.236563942439044	0.243008570848794	0.35729534082143
squalene	0.287738173412287	0.287740571662529	0.287738824264283	0.0511521039086987	0.0511646366155235	0.0511559962594149	0.244537703546861	0.399198676908407	0.277088353218153
suc-retca	0.483365049800527	0.477914114692938	0	1.39575097564326	1.39575723448478	0	30.5907448750913	18.9943478286661	0
taxadien_5alpha_yl_acetate	0.657962298001618	0.657962298001622	0.657962298001616	0.00213467357700159	0.00213590744648827	0.00409904836428079	0.00177604719378234	0.00177711620319833	0.00354516677279424
tyrosine	0.65796229800162	0.657954551702948	0.653056298977807	0.600880866006602	0.594596353130447	0.60132762394532	4.47684520312484	0.666282110086339	7.21180918540688
valencene	0.657962298001622	0.657962298001617	0.638244922422232	0.0181988489796754	0.018417970512571	0.0332174865722673	0.0162745031360803	0.016490330250634	0.0318135149749277
