genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	1	1000	subOpt_isoenz	2	0	1.54786254763406e-09	0
YBR145W	P38113	ADH5	37.64764	1	1000	subOpt_isoenz	2	0	7.90329980379176e-10	0
YBR252W	P33317	DUT1	15.30716	1	1000	subOpt_isoenz	2	0	6.09907492115305e-09	0
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10052359552528e-07	2.10426877162646e-07	2.10188074822914e-07
YER170W	P26364	ADK2	25.19373	1	1000	subOpt_isoenz	2	0	3.5995937889585e-09	0
YOL086C	P00330	ADH1	36.84874	1	1000	subOpt_isoenz	2	0	3.24725027642341e-10	0
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72290224716993e-08	2.72788566269741e-08	2.72466152002226e-08
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.65766732824364e-11	4.26040441767165e-09	1.5728024228112e-10
YDR452W	Q04119	PPN1	78.34335	1	1000	opt_isoenz	2	0	1.1586698426464e-09	1.59461388661699e-12
Egt1	Q7RX33	Egt1	99.025	2	1000	tightly_const	2	1.75265776645047e-05	1.75265776645398e-05	1.75265776645047e-05
Egr2		Egt2	NaN	1	1000		2	NaN	NaN	NaN
YGR087C	P26263	PDC6	61.57964	1	12.2196195407176	subOpt_isoenz	2	0	2.56420528213762e-09	0
YLR044C	P06169	PDC1	61.49468	2	12.2196195407176	essential	2	9.24319073809006e-07	9.34059495196146e-07	9.26008906115615e-07
YLR134W	P16467	PDC5	61.91138	1	12.2196195407176	subOpt_isoenz	2	0	2.540317798606e-09	0
YAL012W	P31373	CYS3	42.5416	1	3.62312969778974	subOpt_isoenz	2	0	2.18006474507789e-09	0
YGR155W	P32582	CYS4	56.02121	2	3.62312969778974	tightly_const	2	3.3627385857658e-08	3.37556826899688e-08	3.36949165415723e-08
YAL038W	P00549	CDC19	54.54404	2	2.44224793314089	essential	2	1.89709239989028e-06	2.03703095201813e-06	2.03626525838783e-06
YOR347C	P52489	PYK2	55.19478	1	2.44224793314089	subOpt_isoenz	2	0	1.39347090387248e-07	0
YGR254W	P00924	ENO1	46.81564	2	2.28644687878161	essential	2	1.90530280382134e-06	2.08981703978231e-06	2.08774301846528e-06
YHR174W	P00925	ENO2	46.91368	1	2.28644687878161	subOpt_isoenz	2	0	2.73763481178549e-09	0
YKL152C	P00950	GPM1	27.60828	1	2.28644687878161	subOpt_isoenz	2	0	9.53792494272848e-09	0
YMR323W	P42222	ERR3	47.31216	1	2.28644687878161	subOpt_isoenz	2	0	1.82615960802767e-07	0
YOR393W	P0CX10	ERR1	47.32712	1	2.28644687878161	subOpt_isoenz	2	0	1.77296356521805e-07	0
YPL281C	P0CX11	ERR2	47.32712	1	2.28644687878161	subOpt_isoenz	2	0	1.77296356256315e-07	0
YOR283W	Q12040	YOR283W	26.17622	2	2.28644687878161	essential	2	5.69916297493656e-07	5.79952937187303e-07	5.76447882505661e-07
YLR354C	P15019	TAL1	37.0359	2	1.26204530618429	tightly_const	2	3.29999308094394e-06	3.30737934379874e-06	3.30162683662224e-06
YGR043C	P53228	NQM1	37.25314	1	1.26204530618429	subOpt_isoenz	2	0	3.4939234281103e-09	0
YDR050C	P00942	TPI1	26.79508	2	1.22642597515073	essential	2	2.8493403738728e-08	3.18758507010179e-08	2.84991588006283e-08
YGR240C	P16861	PFK1	107.96906	1	1.22621700336788	subOpt_isoenz	2	0	3.70732078015235e-09	0
YKL060C	P14540	FBA1	39.62024	1	1.22621700336788	subOpt_isoenz	2	0	3.8385106749353e-09	0
YMR205C	P16862	PFK2	104.61673	2	1.22621700336788	tightly_const	2	6.90660144429563e-07	6.9414687094746e-07	6.93619765013518e-07
YCR012W	P00560	PGK1	44.73787	2	1.22505689500359	tightly_const	2	9.14812091276454e-07	9.16891238717855e-07	9.14904805392811e-07
YGR192C	P00359	TDH3	35.74626	1	1.22505689500359	subOpt_isoenz	2	0	3.69569166561538e-09	0
YJL052W	P00360	TDH1	35.74956	2	1.22505689500359	tightly_const	2	1.69286333783675e-05	1.6939267956325e-05	1.69320478444242e-05
YJR009C	P00358	TDH2	35.84645	1	1.22505689500359	subOpt_isoenz	2	0	5.94047473995505e-09	0
YBR196C	P12709	PGI1	61.29832	2	1.18921805902498	tightly_const	2	3.78283120910053e-07	3.79968791940908e-07	3.78492751049976e-07
YLL052C		AQY2	NaN	0	0.29284794166126		0	NaN	NaN	NaN
YPR192W		AQY1	NaN	0	0.29284794166126		0	NaN	NaN	NaN
YBR221C	P32473	PDB1	40.0532	0	0.289054735622586	tightly_const	0	4.46947333502206e-07	4.49149352001873e-07	4.47617037123951e-07
YER178W	P16387	PDA1	46.34261	0	0.289054735622586	tightly_const	0	4.46947333502206e-07	4.49149352001873e-07	4.47617037123951e-07
YGR193C	P16451	PDX1	45.36125	0	0.289054735622586	tightly_const	0	4.46947333502206e-07	4.49149352001873e-07	4.47617037123951e-07
YNL071W	P12695	LAT1	51.81762	0	0.289054735622586	tightly_const	0	4.46947333502206e-07	4.49149352001873e-07	4.47617037123951e-07
YNL036W	P53615	NCE103	24.85889	0	0.287380225148698	opt_isoenz	0	0	3.64807316760132e-09	5.02516968738897e-11
YBR218C	P32327	PYC2	130.16549	0	0.284121554409123	subOpt_isoenz	0	0	5.14446266696015e-07	0
YGL062W	P11154	PYC1	130.09827	0	0.284121554409123	opt_isoenz_tight	0	0	5.14563507173286e-07	5.14265994470694e-07
YHR002W		LEU5	NaN	0	0.278421322008992		0	NaN	NaN	NaN
YJR095W		SFC1	NaN	0	0.27783		0	NaN	NaN	NaN
YKL085W	P17505	MDH1	35.64959	0	0.275171549567944	essential	0	8.15454422434005e-08	8.47632957947228e-08	8.1800693309155e-08
YMR267W	P28239	PPA2	35.57213	0	0.266954253109992	tightly_const	0	4.37907997523911e-07	4.38350400600975e-07	4.38282016951045e-07
YOR222W		ODC2	NaN	0	0.26526130671434		0	NaN	NaN	NaN
YPL134C		ODC1	NaN	0	0.26526130671434		0	NaN	NaN	NaN
YBL039C	P28274	URA7	64.70953	0	0.258201785040243	subOpt_isoenz	0	0	3.67194451555144e-08	0
YJR103W	P38627	URA8	64.50989	0	0.258201785040243	opt_isoenz	0	0	3.67572781086749e-08	3.6382356641098e-08
YDL066W	P21954	IDP1	48.18986	0	0.25578	tightly_const	0	3.94331605527673e-07	3.97273719800779e-07	3.95411741460679e-07
YOL126C	P22133	MDH2	40.7305	0	0.230595508645417	essential	0	1.36248457839121e-09	3.58395756958725e-09	1.36255598225075e-09
YKL029C	P36013	MAE1	74.37529	0	0.22531931211788	tightly_const	0	1.76449297316117e-08	1.77944752528431e-08	1.76556702474977e-08
YDL085W	Q07500	NDE2	61.65854	0	0.219756704015282	essential	0	9.0748468426791e-07	9.90643770651797e-07	9.89434166225764e-07
YMR145C	P40215	NDE1	62.77345	0	0.219756704015282	subOpt_isoenz	0	0	8.13410047473956e-08	0
YDR503C	Q04396	LPP1	31.58604	0	0.207961799911737	essential	0	8.39381129880549e-10	1.10141894982395e-09	9.53795898879539e-10
Q0045	P00401	COX1	58.79755	0	0.195254119164819	tightly_const	0	1.58365611536504e-06	1.58433965848701e-06	1.58406789768264e-06
Q0250	P00410	COX2	28.5669	0	0.195254119164819	tightly_const	0	1.58365611536504e-06	1.58433965848701e-06	1.58406789768264e-06
Q0275	P00420	COX3	30.35941	0	0.195254119164819	tightly_const	0	1.58365611536504e-06	1.58433965848701e-06	1.58406789768264e-06
YDL067C	P07255	COX9	6.96313	0	0.195254119164819	tightly_const	0	1.58365611536504e-06	1.58433965848701e-06	1.58406789768264e-06
YGL187C	P04037	COX4	17.1424	0	0.195254119164819	tightly_const	0	1.58365669818223e-06	1.58409935150838e-06	1.58406789768264e-06
YGL191W	P32799	COX13	15.02097	0	0.195254119164819	tightly_const	0	1.58365669818223e-06	1.58409935150838e-06	1.58406789768264e-06
YHR051W	P00427	COX6	17.34139	0	0.195254119164819	tightly_const	0	1.58365669818223e-06	1.58409935150838e-06	1.58406789768264e-06
YIL111W	P00425	COX5B	17.1965	0	0.195254119164819	tightly_const	0	1.58365669818223e-06	1.58409935150838e-06	1.58406789768264e-06
YLR038C	Q01519	COX12	9.78778	0	0.195254119164819	tightly_const	0	1.58365669818223e-06	1.58409935150838e-06	1.58406789768264e-06
YMR256C	P10174	COX7	6.9323	0	0.195254119164819	tightly_const	0	1.58365669818223e-06	1.58409935150838e-06	1.58406789768264e-06
YLR395C	P04039	COX8	8.90656	0	0.195254119164819	tightly_const	0	3.16730760701319e-06	3.16818761853266e-06	3.16813184058393e-06
Q0105	P00163	COB	43.65549	0	0.194122916166357	tightly_const	0	4.99211194602178e-06	4.99349317259041e-06	4.99340580786564e-06
YBL045C	P07256	COR1	50.22724	0	0.194122916166354	tightly_const	0	4.99211194602178e-06	4.99349317259041e-06	4.99340580786564e-06
YDR529C	P00128	QCR7	14.56466	0	0.194122916166354	tightly_const	0	4.99211194602178e-06	4.99349317259041e-06	4.99340580786564e-06
YEL024W	P08067	RIP1	23.36479	0	0.194122916166354	tightly_const	0	4.99211194602178e-06	4.99349317259041e-06	4.99340580786564e-06
YFR033C	P00127	QCR6	17.25682	0	0.194122916166354	tightly_const	0	4.99211194602178e-06	4.99349317259041e-06	4.99340580786564e-06
YGR183C	P22289	QCR9	7.47622	0	0.194122916166354	tightly_const	0	4.99211194602178e-06	4.99349317259041e-06	4.99340580786564e-06
YHR001W-A	P37299	QCR10	8.59285	0	0.194122916166354	tightly_const	0	4.99211194602178e-06	4.99349317259041e-06	4.99340580786564e-06
YJL166W	P08525	QCR8	10.97437	0	0.194122916166354	tightly_const	0	4.99211194602178e-06	4.99349317259041e-06	4.99340580786564e-06
YOR065W	P07143	CYT1	34.05423	0	0.194122916166354	tightly_const	0	4.99211194602178e-06	4.99349317259041e-06	4.99340580786564e-06
YPR191W	P07257	QCR2	40.47764	0	0.194122916166354	tightly_const	0	4.99211194602178e-06	4.99349317259041e-06	4.99340580786564e-06
YPR021C		AGC1	NaN	0	0.188206271058758		0	NaN	NaN	NaN
YOL077W-A	P81451	ATP19	7.53367	0	0.187114339525072	tightly_const	0	6.07384961926968e-06	6.07532631155788e-06	6.07532895533197e-06
Q0080	P00856	ATP8	5.82221	0	0.187114339525072	tightly_const	0	6.07384961926968e-06	6.07532631155788e-06	6.07532895533197e-06
Q0085	P00854	ATP6	29.09876	0	0.187114339525072	tightly_const	0	6.07384961926968e-06	6.07532631155788e-06	6.07532895533197e-06
Q0130	P61829	OLI1	7.75937	0	0.187114339525072	tightly_const	0	6.07385141802474e-05	6.07533287326622e-05	6.07532895533197e-05
YBL099W	P07251	ATP1	58.60746	0	0.187114339525072	tightly_const	0	1.86889004328577e-06	1.87003043414542e-06	1.8693366296863e-06
YBR039W	P38077	ATP3	34.35021	0	0.187114339525072	tightly_const	0	6.07384961926968e-06	6.07532631155788e-06	6.07532895533197e-06
YDL004W	Q12165	ATP16	17.02022	0	0.187114339525072	tightly_const	0	6.07384961926968e-06	6.07532631155788e-06	6.07532895533197e-06
YDR298C	P09457	ATP5	22.81414	0	0.187114339525072	tightly_const	0	6.07384961926968e-06	6.07532631155788e-06	6.07532895533197e-06
