Row	succinate	Growth
FumC	1.019619965	1
YHR137W	1.017849218	1
YGL202W	1.016358023	1
YKL217W	1.006881071	1
YLR174W	1.004650082	1
YOR270C	1.000476732	1
YBR183W	1.000474374	1
YER062C	1.000474364	1
YAL035W	1.000474364	1
YNR073C	1.00047429	1
YIL066C	1.000474251	1
YPL057C	1.000474246	1
YJL196C	1.000474239	1
YNL256W	1.000474239	1
YJL045W	1.000474239	1
YNR060W	1.000474236	1
YHR037W	1.000474236	1
YJR078W	1.000474234	1
YJR131W	1.000474229	1
YDR368W	1.000474229	1
YEL004W	1.000474229	1
YEL070W	1.00047422	1
YDL080C	1.000473827	1
YDR371W	1.00047371	1
YCL038C	1.000473699	1
YGL038C	1.000473694	1
YNL277W	1.000473683	1
YLR056W	1.00047323	1
YAL060W	1.00047323	1
YCR034W	1.00047323	1
YAR035W	1.00047323	1
YFR044C	1.00047323	1
YPL023C	1.00047322	1
YFR019W	1.00047322	1
YLR305C	1.00047322	1
YHR183W	1.000473153	1
YOR347C	1.000473092	1
YAL012W	1.000473092	1
YPL206C	1.000473092	1
YJR048W	1.000472569	1
YPR145W	1.000468662	1
YGL080W	1.000363793	1
YCL050C	1.000113042	1
YKL150W	1.000016591	1
YOL061W	1.000016591	1
YDL015C	1.000016534	1
YIL053W	1.000015189	1
YKL188C	1.000015189	1
YPL147W	1.000015189	1
YEL058W	1.000014841	1
YLR450W	1.00001482	1
YPL258C	1.000014807	1
YLR303W	1.000013907	1
YPL110C	1.000013462	1
YGL119W	1.000013462	1
YOR125C	1.000013462	1
YPL087W	1.000011566	1
YNL036W	1.00000453	1
YOR377W	1.000000957	1
YDR321W	1.000000949	1
YMR145C	1.000000946	1
YOR209C	1.000000946	1
YLR017W	1.000000938	1
YLR109W	1.000000938	1
YCR028C	1.000000938	1
YHR063C	1.000000938	1
YBR001C	1.000000938	1
YOR109W	1.000000929	1
YBL091C	1.000000822	1
YLR328W	1.000000814	1
YGR171C	1.000000814	1
YMR087W	1.000000814	1
YMR207C	1.000000814	1
YLR070C	1.000000814	1
YLR244C	1.000000814	1
YLR377C	1.000000814	1
YOL086C	1.000000814	1
YGR260W	1.000000811	1
YPR003C	1.000000811	1
YGR046W	1.000000811	1
YDL100C	1.000000811	1
YML100W	1.000000811	1
YMR020W	1.000000811	1
YML035C	1.000000811	1
YJR019C	1.000000811	1
YOR054C	1.000000811	1
YKL087C	1.000000807	1
YDL198C	1.000000805	1
