genes	enzymes	shortNames	MWs	pathways	actions	k_scores
YMR241W		YHM2	NaN		1	1000
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	1	1000
Pa_5_5120	3DSD	Pa_5_5120	40.48		1	1000
ECL_01944	A0A0H3CJN8	ECL_01944	53.541		1	1000
HQD2	P86029	HQD2	33.8		1	1000
YBR249C	P32449	ARO4	39.74874	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	1	20.9368144270616
YBR296C		PHO89	NaN		1	17.8598985443251
YCR037C		PHO87	NaN		1	17.8598985443251
YJL198W		PHO90	NaN		1	17.8598985443251
YML123C		PHO84	NaN		1	17.8598985443251
YNR013C		PHO91	NaN		1	17.8598985443251
YPR021C		AGC1	NaN		1	6.14968719093945
YOR095C	Q12189	RKI1	28.25777	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	3.65030117293407
YBR196C	P12709	PGI1	61.29832	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	1.2075791921828
YGR254W	P00924	ENO1	46.81564	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	1	1.04257815068402
YOR283W	Q12040	YOR283W	26.17622	sce00NNN  None	1	1.04257815068402
YDR516C	Q04409	EMI2	55.92028	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	1	1.03289005876569
YBL039C	P28274	URA7	64.70953	sce00240  Pyrimidine metabolism	0	0.280856663962427
YJR103W	P38627	URA8	64.50989	sce00240  Pyrimidine metabolism	0	0.280856663962427
YMR246W	P47912	FAA4	77.26612	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	0	0.278944023668615
YOR317W	P30624	FAA1	77.86529	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	0	0.278944023668615
YGL080W		MPC1	NaN		0	0.27199930410542
