Annotation Cluster 1	Enrichment Score: 6.8194057157698005
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006098~pentose-phosphate shunt	6	40.0	1.3455707636875949E-10	YNL241C, YOR095C, YPR074C, YJL121C, YHR183W, YHR163W	15	15	5557	148.18666666666667	4.305825029859989E-9	4.3058264438003036E-9	3.2293698328502277E-9
KEGG_PATHWAY	sce00030:Pentose phosphate pathway	6	40.0	4.40844232343549E-7	YNL241C, YOR095C, YPR074C, YJL121C, YHR183W, YHR163W	15	28	2184	31.200000000000003	9.257688067143555E-6	1.8515457758429059E-6	1.322532697030647E-6
GOTERM_BP_DIRECT	GO:0009051~pentose-phosphate shunt, oxidative branch	3	20.0	5.869365395253492E-5	YNL241C, YHR183W, YHR163W	15	5	5557	222.28	0.0018764892362205243	4.6954923162027937E-4	3.521619237152095E-4

Annotation Cluster 2	Enrichment Score: 2.4967579611370225
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Glycolysis	5	33.33333333333333	2.8526493192443026E-7	YDR516C, YJL052W, YGR254W, YCR012W, YAL038W	15	26	5914	75.82051282051282	1.1410533802824752E-5	1.141059727697721E-5	9.98427261735506E-6
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	5	33.33333333333333	3.6526346595113864E-7	YDR516C, YJL052W, YGR254W, YCR012W, YAL038W	15	26	5557	71.24358974358974	1.1688364734530055E-5	5.844215455218218E-6	4.383161591413664E-6
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	4	26.666666666666668	1.2049162478768405E-5	YGL062W, YJL052W, YGR254W, YCR012W	15	19	5557	77.99298245614035	3.855011975675282E-4	1.2852439977352963E-4	9.639329983014724E-5
UP_SEQ_FEATURE	binding site:Substrate	5	33.33333333333333	1.1608710924188906E-4	YNL241C, YGL062W, YGR254W, YCR012W, YAL038W	15	114	5872	17.169590643274855	0.005326082858818082	0.005456094134368786	0.005456094134368786
KEGG_PATHWAY	sce00010:Glycolysis / Gluconeogenesis	5	33.33333333333333	3.6790227440697623E-4	YDR516C, YJL052W, YGR254W, YCR012W, YAL038W	15	58	2184	12.551724137931034	0.007697589944630545	0.0011037068232209288	7.883620165863776E-4
UP_SEQ_FEATURE	region of interest:Substrate binding	3	20.0	0.0055932536397821685	YGL062W, YGR254W, YCR012W	15	48	5872	24.46666666666667	0.22741396556804194	0.13144146053488096	0.13144146053488096
UP_KEYWORDS	Kinase	4	26.666666666666668	0.011260521331793638	YDR516C, YCR012W, YDR300C, YAL038W	15	205	5914	7.6930081300813	0.364266634395386	0.11260521331793638	0.09852956165319433
GOTERM_BP_DIRECT	GO:0016310~phosphorylation	4	26.666666666666668	0.014593449661131424	YDR516C, YCR012W, YDR300C, YAL038W	15	212	5557	6.989937106918238	0.375267304615591	0.04669903891562056	0.03502427918671541
GOTERM_MF_DIRECT	GO:0016301~kinase activity	4	26.666666666666668	0.01931227197627183	YDR516C, YCR012W, YDR300C, YAL038W	15	207	4885	6.293075684380033	0.5591497305511224	0.40555771150170844	0.3959015755135725
UP_KEYWORDS	Isopeptide bond	4	26.666666666666668	0.07329146702015901	YGR254W, YCR012W, YPR074C, YAL038W	15	423	5914	3.728289992119779	0.952386897854316	0.2535015686029085	0.221813872527545
UP_KEYWORDS	Ubl conjugation	4	26.666666666666668	0.080551087728382	YGR254W, YCR012W, YPR074C, YAL038W	15	440	5914	3.5842424242424245	0.9652380497035797	0.2535015686029085	0.221813872527545
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	4	26.666666666666668	0.1019487967920363	YJL052W, YGR254W, YCR012W, YAL038W	15	482	5861	3.2426002766251725	0.6587984537001502	0.5097439839601815	0.5097439839601815
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	5	33.33333333333333	0.31159562740521574	YNL036W, YJL052W, YGR254W, YCR012W, YHR183W	15	1189	5861	1.643117465657415	0.9760978921272642	0.7789890685130394	0.7789890685130394
UP_KEYWORDS	Phosphoprotein	7	46.666666666666664	0.37018521153652706	YNL241C, YDR516C, YGR254W, YCR012W, YPR074C, YHR183W, YAL038W	15	2091	5914	1.3198788458472819	0.9999999906993317	0.7403704230730541	0.6478241201889223
