genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
YDR127W	P08566	ARO1	174.75305	OE	13.5466458340745	tightly_const	2	5.11737178303425e-06	5.11739209085785e-06	5.11737178303425e-06	1	14	0	1	1.08353446031598	1.09079583503361	0.133991117301428
YGL148W	P28777	ARO2	40.83793	OE	13.5466458340745	tightly_const	2	9.29038839580028e-05	9.29042528750076e-05	9.29038839580028e-05	1	3	0	1	1.45028289517963	1.50426109282553	0.570606007510853
YBR249C	P32449	ARO4	39.74874	OE	13.5466458340745	opt_isoenz_tight	2	0	6.62514385909926e-07	6.62511756792389e-07	0	12	1	2	1.00231246885726	1.00249721218952	0
YHR163W	P38858	SOL3	27.78417	OE	4.42839178934924	opt_isoenz_tight	2	0	9.03105580955402e-06	9.02969190173784e-06	0	5	2	2	1.06806337570186	1.07388819234032	0.0351578019143044
YHR183W	P38720	GND1	53.54274	OE	4.42839178934924	opt_isoenz_tight	2	0	2.48105807361382e-06	2.48068337384731e-06	0	6	3	2	1.03583480446917	1.03880132419338	0.0186573972316761
YBL039C	P28274	URA7	64.70953	KD	0.289455471165479	subOpt_isoenz	0	0	4.15289346530797e-08	0	0	12	5	2	1.00000000000032	1.00000000000034	0
YER070W	P21524	RNR1	99.56021	KD	0.281559049346912	subOpt_isoenz	0	0	4.87266756820037e-07	0	0	24	6	2	0.999999999999994	0.999999999999992	0
YIL066C	P21672	RNR3	97.51369	KD	0.281559049346912	subOpt_isoenz	0	0	4.87266756818271e-07	0	0	24	6	2	0.999999999999994	0.999999999999992	0
YJL026W	P09938	RNR2	46.14681	KD	0.281559049346912	subOpt_isoenz	0	0	4.87266756812984e-07	0	0	24	6	2	0.999999999999933	0.999999999999924	0
YBR218C	P32327	PYC2	130.16549	KD	0.251714096695055	subOpt_isoenz	0	0	4.75073886930945e-07	0	0	8	8	2	1.00000000000035	1.00000000000038	0
YNR019W	P53629	ARE2	74.022	KD	0.20758561527717	subOpt_isoenz	0	0	0.00109737439202375	0	1	84	0	2	0.999999999999902	0.999999999999896	0
YOR245C	Q08650	DGA1	47.71075	KD	0.164378422915756	subOpt_isoenz	0	0	1.01734623728423e-07	0	1	122	0	2	1.00000000000035	1.00000000000038	0
YKL029C	P36013	MAE1	74.37529	KO	0	subOpt_isoenz	0	0	1.06954006851046e-10	0	1	7	0	2	0.999121314255741	1.00354754017107	0
