genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YJL121C	P46969	RPE1	25.96689	1	12.3032539636176	2	1.02696371702824e-06	0.00316767835666214	1.02714161407607e-06	1.00000100000087	1	2	0	1
YNL241C	P11412	ZWF1	57.5209	2	7.54712273801085	2	3.13085295033099e-07	3.13135772145452e-07	3.13133152233953e-07	1.000001000001	1	5	0	1
YLR174W	P41939	IDP2	46.56172	1	6.30329910111581	2	2.92808393759794e-07	0.00176629662732574	2.93356333494181e-07	1.00000100000105	1	5	0	1
YDR007W	P00912	TRP1	24.14425	2	6.25474262328127	2	7.03793434036149e-08	7.03880803078291e-08	7.03793434036149e-08	1.000001000001	1	2	0	1
YDR354W	P07285	TRP4	41.37402	2	6.25474262328127	2	1.67454432446361e-06	1.67475220268995e-06	1.67454432446361e-06	1.000001000001	1	4	0	1
YER090W	P00899	TRP2	56.76706	2	6.25474262328127	2	8.37272162231804e-06	8.37288486763448e-06	8.37272162231804e-06	1.000001000001	1	6	0	1
YGL026C	P00931	TRP5	76.62516	2	6.25474262328127	2	6.25997420824709e-09	6.26075132255632e-09	6.25997420824709e-09	1.000001000001	1	5	0	1
YKL211C	P00937	TRP3	53.48881	2	6.25474262328127	2	8.81021493256889e-06	8.81038670781584e-06	8.81021493256889e-06	1.000001000001	1	10	0	1
YOR095C	Q12189	RKI1	28.25777	1	4.9295626286769	2	8.49457790258286e-06	0.00291842193080481	8.49562953466891e-06	1.00000100000099	1	2	0	1
YKL029C	P36013	MAE1	74.37529	2	4.49837877351196	2	8.75198951476399e-08	8.79172196794645e-08	8.75357386597374e-08	1.000001000001	1	7	0	1
YHR018C	P04076	ARG4	51.9886	1	4.46565651146562	2	6.75130525463126e-09	0.00158166339339525	6.75130525463126e-09	1.00000100000265	1	3	0	1
YJL088W	P05150	ARG3	37.84479	2	4.46565651146562	2	2.41235393279247e-07	2.4124551200988e-07	2.41235393279247e-07	1.000001000001	1	5	0	1
YOL058W	P22768	ARG1	46.92715	1	4.46565651146562	2	1.14661104529489e-06	0.0017533950834155	1.14661104529489e-06	1.00000100000098	1	7	0	1
YOL064C	P32179	MET22	39.14886	2	3.93194637359526	2	5.66770057466732e-07	5.66895651625881e-07	5.66779488581797e-07	1.000001000001	1	4	0	1
YPR167C	P18408	MET16	30.3799	2	3.93194637359526	2	1.78130920856324e-06	1.78163523491904e-06	1.78130920856324e-06	1.000001000001	1	7	0	1
YCL050C	P16550	APA1	36.49211	2	3.93194637359526	2	6.48770294166056e-08	6.4955467641902e-08	6.49435812613088e-08	1.000001000001	1	9	0	1
YKL001C	Q02196	MET14	23.06018	2	3.93194637359526	2	1.416949843679e-06	1.41720918270428e-06	1.416949843679e-06	1.000001000001	1	5	0	1
YNL316C	P32452	PHA2	38.22484	2	3.71093120788631	2	7.13083624981278e-09	7.1308986668104e-09	7.13083624981278e-09	1.000001000001	1	5	0	1
YDR353W	P29509	TRR1	34.23767	2	3.38907080868594	2	1.89424786294078e-07	1.89461688617012e-07	1.89424786294078e-07	1.00000100000099	1	6	0	1
YDR127W	P08566	ARO1	174.75305	2	3.26669980380267	2	1.52269379231166e-06	1.52272468008187e-06	1.52269379231166e-06	1.000001000001	1	14	0	1
YGL148W	P28777	ARO2	40.83793	2	3.26669980380267	2	2.76439104646438e-05	2.76444712200364e-05	2.76439104646438e-05	1.00000100000101	1	3	0	1
YPR035W	P32288	GLN1	41.7656	2	3.08576950732735	2	1.03143542747453e-06	1.03158696872623e-06	1.03143542747452e-06	1.000001000001	1	7	0	1
YOL126C	P22133	MDH2	40.7305	1	2.94855504514892	2	6.30054533036576e-09	0.00201884020935321	6.30079305830065e-09	1.000001000001	1	5	0	1
YPR060C	P32178	ARO7	29.7468	2	2.90696757823353	2	5.31690259148096e-08	5.31703773197613e-08	5.31690259148096e-08	1.000001000001	1	2	0	1
YBR248C	P33734	HIS7	61.06729	2	2.766440260902	2	3.7283115503097e-08	3.72842908485057e-08	3.7283115503097e-08	1.000001000001	1	6	0	1
YCL030C	P00815	HIS4	87.72027	2	2.766440260902	2	1.50600800490099e-07	1.50605547098867e-07	1.50600800490099e-07	1.000001000001	1	10	0	1
YER055C	P00498	HIS1	32.26611	2	2.766440260902	2	1.90559010277519e-06	1.90565017625702e-06	1.90559010277519e-06	1.000001000001	1	4	0	1
