genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YPL061W	P54115	ALD6	54.41344	2	11.3709380720138	tightly_const	2	1.1585370563406e-05	1.15857717682248e-05	1.15856496624084e-05	1	8	0	1	0.98762832401396	1.03651500220165
YNR016C	Q00955	ACC1	250.35091	2	11.3255749311665	tightly_const	2	6.82787212054529e-06	6.82789368663929e-06	6.82787211650183e-06	1	7	0	1	1.08338295823718	1.08779050598621
YDL141W	P48445	BPL1	76.36203	2	11.3255749311665	tightly_const	2	4.95723014520792e-10	4.95723486334281e-10	4.95723014227225e-10	1	10	0	1	1.00000176942352	1.00000185540543
YJL121C	P46969	RPE1	25.96689	1	8.53515432133512	essential	2	5.1591235905484e-07	0.00242252792813226	5.16019814997756e-07	1	2	0	1	1.0029563518561	1.00310045551626
YNL241C	P11412	ZWF1	57.5209	2	4.6973552621014	tightly_const	2	1.47889003248212e-07	1.47922942529055e-07	1.47917904491155e-07	1	5	0	1	1.0019562067301	1.00205145985602
YOR095C	Q12189	RKI1	28.25777	1	2.5806114635312	essential	2	3.64633507526921e-06	0.00222930299489124	3.64697029725355e-06	1	2	0	1	1.02531761312134	1.02658057506528
YMR267W	P28239	PPA2	35.57213	2	1.56543914063037	tightly_const	2	1.23459548508387e-06	1.23464522815004e-06	1.23462649170515e-06	1	4	0	1	0.999999999999995	0.999999999999994
YCR012W	P00560	PGK1	44.73787	1	1.14520602208001	essential	2	8.59069370530187e-07	0.00140665019527932	8.59069370530129e-07	1	4	0	1	0.98574321693006	1.03744829439704
YDR050C	P00942	TPI1	26.79508	1	1.06127386070988	essential	2	2.49670300159335e-08	0.00234717585706215	2.49670944971873e-08	1	2	0	1	1.00062007689738	1.00065022793847
YMR205C	P16862	PFK2	104.61673	2	1.05561515551148	essential	2	3.38046016111745e-07	6.07934263469101e-07	6.07915268392408e-07	1	9	0	1	1.00664754028636	1.06612975276489
YLR044C	P06169	PDC1	61.49468	2	11.3709380720138	opt_isoenz_tight	2	0	1.7578371096123e-06	1.75781859410694e-06	0	17	2	2	1.09168023755245	1.17851414223585
YLR153C	P52910	ACS2	75.49079	2	11.3709380720138	opt_isoenz_tight	2	0	4.08474376245059e-06	4.0846748824032e-06	1	13	0	2	1.01449918509498	1.01521446471966
YHR163W	P38858	SOL3	27.78417	2	4.6973552621014	opt_isoenz_tight	2	0	9.36057523534211e-06	9.36025561746103e-06	0	5	3	2	1.06003674414553	1.06313831255212
YHR183W	P38720	GND1	53.54274	2	4.6973552621014	opt_isoenz_tight	2	0	2.57158534406821e-06	2.57149753700097e-06	0	6	4	2	1.03172190245275	1.03331472100282
YAL038W	P00549	CDC19	54.54404	2	1.91300770386222	opt_isoenz_tight	2	0	1.46426112525603e-06	1.4642425988803e-06	0	6	5	2	1.04208797456674	1.10556892331566
YBR218C	P32327	PYC2	130.16549	0	0.293604031276163	subOpt_isoenz	0	0	5.54843417255871e-07	0	0	8	10	2	0.999999999999987	0.999999999999972
YDL052C	P33333	SLC1	33.88654	0	0.260251042123197	subOpt_isoenz	0	0	2.97211162813546e-06	0	1	28	0	2	0.999999999999997	1
YNR019W	P53629	ARE2	74.022	0	0.207585615137525	subOpt_isoenz	0	0	0.000849641221233672	0	1	84	0	2	0.999999999999975	0.999999999999971
YOR245C	Q08650	DGA1	47.71075	0	0.164378422706287	subOpt_isoenz	0	0	1.01733999399179e-07	0	1	122	0	2	1	1
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz	2	0	1.86630814213239e-09	1.51086591321434e-09	1	4	0	3	1.00368750909649	1.00386738952348
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz	2	0	2.41928949753468e-10	1.95853081537413e-10	1	6	0	3	1.0005042212557	1.00052873587644
YMR246W	P47912	FAA4	77.26612	1	319.605456610997	opt_isoenz	2	0	0.000899889989349228	8.59218839118249e-05	1	48	0	3	0.999999999999996	0.999999999999995
YPR074C	P23254	TKL1	73.80488	1	31.8833110530218	opt_isoenz	2	0	0.000852989269138806	8.48814622341184e-07	0	10	1	3	1.01383439726964	1.0145164120441
YNL036W	P53615	NCE103	24.85889	1	3.12772212059299	opt_isoenz	2	0	0.0025299648355227	2.76551107656415e-10	1	4	0	3	1	1
YGR254W	P00924	ENO1	46.81564	1	1.79558994106059	opt_isoenz	2	0	0.00134491215186665	1.51074695511795e-06	0	5	6	3	1.02976534859138	1.09184051119932
YFR053C	P04806	HXK1	53.73784	1	1.20621344976093	opt_isoenz	2	0	7.8319899815245e-07	7.7871661602291e-10	0	12	7	3	0.999999999999963	0.999999999999962
YJL052W	P00360	TDH1	35.74956	1	1.14520602208001	opt_isoenz	2	0	0.00177513916903392	1.58987072728843e-05	0	8	8	3	1.40314303025246	1.58254550143602
YOR222W		ODC2	NaN	0	0.293666280488997		0	NaN	NaN	NaN	0	6	9	3	1	1
YPL134C		ODC1	NaN	0	0.293666280488997		0	NaN	NaN	NaN	0	6	9	3	1	1
