genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.10052888060974e-07	2.10426479664796e-07	2.10188074822914e-07	1	4	0	1	1.00042940749095	1.00042971001389
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.7229090982056e-08	2.72500649296677e-08	2.72466152002226e-08	1	6	0	1	1.00005870710172	1.00005874843977
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	1	1000	essential	2	2.68221355044049e-11	4.2526955031951e-09	1.5728024228112e-10	1	16	0	1	1.00000015050675	1.00000015062682
PAL	P45730	PAL	77.919		2	1000	tightly_const	2	1.86923179619043e-08	1.86923179619416e-08	1.86923179619043e-08	1	3	0	1	1.00000804445647	1.00000805014481
C4H	C0LUU6	C4H	58.011		2	1000	tightly_const	2	2.5416007117546e-09	2.54160071175968e-09	2.5416007117546e-09	1	7	0	1	1.00000081433253	1.0000008149139
4CL	C0LUU7	4CL	60.994		2	1000	tightly_const	2	4.04516029079179e-06	4.04516029079988e-06	4.04516029079179e-06	1	6	0	1	1.00136459244949	1.00136555486012
IFS	Q9M6D6	IFS	58.93		2	1000	tightly_const	2	0.00148043158258282	0.00148043158258578	0.00148043158258282	1	3	0	1	1.92994231944474	1.93121156596433
CHS	Q6X0M9	CHS	42.488		2	1000	tightly_const	2	6.85384991936489e-05	6.8538499193786e-05	6.85384991936489e-05	1	6	0	1	1.01634672099809	1.01635842255943
CHI	C0LUV0	CHI	24.679		2	1000	tightly_const	2	2.94056316379814e-09	2.94056316380402e-09	2.94056316379814e-09	1	3	0	1	1.00000040080234	1.00000040109945
YDR050C	P00942	TPI1	26.79508	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00562  Inositol phosphate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.22708035895752	essential	2	2.85471125352107e-08	3.19241328014905e-08	2.85528476016142e-08	1	2	0	1	1.00007016470568	1.00007022992313
YJL052W	P00360	TDH1	35.74956	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.22522998627626	tightly_const	2	1.6952126462301e-05	1.69580677790739e-05	1.69555409277527e-05	1	8	0	1	0.988378523381884	1.06134376906259
YLR438W	P07991	CAR2	46.08557	sce00330  Arginine and proline metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	0	0	subOpt_isoenz	0	0	1.60161462105476e-11	0	1	4	0	2	1.00000113569117	0.999999987339888
YDR452W	Q04119	PPN1	78.34335	sce00NNN  None	1	1000	opt_isoenz	2	0	1.15649593746182e-09	1.59461388661699e-12	1	11	0	3	1.00000000540015	1.0000000054156
YLL052C		AQY2	NaN		0	0.289425023014537		0	NaN	NaN	NaN	0	2	3	3	1	1
YPR192W		AQY1	NaN		0	0.289425023014537		0	NaN	NaN	NaN	0	2	3	3	1	1
YOR222W		ODC2	NaN		0	0.261395940086064		0	NaN	NaN	NaN	0	6	6	3	1	1
YPL134C		ODC1	NaN		0	0.261395940086064		0	NaN	NaN	NaN	0	6	6	3	1	1
YER053C		PIC2	NaN		0	0.152381850296684		0	NaN	NaN	NaN	0	4	13	3	1	1
YJR077C		MIR1	NaN		0	0.152381850296684		0	NaN	NaN	NaN	0	4	13	3	1	1
