Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	region of interest:Substrate binding	5	27.77777777777778	8.654451800954063E-6	YBR218C, YER070W, YGL253W, YFR053C, YIL066C	18	48	5872	33.98148148148149	4.7588364024708785E-4	3.632936952821506E-4	2.984198211246237E-4
UP_SEQ_FEATURE	binding site:Substrate	6	33.33333333333333	1.2974774831505379E-5	YBR218C, YER070W, YDL238C, YGL253W, YFR053C, YIL066C	18	114	5872	17.169590643274855	7.133626810268412E-4	3.632936952821506E-4	2.984198211246237E-4
UP_KEYWORDS	Allosteric enzyme	4	22.22222222222222	1.858679443551461E-5	YER070W, YGL253W, YFR053C, YIL066C	18	19	5914	69.16959064327484	7.98920281516402E-4	7.992321607271282E-4	6.877113941140406E-4
UP_KEYWORDS	Nucleotide-binding	10	55.55555555555556	8.466885351280938E-5	YBL039C, YDR399W, YLR446W, YBR218C, YER070W, YCL040W, YGL253W, YFR053C, YOR317W, YIL066C	18	760	5914	4.323099415204679	0.003634294745669675	0.0012135869003502679	0.001044249193324649
GOTERM_BP_DIRECT	GO:0008152~metabolic process	7	38.88888888888889	1.2965567245487955E-4	YBR218C, YER070W, YGL253W, YFR053C, YOR317W, YIL066C, YDL052C	18	284	5557	7.60935054773083	0.007363607286158147	0.001068328267189403	8.246744518655041E-4
UP_KEYWORDS	ATP-binding	9	50.0	2.0273808315954053E-4	YBL039C, YLR446W, YBR218C, YER070W, YCL040W, YGL253W, YFR053C, YOR317W, YIL066C	18	651	5914	4.542242703533026	0.008680724440825793	0.0021794343939650607	0.00187532726922575
KEGG_PATHWAY	sce01100:Metabolic pathways	12	66.66666666666666	3.5025683152037715E-4	YBL039C, YLR446W, YBR218C, YER070W, YDL238C, YJL026W, YCL040W, YGL253W, YFR053C, YOR317W, YIL066C, YDL052C	15	682	2184	2.561876832844575	0.00802494508922813	0.00300819639753597	0.0019618672157843283
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	10	55.55555555555556	7.775133376391297E-4	YBL039C, YDR399W, YLR446W, YBR218C, YER070W, YCL040W, YGL253W, YFR053C, YOR317W, YIL066C	18	834	4885	3.2540634159339197	0.035147003869509086	0.004470701691424996	0.0034016208521711927
GOTERM_MF_DIRECT	GO:0005524~ATP binding	9	50.0	9.115998106286627E-4	YBL039C, YLR446W, YBR218C, YER070W, YCL040W, YGL253W, YFR053C, YOR317W, YIL066C	18	668	4885	3.6564371257485027	0.041084879386651174	0.004659287920990942	0.0035451103746670216
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	6	33.33333333333333	0.005733918514217396	YBR218C, YER070W, YGL253W, YFR053C, YOR317W, YIL066C	18	353	4885	4.612842304060434	0.23242519974820164	0.0239782046958182	0.018244286181600806
