Annotation Cluster 1	Enrichment Score: 3.059392980349729
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	repeat:Solcar 1	4	50.0	6.111960035521795E-6	YPL134C, YOR222W, YER053C, YJR077C	8	34	5872	86.3529411764706	1.711207611536647E-4	5.908228034337735E-5	5.704496033153676E-5
UP_SEQ_FEATURE	repeat:Solcar 2	4	50.0	6.111960035521795E-6	YPL134C, YOR222W, YER053C, YJR077C	8	34	5872	86.3529411764706	1.711207611536647E-4	5.908228034337735E-5	5.704496033153676E-5
UP_SEQ_FEATURE	repeat:Solcar 3	4	50.0	6.111960035521795E-6	YPL134C, YOR222W, YER053C, YJR077C	8	34	5872	86.3529411764706	1.711207611536647E-4	5.908228034337735E-5	5.704496033153676E-5
INTERPRO	IPR018108:Mitochondrial substrate/solute carrier	4	50.0	9.567672885900323E-6	YPL134C, YOR222W, YER053C, YJR077C	8	34	5053	74.30882352941177	2.6786024141500775E-4	1.4641763727526034E-4	1.4641763727526034E-4
INTERPRO	IPR023395:Mitochondrial carrier domain	4	50.0	1.0458402662518595E-5	YPL134C, YOR222W, YER053C, YJR077C	8	35	5053	72.18571428571428	2.927939333445817E-4	1.4641763727526034E-4	1.4641763727526034E-4
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	5	62.5	1.071771960494247E-4	YPR192W, YPL134C, YOR222W, YJR077C, YLL052C	8	240	5557	14.471354166666666	0.0025690847970381014	0.002465075509136768	0.002465075509136768
GOTERM_MF_DIRECT	GO:0005215~transporter activity	4	50.0	1.633736914725683E-4	YPR192W, YPL134C, YOR222W, YLL052C	8	84	4885	29.077380952380953	0.002773725747570732	0.002777352755033661	0.002287231680615956
INTERPRO	IPR002067:Mitochondrial carrier protein	3	37.5	3.7506887683906576E-4	YPL134C, YOR222W, YJR077C	8	22	5053	86.13068181818183	0.010448925221667404	0.0035006428504979472	0.0035006428504979472
UP_KEYWORDS	Transport	6	75.0	0.0010064239783411457	YPR192W, YPL134C, YOR222W, YER053C, YJR077C, YLL052C	8	853	5914	5.199882766705745	0.02289328682834979	0.015544428700304518	0.01351689452200393
GOTERM_BP_DIRECT	GO:0006810~transport	6	75.0	0.0011336144437060144	YPR192W, YPL134C, YOR222W, YER053C, YJR077C, YLL052C	8	822	5557	5.070255474452555	0.026854995166216478	0.013036566102619166	0.013036566102619166
UP_KEYWORDS	Mitochondrion inner membrane	4	50.0	0.001351689452200393	YPL134C, YOR222W, YER053C, YJR077C	8	208	5914	14.216346153846155	0.030630954408933042	0.015544428700304518	0.01351689452200393
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	4	50.0	0.0019517957798652794	YPL134C, YOR222W, YER053C, YJR077C	8	234	5861	12.523504273504274	0.026981167810107176	0.027325140918113913	0.025373345138248633
UP_SEQ_FEATURE	transmembrane region	6	75.0	0.004459582924252495	YPR192W, YPL134C, YOR222W, YER053C, YJR077C, YLL052C	8	1164	5872	3.783505154639175	0.11763332913766811	0.02875020329642111	0.027758816975854868
UP_KEYWORDS	Transmembrane helix	6	75.0	0.004524629648335913	YPR192W, YPL134C, YOR222W, YER053C, YJR077C, YLL052C	8	1176	5914	3.7716836734693877	0.09904739519208172	0.026634561670666093	0.023160488409274864
UP_KEYWORDS	Transmembrane	6	75.0	0.004632097681854973	YPR192W, YPL134C, YOR222W, YER053C, YJR077C, YLL052C	8	1182	5914	3.75253807106599	0.10128180543465082	0.026634561670666093	0.023160488409274864
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	4	50.0	0.005001430515075244	YPL134C, YOR222W, YER053C, YJR077C	8	271	4885	9.012915129151292	0.08170597592455509	0.02430049456995463	0.020012171998786164
GOTERM_BP_DIRECT	GO:0006412~translation	4	50.0	0.0054672852050929475	YPL134C, YOR222W, YER053C, YJR077C	8	318	5557	8.7374213836478	0.12328635125221565	0.020649962813306926	0.020649962813306926
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	6	75.0	0.008171850080102872	YPR192W, YPL134C, YOR222W, YER053C, YJR077C, YLL052C	8	1326	5861	3.315045248868778	0.10852324621178688	0.057202950560720105	0.053117025520668666
UP_KEYWORDS	Membrane	6	75.0	0.024577706699364387	YPR192W, YPL134C, YOR222W, YER053C, YJR077C, YLL052C	8	1712	5914	2.5908294392523366	0.4358019573486276	0.11305745081707617	0.09831082679745755
GOTERM_CC_DIRECT	GO:0016020~membrane	6	75.0	0.027301968673548078	YPR192W, YPL134C, YOR222W, YER053C, YJR077C, YLL052C	8	1738	5861	2.529200230149597	0.32127707803062133	0.12740918714322438	0.11830853091870833
UP_KEYWORDS	Mitochondrion	4	50.0	0.05101008661164367	YPL134C, YOR222W, YER053C, YJR077C	8	768	5914	3.850260416666667	0.7000722028207957	0.19553866534463407	0.17003362203881223
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	4	50.0	0.15288163503119498	YPL134C, YOR222W, YER053C, YJR077C	8	1189	5861	2.464676198486123	0.902001966961226	0.42806857808734594	0.397492251081107

