Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Oxidoreductase	7	36.84210526315789	7.751537122933378E-5	YGR180C, YAL062W, YPL023C, YMR145C, YER081W, YER070W, YIL066C	19	258	5914	8.445124439004488	0.0034049983311306153	0.003190650242821758	0.002828076351592013
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	7	36.84210526315789	4.359813781569294E-4	YGR180C, YAL062W, YPL023C, YMR145C, YER081W, YER070W, YIL066C	19	292	4885	6.163482335976929	0.016434362739887853	0.008283646184981659	0.006321729983275476
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	7	36.84210526315789	5.542045536785756E-4	YGR180C, YAL062W, YPL023C, YMR145C, YER081W, YER070W, YIL066C	19	347	5557	5.900045502806006	0.027876346687763953	0.014132216118803678	0.010806988796732225
UP_KEYWORDS	Phosphoprotein	6	31.57894736842105	0.8201232124674671	YGR180C, YPL023C, YER081W, YER070W, YIL066C, YJR077C	19	2091	5914	0.8931510986936494	1.0	1.0	0.9069767441860465
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005971~ribonucleoside-diphosphate reductase complex	3	15.789473684210526	5.3262390992921185E-5	YGR180C, YER070W, YIL066C	19	4	5861	231.3552631578947	0.0010115004683767248	0.0010119854288655025	0.0010119854288655025
GOTERM_MF_DIRECT	GO:0004748~ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	3	15.789473684210526	7.661840445302605E-5	YGR180C, YER070W, YIL066C	19	4	4885	192.82894736842104	0.0029073762839401107	0.00291149936921499	0.0022219337291377555
GOTERM_BP_DIRECT	GO:0009263~deoxyribonucleotide biosynthetic process	3	15.789473684210526	1.4752705052983677E-4	YGR180C, YER070W, YIL066C	19	6	5557	146.23684210526315	0.007496196929921983	0.007523879577021675	0.005753554970663634
KEGG_PATHWAY	sce00240:Pyrimidine metabolism	4	21.052631578947366	0.00432659415323524	YBL039C, YGR180C, YER070W, YIL066C	12	70	2184	10.4	0.09098308882804018	0.043953078878590526	0.043953078878590526
KEGG_PATHWAY	sce00480:Glutathione metabolism	3	15.789473684210526	0.005993601665262345	YGR180C, YER070W, YIL066C	12	24	2184	22.75	0.12388330073167009	0.043953078878590526	0.043953078878590526
UP_KEYWORDS	DNA replication	3	15.789473684210526	0.01770097508519696	YGR180C, YER070W, YIL066C	19	68	5914	13.73219814241486	0.5442534712907972	0.1298071506247777	0.11505633805378025
GOTERM_BP_DIRECT	GO:0006260~DNA replication	3	15.789473684210526	0.02573347431400395	YGR180C, YER070W, YIL066C	19	78	5557	11.24898785425101	0.7354140147012425	0.08749381266761343	0.06690703321641027
KEGG_PATHWAY	sce00230:Purine metabolism	3	15.789473684210526	0.08123295073033907	YGR180C, YER070W, YIL066C	12	96	2184	5.6875	0.8449331206086642	0.3003248876729583	0.3003248876729583
UP_KEYWORDS	Phosphoprotein	6	31.57894736842105	0.8201232124674671	YGR180C, YPL023C, YER081W, YER070W, YIL066C, YJR077C	19	2091	5914	0.8931510986936494	1.0	1.0	0.9069767441860465
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	sce01100:Metabolic pathways	12	63.1578947368421	2.6037467252686167E-6	YBL039C, YDR502C, YGR180C, YAL062W, YPL023C, YBR218C, YER081W, YER070W, YMR246W, YLR438W, YOR317W, YIL066C	12	682	2184	3.2023460410557183	5.72808619183629E-5	5.7282427955909566E-5	5.7282427955909566E-5
GOTERM_BP_DIRECT	GO:0008152~metabolic process	6	31.57894736842105	0.0016628081385299746	YBR218C, YER081W, YER070W, YMR246W, YOR317W, YIL066C	19	284	5557	6.179021497405485	0.08137179116925686	0.028267738355009567	0.021616505800889668
UP_KEYWORDS	Ligase	4	21.052631578947366	0.004957556151275983	YBL039C, YBR218C, YMR246W, YOR317W	19	117	5914	10.641475483580745	0.1964171328200155	0.05453311766403582	0.04833617247494083
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	6	31.57894736842105	0.0074774847074925745	YBR218C, YER070W, YMR246W, YLR438W, YOR317W, YIL066C	19	353	4885	4.370061130162517	0.24814522144448492	0.06847534371666715	0.052257499152193354
GOTERM_MF_DIRECT	GO:0016874~ligase activity	4	21.052631578947366	0.00900991364692989	YBL039C, YBR218C, YMR246W, YOR317W	19	120	4885	8.570175438596491	0.2910203381354495	0.06847534371666715	0.052257499152193354
UP_KEYWORDS	ATP-binding	7	36.84210526315789	0.010098610634868102	YBL039C, YDR502C, YBR218C, YER070W, YMR246W, YOR317W, YIL066C	19	651	5914	3.3469156762874928	0.36019874551588205	0.0888677735868393	0.07876916295197119
UP_KEYWORDS	Nucleotide-binding	7	36.84210526315789	0.02090372727937024	YBL039C, YDR502C, YBR218C, YER070W, YMR246W, YOR317W, YIL066C	19	760	5914	2.866897506925208	0.6052542344249651	0.13028896353776204	0.11548339949938
GOTERM_MF_DIRECT	GO:0005524~ATP binding	7	36.84210526315789	0.027663872647507207	YBL039C, YDR502C, YBR218C, YER070W, YMR246W, YOR317W, YIL066C	19	668	4885	2.6942168294988966	0.6556310000149139	0.08760226338377282	0.06685435889814241
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	7	36.84210526315789	0.07162753846067317	YBL039C, YDR502C, YBR218C, YER070W, YMR246W, YOR317W, YIL066C	19	834	4885	2.157957844250915	0.9406466169261808	0.2017199031535152	0.15394413661715634
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Isopeptide bond	8	42.10526315789473	1.450295564918981E-4	YBL039C, YDR502C, YGR180C, YAL062W, YER070W, YLR438W, YOR317W, YIL066C	19	423	5914	5.886773671768072	0.006361443066984829	0.003190650242821758	0.002828076351592013
UP_KEYWORDS	Ubl conjugation	7	36.84210526315789	0.001405837159614929	YBL039C, YGR180C, YAL062W, YER070W, YLR438W, YOR317W, YIL066C	19	440	5914	4.951913875598086	0.06002345497976613	0.020618945007685623	0.018275883074994077
GOTERM_CC_DIRECT	GO:0005634~nucleus	4	21.052631578947366	0.9858025760682523	YGR180C, YAL062W, YER070W, YLR438W	19	2195	5861	0.5621388322743076	1.0	1.0	1.0
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	repeat:Solcar 1	4	21.052631578947366	1.3641508256171175E-4	YPL134C, YOR222W, YER053C, YJR077C	19	34	5872	36.359133126934985	0.008287356611752283	0.0028192450396087097	0.0024554714861108116
UP_SEQ_FEATURE	repeat:Solcar 2	4	21.052631578947366	1.3641508256171175E-4	YPL134C, YOR222W, YER053C, YJR077C	19	34	5872	36.359133126934985	0.008287356611752283	0.0028192450396087097	0.0024554714861108116
UP_SEQ_FEATURE	repeat:Solcar 3	4	21.052631578947366	1.3641508256171175E-4	YPL134C, YOR222W, YER053C, YJR077C	19	34	5872	36.359133126934985	0.008287356611752283	0.0028192450396087097	0.0024554714861108116
INTERPRO	IPR018108:Mitochondrial substrate/solute carrier	4	21.052631578947366	2.1203802361854883E-4	YPL134C, YOR222W, YER053C, YJR077C	19	34	5053	31.287925696594424	0.012643027243225857	0.006941994735517392	0.006941994735517392
INTERPRO	IPR023395:Mitochondrial carrier domain	4	21.052631578947366	2.313998245172464E-4	YPL134C, YOR222W, YER053C, YJR077C	19	35	5053	30.393984962406016	0.013789635874218553	0.006941994735517392	0.006941994735517392
INTERPRO	IPR002067:Mitochondrial carrier protein	3	15.789473684210526	0.0026544779538477297	YPL134C, YOR222W, YJR077C	19	22	5053	36.26555023923445	0.1474133558785411	0.05308955907695459	0.05308955907695459
GOTERM_MF_DIRECT	GO:0005215~transporter activity	4	21.052631578947366	0.003321688483816766	YPR192W, YPL134C, YOR222W, YLL052C	19	84	4885	12.243107769423558	0.1187679258513814	0.042074720795012364	0.03210965534356207
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	5	26.31578947368421	0.006431994407844372	YPR192W, YPL134C, YOR222W, YJR077C, YLL052C	19	240	5557	6.093201754385965	0.2804226184890891	0.061759526822592024	0.047227873452570374
UP_KEYWORDS	Mitochondrion inner membrane	4	21.052631578947366	0.023688902461411282	YPL134C, YOR222W, YER053C, YJR077C	19	208	5914	5.98582995951417	0.6517573662471847	0.13028896353776204	0.11548339949938
