Annotation Cluster 1	Enrichment Score: 3.247718313733597
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0001678~cellular glucose homeostasis	4	16.666666666666664	6.162176550157508E-7	YLR446W, YCL040W, YGL253W, YFR053C	24	5	5557	185.23333333333332	3.573999631389935E-5	1.1913541330304515E-5	8.01082951520476E-6
INTERPRO	IPR001312:Hexokinase	4	16.666666666666664	8.192115158423438E-7	YLR446W, YCL040W, YGL253W, YFR053C	24	5	5053	168.43333333333334	3.1948751832322486E-5	1.0649749705950468E-5	8.465185663704218E-6
INTERPRO	IPR022672:Hexokinase, N-terminal	4	16.666666666666664	8.192115158423438E-7	YLR446W, YCL040W, YGL253W, YFR053C	24	5	5053	168.43333333333334	3.1948751832322486E-5	1.0649749705950468E-5	8.465185663704218E-6
INTERPRO	IPR022673:Hexokinase, C-terminal	4	16.666666666666664	8.192115158423438E-7	YLR446W, YCL040W, YGL253W, YFR053C	24	5	5053	168.43333333333334	3.1948751832322486E-5	1.0649749705950468E-5	8.465185663704218E-6
GOTERM_MF_DIRECT	GO:0004340~glucokinase activity	4	16.666666666666664	9.065047042137903E-7	YLR446W, YCL040W, YGL253W, YFR053C	24	5	4885	162.83333333333331	4.0791898165859486E-5	8.158542337924113E-6	5.982931047811016E-6
GOTERM_MF_DIRECT	GO:0004396~hexokinase activity	4	16.666666666666664	9.065047042137903E-7	YLR446W, YCL040W, YGL253W, YFR053C	24	5	4885	162.83333333333331	4.0791898165859486E-5	8.158542337924113E-6	5.982931047811016E-6
GOTERM_MF_DIRECT	GO:0008865~fructokinase activity	4	16.666666666666664	9.065047042137903E-7	YLR446W, YCL040W, YGL253W, YFR053C	24	5	4885	162.83333333333331	4.0791898165859486E-5	8.158542337924113E-6	5.982931047811016E-6
GOTERM_MF_DIRECT	GO:0019158~mannokinase activity	4	16.666666666666664	9.065047042137903E-7	YLR446W, YCL040W, YGL253W, YFR053C	24	5	4885	162.83333333333331	4.0791898165859486E-5	8.158542337924113E-6	5.982931047811016E-6
GOTERM_BP_DIRECT	GO:0051156~glucose 6-phosphate metabolic process	4	16.666666666666664	2.1451288161908322E-6	YLR446W, YCL040W, YGL253W, YFR053C	24	7	5557	132.3095238095238	1.2440986523887254E-4	3.1104367834767066E-5	2.0915005957860614E-5
GOTERM_MF_DIRECT	GO:0005536~glucose binding	4	16.666666666666664	3.153301732882784E-6	YLR446W, YCL040W, YGL253W, YFR053C	24	7	4885	116.30952380952381	1.418887345439046E-4	2.364976299662088E-5	1.7343159530855312E-5
