"chem"	"family"	"origin"	"Plim"	"cluster"	"G6P"	"F6P"	"R5P"	"E4P"	"G3P"	"3PG"	"PEP"	"PYR"	"ACC"	"AKG"	"SUC"	"OXO"
"betaxanthin"	"10"	"heterologous"	10	"1"	"0.368277797"	"0.364651605"	"0.003626192"	"0.368277797"	"0.729303210"	"0.725677018"	"0.725677018"	"0.711172250"	"0.000000000"	"0.007252384"	"0.000000000"	"0.000000000"
"caffeicacid"	"8"	"heterologous"	10	"1"	"0.353225798"	"0.352336333"	"0.000889465"	"0.353225798"	"0.704672666"	"0.703783201"	"0.703783201"	"0.700225341"	"0.000000000"	"0.001778930"	"0.000000000"	"0.000000000"
"vanillinbetaglucoside"	"4"	"heterologous"	10	"1"	"0.3561931682"	"0.3527900873"	"0.0011343603"	"0.3539244476"	"0.7062283805"	"0.7054181232"	"0.7044458143"	"0.7025011967"	"0.0000000000"	"0.0009723088"	"0.0000000000"	"0.0000000000"
"betaionone"	"4"	"heterologous"	10	"1"	"0.355861106"	"0.352850031"	"0.001505538"	"0.354355568"	"0.710216674"	"0.710216674"	"0.710216674"	"0.710216674"	"0.000000000"	"0.000000000"	"0.000000000"	"0.000000000"
"glycyrrhetinicacid"	"10"	"heterologous"	10	"1"	"0.357327301"	"0.353198935"	"0.002064183"	"0.355263118"	"0.712590419"	"0.712590419"	"0.712590419"	"0.712590419"	"0.000000000"	"0.000000000"	"0.000000000"	"0.000000000"
"miltiradiene"	"10"	"heterologous"	10	"1"	"0.3526532070"	"0.3509253463"	"0.0008639304"	"0.3517892767"	"0.7044424837"	"0.7044424837"	"0.7044424837"	"0.7044424837"	"0.0000000000"	"0.0000000000"	"0.0000000000"	"0.0000000000"
"lycopene"	"10"	"heterologous"	10	"1"	"0.365701011"	"0.365701011"	"0.000000000"	"0.365701011"	"0.731402022"	"0.731402022"	"0.731402022"	"0.731402022"	"0.004962179"	"0.000000000"	"0.000000000"	"0.000000000"
"taxadienalphaylacetate"	"10"	"heterologous"	10	"1"	"0.38278930"	"0.38278930"	"0.00000000"	"0.38278930"	"0.76557860"	"0.76557860"	"0.76557860"	"0.76557860"	"0.01904152"	"0.00000000"	"0.00000000"	"0.00000000"
"protopanaxadiol"	"10"	"heterologous"	10	"1"	"0.355656670"	"0.352084360"	"0.001786155"	"0.353870515"	"0.709527184"	"0.709527184"	"0.709527184"	"0.709527184"	"0.000000000"	"0.000000000"	"0.000000000"	"0.000000000"
"genistein"	"7"	"heterologous"	10	"1"	"0.3621117491"	"0.3621117491"	"0.0005623432"	"0.3626740922"	"0.7230988118"	"0.7219741255"	"0.7219741255"	"0.7186000665"	"0.0050610884"	"0.0016870295"	"0.0000000000"	"0.0000000000"
"quercetin"	"7"	"heterologous"	10	"1"	"0.3670998123"	"0.3670998123"	"0.0007659287"	"0.3678657410"	"0.7326677673"	"0.7311359099"	"0.7311359099"	"0.7265403377"	"0.0068933583"	"0.0045955722"	"0.0000000000"	"0.0000000000"
"catechin"	"7"	"heterologous"	10	"1"	"0.369141816"	"0.366644953"	"0.001664575"	"0.368309528"	"0.734954481"	"0.734122194"	"0.734122194"	"0.729128469"	"0.007490587"	"0.003745293"	"0.000000000"	"0.000000000"
"kaempferol"	"7"	"heterologous"	10	"1"	"0.36710058"	"0.36710058"	"0.00076596"	"0.36786654"	"0.73266924"	"0.73113732"	"0.73113732"	"0.72654156"	"0.00689364"	"0.00459576"	"0.00000000"	"0.00000000"
"patchoulol"	"10"	"heterologous"	10	"1"	"0.360705566"	"0.355756623"	"0.002474471"	"0.358231094"	"0.718936660"	"0.718936660"	"0.718936660"	"0.718936660"	"0.000000000"	"0.000000000"	"0.000000000"	"0.000000000"
"oleanolate"	"10"	"heterologous"	10	"1"	"0.367738643"	"0.357181941"	"0.005278351"	"0.362460292"	"0.730198934"	"0.730198934"	"0.730198934"	"0.730198934"	"0.000000000"	"0.000000000"	"0.000000000"	"0.000000000"
"lupeol"	"10"	"heterologous"	10	"1"	"0.360339406"	"0.354828376"	"0.002755515"	"0.357583891"	"0.717923297"	"0.717923297"	"0.717923297"	"0.717923297"	"0.000000000"	"0.000000000"	"0.000000000"	"0.000000000"
"ergothioneine"	"3"	"heterologous"	10	"1"	"0.37986803"	"0.36957094"	"0.00643568"	"0.37343235"	"0.75072610"	"0.75072610"	"0.74300328"	"0.74429042"	"0.00000000"	"0.01287136"	"0.00000000"	"0.00000000"
"sreticuline"	"2"	"heterologous"	10	"1"	"0.362085847"	"0.358068339"	"0.002163273"	"0.360231612"	"0.719845147"	"0.719536108"	"0.717681874"	"0.712737249"	"0.000000000"	"0.003090390"	"0.000000000"	"0.000000000"
"methylbutanol"	"1"	"native"	5	"2"	"1.0000010"	"1.0000010"	"0.0000000"	"0.0000000"	"2.0000020"	"2.0000020"	"2.0000020"	"2.2418953"	"0.4837866"	"1.2309736"	"0.0000000"	"1.2310850"
"docosanol"	"1"	"heterologous"	10	"2"	"0.379035365"	"0.374715848"	"0.002159759"	"0.376875607"	"0.755910972"	"0.755910972"	"0.755910972"	"0.755910972"	"0.019437828"	"0.000000000"	"0.000000000"	"0.000000000"
"rosmarinicacid"	"4"	"heterologous"	5	"2"	"0.9983341"	"0.8601329"	"0.1382012"	"0.9983341"	"1.7202657"	"1.5820645"	"1.5820645"	"1.0292596"	"0.0000000"	"0.1382012"	"0.0000000"	"0.0000000"
"betacarotene"	"10"	"heterologous"	10	"2"	"0.359666628"	"0.355133279"	"0.002266675"	"0.357399953"	"0.717066582"	"0.717066582"	"0.717066582"	"0.717066582"	"0.000000000"	"0.000000000"	"0.000000000"	"0.000000000"
"cinnamoyltropine"	"2"	"heterologous"	10	"2"	"0.3520916360"	"0.3507251585"	"0.0006832388"	"0.3514083972"	"0.7029534422"	"0.7029534422"	"0.7026801467"	"0.7015869647"	"0.0000000000"	"0.0030062505"	"0.0000000000"	"0.0016397730"
"ara"	"6"	"heterologous"	10	"2"	"0.3750254851"	"0.3707199904"	"0.0028095177"	"0.3722159674"	"0.7459279117"	"0.7459279117"	"0.7448332945"	"0.7448332945"	"0.0122597136"	"0.0037216988"	"0.0000000000"	"0.0008756938"
"dha"	"6"	"heterologous"	10	"2"	"0.387681009"	"0.381385763"	"0.004237184"	"0.383443824"	"0.768945709"	"0.768945709"	"0.767129773"	"0.767129773"	"0.017069800"	"0.006174183"	"0.000000000"	"0.001452749"
"epa"	"6"	"heterologous"	10	"2"	"0.375453959"	"0.371027649"	"0.002758864"	"0.372695094"	"0.747057634"	"0.747057634"	"0.746148119"	"0.746148119"	"0.013460833"	"0.003819966"	"0.000000000"	"0.001091419"
"astaxanthin"	"10"	"heterologous"	10	"2"	"0.353675799"	"0.351538884"	"0.001068457"	"0.352607341"	"0.706283140"	"0.706283140"	"0.706283140"	"0.706283140"	"0.000000000"	"0.000000000"	"0.000000000"	"0.000000000"
"psilocybin"	"2"	"heterologous"	10	"2"	"0.355653014"	"0.353709815"	"0.001425013"	"0.354357548"	"0.709233283"	"0.709103736"	"0.707549177"	"0.706771897"	"0.000000000"	"0.001554559"	"0.000000000"	"0.000000000"
"ergosterol"	"6"	"native"	5	"3"	"1.0000010"	"0.5361488"	"0.2319261"	"0.7680749"	"1.7680759"	"1.7680759"	"1.7680759"	"1.7680759"	"0.8315202"	"0.0000000"	"0.0000000"	"0.0000000"
"squalene"	"10"	"heterologous"	5	"3"	"1.0000010"	"1.0000010"	"0.0000000"	"0.8411477"	"2.0000020"	"2.0000020"	"2.0000020"	"2.0589516"	"0.1170386"	"0.1178993"	"0.0000000"	"0.1178993"
"santalene"	"10"	"heterologous"	5	"3"	"1.0000010"	"1.0000010"	"0.0000000"	"1.0000010"	"2.0000020"	"2.0000020"	"2.0000020"	"2.0405716"	"1.1551001"	"0.0811392"	"0.0000000"	"0.0811392"
"farnesene"	"10"	"heterologous"	5	"3"	"1.0000010"	"0.7895071"	"0.1052469"	"0.8947541"	"1.8947551"	"1.8947551"	"1.8947551"	"1.8947551"	"0.6316885"	"0.0000000"	"0.0000000"	"0.0000000"
"amorphadiene"	"10"	"heterologous"	5	"3"	"1.0000000"	"1.0000000"	"0.0000000"	"0.0000000"	"2.0000000"	"2.0000000"	"2.0000000"	"2.0731601"	"0.1463202"	"0.1463202"	"0.0000000"	"0.1463202"
"limonene"	"10"	"heterologous"	5	"3"	"1.0000010"	"1.0000010"	"0.0000000"	"1.0000010"	"2.0000020"	"2.0000020"	"2.0000020"	"2.0677533"	"0.3141843"	"0.1355025"	"0.0000000"	"0.1355025"
"geraniol"	"10"	"heterologous"	5	"3"	"1.0000000"	"1.0000000"	"0.0000000"	"0.0000000"	"2.0000000"	"2.0000000"	"2.0000000"	"2.0731601"	"0.1463202"	"0.1463202"	"0.0000000"	"0.1463202"
"artemisinicacid"	"10"	"heterologous"	5	"3"	"1.00000003"	"0.97479373"	"0.01260315"	"0.01260315"	"1.98739690"	"1.98739690"	"1.98739690"	"1.98739690"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"
"itaconicacid"	"8"	"heterologous"	5	"4"	"1.0000010"	"1.0000010"	"0.0000000"	"0.0000000"	"1.9999701"	"1.9999701"	"1.9999701"	"2.1623378"	"0.3246717"	"0.3246717"	"0.0000000"	"1.4058406"
"glutamine"	"3"	"native"	10	"4"	"0.4999995"	"0.4999995"	"0.0000000"	"0.0000000"	"0.9999990"	"0.9999990"	"0.9999990"	"0.9999990"	"0.0000000"	"0.4999995"	"0.0000000"	"0.4999995"
"proline"	"3"	"native"	5	"4"	"1.0000010"	"0.8404378"	"0.0797816"	"0.0797816"	"1.9202204"	"1.9202204"	"1.9202204"	"1.9202204"	"0.0000000"	"1.9201807"	"0.0000000"	"1.9201807"
"putrescine"	"5"	"native"	5	"4"	"1.00000003"	"0.84044072"	"0.07977965"	"0.07977965"	"1.92022040"	"1.92022040"	"1.92022040"	"1.92022040"	"0.00000000"	"1.92022040"	"0.00000000"	"1.92022040"
"spermine"	"5"	"native"	5	"4"	"1.0000010"	"0.7196838"	"0.5920894"	"0.1039241"	"1.1275954"	"0.9197473"	"0.5920894"	"0.5920894"	"0.0000000"	"1.5118367"	"0.0000000"	"0.5920894"
"valencene"	"10"	"heterologous"	10	"5"	"0.4315032"	"0.3982354"	"0.0166339"	"0.4148693"	"0.8463726"	"0.8463726"	"0.8463726"	"0.8463726"	"0.0000000"	"0.0000000"	"0.0000000"	"0.0000000"
"nootkatone"	"10"	"heterologous"	10	"5"	"0.43146564"	"0.39821288"	"0.01662638"	"0.41483926"	"0.84630490"	"0.84630490"	"0.84630490"	"0.84630490"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"
"linalool"	"10"	"heterologous"	5	"5"	"0.9902501"	"0.7334835"	"0.1283833"	"0.8618668"	"1.8521169"	"1.8521169"	"1.8521169"	"1.8521169"	"0.0000000"	"0.0000000"	"0.0000000"	"0.0000000"
"betaamyrin"	"10"	"heterologous"	5	"5"	"1.00000002"	"1.00000002"	"0.00000000"	"0.00000000"	"2.00000004"	"2.00000004"	"2.00000004"	"2.04510330"	"0.09020653"	"0.09020653"	"0.00000000"	"0.09020653"
"tryptophan"	"3"	"native"	5	"6"	"1.0000010"	"0.6749768"	"0.5319596"	"0.4236182"	"1.3597010"	"1.0444243"	"0.8472363"	"0.4236182"	"0.0000000"	"0.8471737"	"0.1971879"	"0.2264302"
"adipicacid"	"8"	"heterologous"	5	"6"	"1.0000010"	"1.0000010"	"0.2684953"	"0.8054561"	"1.4630114"	"0.9260209"	"0.8054561"	"0.0000000"	"0.0000000"	"1.0464964"	"0.0000000"	"0.0000000"
"cismuconate"	"8"	"heterologous"	5	"6"	"1.0000010"	"1.0000010"	"0.2738710"	"0.8215818"	"1.4522600"	"0.9045180"	"0.8215818"	"0.0000000"	"0.0000000"	"0.9873604"	"0.0000000"	"0.0000000"
"hydroxymandelicacid"	"4"	"heterologous"	5	"6"	"1.0000010"	"1.0000010"	"0.1981926"	"0.5945777"	"1.6036169"	"1.2072318"	"1.1891554"	"0.0000000"	"0.0000000"	"0.6306710"	"0.0000000"	"0.0000000"
"phenylalanine"	"3"	"native"	5	"7"	"1.0000010"	"0.4741324"	"0.3550676"	"0.5393343"	"1.2898667"	"1.1056001"	"1.0786686"	"0.0000000"	"0.0000000"	"1.1055398"	"0.0000000"	"0.0000000"
"phenylethanol"	"1"	"native"	5	"7"	"1.0000010"	"0.7799442"	"0.2554110"	"0.5461762"	"1.4891800"	"1.1984148"	"1.0923523"	"0.0000000"	"0.0000000"	"0.6521784"	"0.0000000"	"0.0000000"
"mandelicacid"	"4"	"heterologous"	5	"7"	"1.0000010"	"0.7384290"	"0.2745719"	"0.5621435"	"1.4508583"	"1.1632866"	"1.1242871"	"0.0000000"	"0.0000000"	"0.6010798"	"0.0000000"	"0.0000000"
"cinnamate"	"4"	"heterologous"	5	"7"	"1.0000010"	"0.4741324"	"0.3550676"	"0.5393343"	"1.2898667"	"1.1056001"	"1.0786686"	"0.0000000"	"0.0000000"	"1.1055398"	"0.0000000"	"0.0000000"
"ffas"	"6"	"native"	5	"8"	"1.000001e+00"	"6.196021e-01"	"1.901995e-01"	"1.901995e-01"	"1.809803e+00"	"1.809803e+00"	"1.704935e+00"	"1.704935e+00"	"1.590104e+00"	"1.048677e-01"	"0.000000e+00"	"7.534508e-05"
"oleate"	"6"	"native"	5	"8"	"1.0000010"	"0.6082392"	"0.1958809"	"0.1958809"	"1.8041211"	"1.8041211"	"1.6759162"	"1.6759162"	"1.6759162"	"0.1282049"	"0.0000000"	"0.0000000"
"palmitoleate"	"6"	"native"	5	"8"	"1.0000010"	"0.6202097"	"0.1898957"	"0.1898957"	"1.8101063"	"1.8101063"	"1.6854174"	"1.6854174"	"1.6854174"	"0.1246890"	"0.0000000"	"0.0000000"
"hexanoate"	"8"	"native"	5	"9"	"0.99841125"	"0.86431975"	"0.06704575"	"0.93136550"	"1.92977675"	"1.92977675"	"1.92977675"	"1.92977675"	"0.74266061"	"0.77360480"	"0.00000000"	"0.61888384"
"resveratrol"	"9"	"heterologous"	10	"9"	"0.54793513"	"0.54793513"	"0.00814664"	"0.55608177"	"1.07957698"	"1.06328370"	"1.06328370"	"1.01440386"	"0.07331976"	"0.02443992"	"0.00000000"	"0.00000000"
"coumaricacid"	"4"	"heterologous"	10	"9"	"0.74977998"	"0.67678976"	"0.07299023"	"0.74977998"	"1.35357951"	"1.28058929"	"1.28058929"	"0.98862838"	"0.00000000"	"0.14598045"	"0.00000000"	"0.00000000"
"nbutanol"	"1"	"heterologous"	5	"10"	"1.0000010"	"0.5489834"	"0.2255088"	"0.2255088"	"1.7744932"	"1.7744932"	"1.7744932"	"1.7744932"	"0.0000000"	"0.8872466"	"0.0000000"	"0.8872466"
"asparagine"	"3"	"native"	10	"10"	"0.4545078"	"0.3211746"	"0.0666666"	"0.0666666"	"0.8423489"	"0.8423489"	"0.7423490"	"0.7423490"	"0.0000000"	"0.5999994"	"0.0000000"	"0.4999995"
"homoserine"	"3"	"native"	5	"10"	"0.9999990"	"0.3426483"	"0.3286753"	"0.3286753"	"1.6713227"	"1.6713227"	"1.6433767"	"1.6433767"	"0.0000000"	"1.0279450"	"0.0000000"	"0.9999990"
