compound	Prod_FC	family	Prot_cost
(R,R)-2,3-butanediol	0.0132600411093486	alcohol	0.00920950068598768
2-phenylethanol	0.99101414370344	alcohol	0.200854679899852
glycerol	0.0237562971478646	alcohol	0.00504124807622783
isoamylol	0.140880893118344	alcohol	0.0334552242486957
isobutanol	1	alcohol	0.0857544056019545
L-phenylacetylcarbinol	1	alcohol	0.00251844887498814
n-butanol	0.124472403181353	alcohol	0.016316816475097
docosanol	0.996971086517912	alcohol	56.1312045123151
choline	0.999542790951357	alkaloid	0.529031227847555
hypoxanthine	0.76251973050856	alkaloid	0.0991085585714116
xanthine	0.967892820676955	alkaloid	0.133106438219536
(S)-Reticuline	0.99687420376884	alkaloid	84.0842535777044
psilocybin	0.996834657026862	alkaloid	133.722737591582
cinnamoyltropine	0.996818833650442	alkaloid	190.171604189582
glutathione	0.145022761327988	amino acid	0.0383261015632606
L-alanine	1	amino acid	0.00458325048613754
L-arginine	1	amino acid	0.0367752695113352
L-asparagine	1	amino acid	0.0192133019011258
L-aspartate	1	amino acid	0.00405519516225324
L-citrulline	1	amino acid	0.030821218067052
L-cysteine	1	amino acid	0.0217837476751692
L-glutamate	0.999998000002	amino acid	0.0175363622665227
L-glutamine	1	amino acid	0.00895465551559504
L-glycine	1	amino acid	0.0121396457095603
L-histidine	0.999999999999999	amino acid	0.0684190144536352
L-homoserine	1	amino acid	0.00588804792679881
L-isoleucine	0.740763694531102	amino acid	0.0256471883276764
L-leucine	0.714726489863409	amino acid	0.0222022669749907
L-lysine	1	amino acid	0.0760673351264544
L-methionine	0.658249883411552	amino acid	0.0374605311879768
L-phenylalanine	0.539333767215424	amino acid	0.0246590513251847
L-proline	0.96010923945971	amino acid	0.0247249586268579
L-serine	1	amino acid	0.00917711302370709
L-threonine	1	amino acid	0.00899701319543649
L-tryptophan	0.847235484326153	amino acid	0.131744084848738
L-tyrosine	0.839288467703628	amino acid	0.160520997749634
L-valine	0.986348292966367	amino acid	0.00788304220352153
ornithine	0.670429141881709	amino acid	0.0728601510355645
Nicotianamine	0.996952040215719	amino acid	36.2006994592182
ergothioneine	0.996990762306246	amino acid	40.3722360344642
4-hydroxymandelic	0.15211886590751	aromatic	0.0323508824690998
cinnamate	0.123835367530412	aromatic	0.0254900067942724
mandelic	0.198332066847344	aromatic	0.0528649416420742
p-coumaric acid	0.99897802779937	aromatic	0.772591461446872
rosmarinate	0.999927469189755	aromatic	0.87371304873401
Salidroside	0.996129397590397	aromatic	210.677520719951
Tyrosol	0.996123997303116	aromatic	155.11547088606
vanillinbetaglucoside	0.996834931227938	aromatic	53.4528541702363
_-ionone	0.996879308873635	aromatic	92.038580594826
putrescine	0.256010057827565	bioamine	0.0282981810510632
spermine	0.572997964055215	bioamine	0.291139150923965
Free fatty acids	0.199210610047388	fatty acids and lipids	0.713584867097124
laurate	0.344105363175376	fatty acids and lipids	0.41832140680491
oleate	0.352963599556665	fatty acids and lipids	0.266540198142315
palmitoleate	0.333535168298093	fatty acids and lipids	0.232708941491735
triacylglycerol	0.229520425783902	fatty acids and lipids	1189.09517120826
ergosterol	0.896438588403573	fatty acids and lipids	1.05487249621006
ARA	0.996945710488511	fatty acids and lipids	237.374773073733
DHA	0.997019067520546	fatty acids and lipids	286.150375706215
EPA	0.996950072394069	fatty acids and lipids	285.683231882895
catechin	0.996924968805049	flavonoid	41.626635276271
genistein	0.996871579336554	flavonoid	61.6121662360192
kaempferol	0.996930999762967	flavonoid	45.2309720403856
naringenin	0.996937148588198	flavonoid	35.6648188025622
quercetin	0.996927871206549	flavonoid	45.2329622004915
(S)-lactate	0.0353254177873504	organic acid	0.00815374443478552
(S)-malate	0.18492055904323	organic acid	0.0690775786216048
2-oxoglutarate	0.073483730123438	organic acid	0.0103742334825061
acetate	0.0558926817256399	organic acid	0.00462895548065614
citrate	0.0498828775876827	organic acid	0.00689371004673626
fumarate	0.0334983375971033	organic acid	0.00908889223603628
glycolate	0.150589036780946	organic acid	0.0115170547245512
hexanoate	0.99970141865649	organic acid	1.11616387370122
pyruvate	0.011548011896675	organic acid	0.00795696953602567
3-hydroxypropanoate	0.0936838022793918	organic acid	0.0587807665185264
3-hydroxypropanoate	0.136293338856276	organic acid	0.0106134535182305
Adipic acid	0.988457930575197	organic acid	0.14067845420853
cis,cis-muconate	0.988822260098408	organic acid	0.139033516931472
Itaconic acid	0.686580005742686	organic acid	0.0765675664259181
caffeicacid	0.996821239616016	organic acid	58.4321978998191
