compound	type	family	MW	bioYield_gem	prodYield_gem	prodRate_gem	bioYield_ec	prodYield_ec	prodRate_ec	cFlux_l	cFlux_h	Pburden	CCMratio
L-phenylacetylcarbinol	heterologous	alcohol	150.174	NaN	NaN	NaN	0.476544587413273	1.61770901952351	1	0.618157522725903	4.84586466165414	0.00204688537890799	0.896864480576262
n-butanol	heterologous	alcohol	74.23	NaN	NaN	NaN	0.484746839108564	0.887245720103554	878.278571428571	1.000001	1000	0.0144770400602706	0.636870136171846
docosanol	heterologous	alcohol	326.61	NaN	NaN	NaN	0.484026005687822	0.158922014933547	17.9574333263707	1.000001	298.144102662315	8.859289954704	0.88386605084697
(R,R)-2,3-butanediol	native	alcohol	90.121	0.488744722175434	1.0771502197279	708.9125	0.483767870863023	1.07715127623568	1000	1.00000001916378	1000	0.00992002560751023	0.221111109419678
2-phenylethanol	native	alcohol	122.1644	0.488744722175434	0.546175623631687	319.681591119334	0.483767870863023	0.546175623631713	565.185755708591	1.000001	1000	0.0130392752985038	0.273562386404877
glycerol	native	alcohol	92.09382	0.488744722175434	1.5823961747458	1000	0.483767870863023	1.5823961747458	1000	1.000001	883.666215301286	0.00797725964901924	0.366355656047791
isoamylol	native	alcohol	88.14818	0.488744722175434	0.747297687392795	337.790291262136	0.483767870863022	0.74729768739439	718.442592592593	1.000001	1000	0.0187489404665915	0.470981658240682
isobutanol	native	alcohol	74.1216	0.488744722175434	1	536.697607541158	0.483767870863024	1	1000	0.999999999999	1000	0.00781523506310535	0.320080851261079
(S)-Reticuline	heterologous	alkaloid	329.39	NaN	NaN	NaN	0.483767870863021	0.208779664516829	11.99110386847	1.000001	133.751030536729	17.4129378282782	0.139165319606595
psilocybin	heterologous	alkaloid	284.248101	NaN	NaN	NaN	0.483767870863024	0.308532649201031	7.53985761971472	1.000001	71.3503259189802	40.9232583329526	0.26644278838679
cinnamoyltropine	heterologous	alkaloid	307.82	NaN	NaN	NaN	0.483767870863024	0.232309660649131	5.30210482729797	1.000001	36.8019706876735	43.8153585333711	0.243132562933371
choline	native	alkaloid	104.1708	0.488744722175434	0.556194790388623	118.889473684211	0.483767870863021	0.556194790388623	231.070796460177	1.000001	1000	0.294868671151715	0.0402582079642628
hypoxanthine	native	alkaloid	136.11162	0.488744722175434	0.976339109610723	142.24807692308	0.483767870863022	0.976339109610811	250	1.000001	700.016666666667	0.0967636585939847	0.594103309684479
xanthine	native	alkaloid	152.11102	0.488744722175434	0.942110257115544	117.374311926605	0.483767870863023	0.942110257103626	234.787155963302	1.000001	1000	0.129375012851553	0.383491172987012
Nicotianamine	heterologous	amino acid	303.3116	NaN	NaN	NaN	0.483955459451273	0.272576629723425	27.8492854545225	1.000001	347.918328934158	9.83492249282057	0.454754292328385
ergothioneine	heterologous	amino acid	229.3	NaN	NaN	NaN	0.483767870863022	0.324486883129502	24.9712485855778	1.000001	306.247795173328	12.997809620137	0.302677416017495
glutathione	native	amino acid	307.32	NaN	NaN	NaN	0.483767870863024	0.457394322126151	315.279487179487	1.000001	1000	0.017530646620812	0.408221581409923
L-alanine	native	amino acid	89.09322	0.488744722175621	1.90207041609887	1	0.483767870863023	1.90207041609887	1	0.525742365548691	0.729857819905213	0.00423696933723046	0.355834628046471
L-arginine	native	amino acid	174.201	0.488744722175621	0.5	0.25	0.483767870863023	0.5	0.25	0.4999995	1000	0.00893025535183432	0.463495938129525
L-asparagine	native	amino acid	132.118001	0.488744722175621	0.999999999999998	0.5	0.483767870863022	1.10009009493646	0.5	0.454507773773637	0.377752986900821	0.0101321326124857	0.355472884553596
L-aspartate	native	amino acid	133.1027	0.488744722175621	1.08768766088024	1	0.483767870863023	1.08768766088024	1	0.919380660428495	0.666666666666667	0.00388568752027162	0.799784678843307
L-citrulline	native	amino acid	175.18584	0.488744722175621	0.545328970670783	0.333333333333409	0.483767870863022	0.538413599069504	0.333333333333347	0.619102118847058	1000	0.00994638027448676	0.423599321377955
L-cysteine	native	amino acid	121.158	0.488744722175621	1.05534410875929	0.999999999999987	0.483767870863024	1.07748927863918	1	0.928082552489942	0.996986884083658	0.0219536924702518	0.397414646524399
L-glutamate	native	amino acid	146.12136	0.488744722175621	0.999998000002	1	0.483767870863023	0.999998000002	1	1.000001	1000	0.0175363447301604	0.359110284864799
L-glutamine	native	amino acid	146.14458	0.488744722175621	1	0.5	0.48376787086302	1	0.499999999999986	0.4999995	1000	0.00920028114721931	0.381481334900736
L-glycine	native	amino acid	75.06664	0.488744722175621	2.00000000000001	1	0.483767870863022	2	1	0.4999995	1000	0.00790199951307635	0.30116468489574
L-histidine	native	amino acid	155.15468	0.488744722175621	0.558431237948529	0.333333333333333	0.483767870863024	0.558431237948529	0.333333333333333	0.596909659324472	0.474590612712159	0.0224323781978262	0.726109325213404
L-homoserine	native	amino acid	119.1192	0.488744722175621	0.999999999999999	1	0.483767870863021	0.999999999999993	1	0.999999000000007	0.904859130162948	0.00588804203875085	0.80026921671392
L-isoleucine	native	amino acid	131.175	0.488744722175621	0.740763694531102	1	0.483767870863024	0.740763694531102	1	1.000001	1.94890047975385	0.0189985249784505	0.319828175582179
L-leucine	native	amino acid	131.17296	0.488744722175621	0.714726489863442	1	0.483767870863023	0.714726489863409	1	1.000001	3.82792792792793	0.0158685642105937	0.39499897905835
L-lysine	native	amino acid	147.19558	0.488744722175621	0.64251817346743	0.5	0.483767870863027	0.666666666666667	0.500000000000044	0.74999925	1000	0.0382026445587751	0.440686276582979
L-methionine	native	amino acid	149.21238	0.488744722175621	0.658249883411509	1.00000000000046	0.483767870863022	0.658249883411552	1	1.000001	1000	0.0246584149454108	0.374253779693147
L-phenylalanine	native	amino acid	165.18918	0.488744722175621	0.539333767214605	1	0.483767870863024	0.539333767215424	1	1.000001	1.90220110055028	0.0132994723466294	0.307809654496027
L-proline	native	amino acid	115.1305	0.488744722175621	0.960109239459707	1	0.48376787086302	0.960109239459709	1	1.000001	1000	0.0237386849615671	0.309633354759421
L-serine	native	amino acid	105.09262	0.488744722175621	1.93813247635822	1	0.483767870863025	1.93813247635823	1	0.515960086422477	0.519854824935952	0.00882368478935369	0.32761644969614
L-threonine	native	amino acid	119.1192	0.488744722175621	1.17901130190954	1	0.483767870863025	1.17901130190954	1.00000000000005	0.848167441974803	1000	0.0100940455717802	0.523295566814636
L-tryptophan	native	amino acid	204.22526	0.488744722175621	0.423617742163156	0.5	0.483767870863022	0.423617742163076	0.5	1.000001	1000	0.055809187576095	0.390697967542278
