product	OEf	Pcost	Ccost	c_uptake	p_rate	O2_in
psilocybin	1	133.306282310214	457.560873302123	0.355653124352911	0.000777280456229212	0.00310911871579504
psilocybin	2	104.40180509251	360.390710586151	0.357679414013866	0.000992476785631141	0.00396990317261742
psilocybin	5	87.0591187566092	302.088697826996	0.359541126871976	0.00119018397397271	0.00476073113515499
psilocybin	10	81.2782233113088	282.654693573372	0.360338249704532	0.00127483554279276	0.00509933707182887
psilocybin	20	78.3877755886586	272.93769144636	0.360780900428962	0.00132184345268365	0.00528736852336077
psilocybin	50	76.6535069550685	267.107490170536	0.361062514663648	0.00135174986831378	0.00540699406625568
psilocybin	100	76.0754174105384	265.164089745154	0.361159239353213	0.00136202168136839	0.00544808127738684
miltiradiene	1	159.868595308132	541.954113391197	0.351259212025561	0.000648134599122441	0.0077776074118546
miltiradiene	2	114.400493583987	388.427099754379	0.351811465336727	0.000905733574097158	0.0108687920203631
miltiradiene	5	87.119632549506	296.276587701046	0.352378712152099	0.00118935726540655	0.0142722729125914
miltiradiene	10	78.0260122046775	265.55975034993	0.352655941560723	0.00132797210833353	0.0159356493643373
miltiradiene	20	73.4792020322637	250.201331674373	0.35282028822987	0.00141014552508079	0.0169217293792231
miltiradiene	50	70.7511159288117	240.986280469026	0.352929035477552	0.00146451920329511	0.0175742128653118
miltiradiene	100	69.8417538943302	237.91459673392	0.352967172458834	0.00148358771300437	0.0178030347530001
valencene	1	6.20693578383448	23.1705848273383	0.386801463119529	0.0166936426508818	0.150242633615152
valencene	2	3.19744600787702	14.3087943341402	0.463690487577094	0.0324059789210016	0.291653518635204
valencene	5	1.3925000429566	9.05401293831225	0.673711961895599	0.0744103157887893	0.669692172406262
valencene	10	0.790851387983131	7.30241913968401	0.956753898229908	0.131018759664254	1.17916765780945
valencene	20	0.490027060496395	4.72924847977308	1.000001	0.211450297923018	1.90241543904842
valencene	50	0.309532464004353	2.98729611656573	1.000001	0.334751213465113	2.00511388871865
valencene	100	0.249367598507005	2.40664532882995	1.000001	0.415516564913275	2.62038382426332
