genes	enzymes	shortNames	MWs	pathways	actions	k_scores
YJL101C	P32477	GSH1	78.25278	sce00270  Cysteine and methionine metabolism sce00480  Glutathione metabolism	1	1000
GshF	D4N892	GshF	85.438		1	1000
YGR155W	P32582	CYS4	56.02121	sce00260  Glycine, serine and threonine metabolism sce00270  Cysteine and methionine metabolism sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	1	460.729271452027
YPR074C	P23254	TKL1	73.80488	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	55.8096015829621
YCL050C	P16550	APA1	36.49211	sce00230  Purine metabolism sce00920  Sulfur metabolism	1	53.3593940837639
YFR030W	P39692	MET10	114.82714	sce00920  Sulfur metabolism	1	53.3593940837639
YJR137C	P47169	MET5	161.21721	sce00920  Sulfur metabolism	1	53.3593940837639
YKL001C	Q02196	MET14	23.06018	sce00230  Purine metabolism sce00920  Sulfur metabolism	1	53.3593940837639
YOL064C	P32179	MET22	39.14886	sce00920  Sulfur metabolism sce01130  Biosynthesis of antibiotics	1	53.3593940837639
YPR167C	P18408	MET16	30.3799	sce00920  Sulfur metabolism	1	53.3593940837639
YDR353W	P29509	TRR1	34.23767	sce00450  Selenocompound metabolism	1	45.7376051295048
YBR294W		SUL1	NaN		1	41.7664741522498
YLR092W		SUL2	NaN		1	41.7664741522498
YJL121C	P46969	RPE1	25.96689	sce00030  Pentose phosphate pathway sce00040  Pentose and glucuronate interconversions sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	1	16.8136203831799
YLR174W	P41939	IDP2	46.56172	sce00020  Citrate cycle (TCA cycle) sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01210  2-Oxocarboxylic acid metabolism sce01230  Biosynthesis of amino acids sce04146  Peroxisome	1	12.1479151578506
