genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YGR155W	P32582	CYS4	56.02121	2	460.729271448783	tightly_const	2	3.14379956876908e-06	3.14397040286757e-06	3.14387953366633e-06	1	4	0	1	1.01027011611986	1.01129552548875
YCL050C	P16550	APA1	36.49211	2	53.3593940837208	tightly_const	2	7.11814415721944e-07	7.11867155478317e-07	7.1185915904612e-07	1	9	0	1	1.00158603622658	1.0017428965896
YPR167C	P18408	MET16	30.3799	2	53.3593940837208	tightly_const	2	1.95252748706113e-05	1.95254942012676e-05	1.95252748706113e-05	1	7	0	1	1.03740964373858	1.04125542599451
YKL001C	Q02196	MET14	23.06018	2	53.3593940837208	tightly_const	2	1.55314613783517e-05	1.55316358458376e-05	1.55314613783517e-05	1	5	0	1	1.02228363359298	1.0245376536405
YOL064C	P32179	MET22	39.14886	2	53.3593940837208	tightly_const	2	6.21257296567266e-06	6.21265777838724e-06	6.21257963097271e-06	1	4	0	1	1.01503316908951	1.01654192741524
YJR137C	P47169	MET5	161.21721	2	53.3593940837207	tightly_const	2	4.3806774253238e-07	4.3806979795106e-07	4.3806774253238e-07	0	6	2	1	1.00432279031726	1.00475160210848
YFR030W	P39692	MET10	114.82714	2	53.3593940837207	tightly_const	2	4.3806774253238e-07	4.3806979795106e-07	4.3806774253238e-07	0	6	2	1	1.00307538869927	1.00338004440417
YDR353W	P29509	TRR1	34.23767	2	45.7376051294732	tightly_const	2	2.05644813385543e-06	2.05647294912546e-06	2.05644813385543e-06	1	6	0	1	1.00435233164808	1.00478408783684
YJL121C	P46969	RPE1	25.96689	1	16.813620373571	essential	2	1.17434437588405e-06	0.00311277791874668	1.17445183182731e-06	1	2	0	1	1.00453307877234	1.00498285423591
YLR174W	P41939	IDP2	46.56172	1	12.1479151578484	essential	2	1.22427268161178e-06	0.00173652840391936	1.22464130206081e-06	1	5	0	1	1.00735311908483	1.00808495306964
YNL241C	P11412	ZWF1	57.5209	2	9.1207128589265	tightly_const	2	3.25035127313558e-07	3.25069088365004e-07	3.25064037518884e-07	1	5	0	1	1.00288529773345	1.00317106302046
YOR095C	Q12189	RKI1	28.25777	1	4.87762886748747	essential	2	7.53863257164199e-06	0.00286688051884145	7.53926779363066e-06	1	2	0	1	1.03548719724986	1.03912789432677
YOL126C	P22133	MDH2	40.7305	1	3.43349662252911	essential	2	9.59157295181001e-09	0.00198374890987732	9.59204893132503e-09	1	5	0	1	1.00003914142681	1.00004300597895
YBR221C	P32473	PDB1	40.0532	2	1.75028432932904	tightly_const	2	1.4045626452196e-06	1.40466346699731e-06	1.40460197756962e-06	0	6	7	1	1.0084714686857	1.0093156379844
YER178W	P16387	PDA1	46.34261	2	1.75028432932904	tightly_const	2	1.4045626452196e-06	1.40466346699731e-06	1.40460197756962e-06	0	6	7	1	1.00980417767697	1.01078256937443
YGR193C	P16451	PDX1	45.36125	2	1.75028432932904	tightly_const	2	1.4045626452196e-06	1.40466346699731e-06	1.40460197756962e-06	0	6	7	1	1.00959619836178	1.01055361819429
YNL071W	P12695	LAT1	51.81762	2	1.75028432932904	tightly_const	2	1.4045626452196e-06	1.40466346699731e-06	1.40460197756962e-06	0	6	7	1	1.01096486349941	1.01206046730462
YCR012W	P00560	PGK1	44.73787	1	1.05548596387315	essential	2	7.89447565738308e-07	0.00180683524017146	7.89447565738388e-07	1	4	0	1	0.967347136734542	1.03982977959938
YDR516C	Q04409	EMI2	55.92028	2	1.00029059329633	essential	2	6.74481083988408e-08	1.86179439461893e-07	1.86094686903501e-07	1	4	0	1	1.00819998069337	1.00901685472879
YJL101C	P32477	GSH1	78.25278	2	1000	opt_isoenz_tight	2	0	3.31196447824721e-09	3.31189417873622e-09	1	7	0	2	1.00001484975799	1.00001631588064
YHR163W	P38858	SOL3	27.78417	2	9.1207128589265	opt_isoenz_tight	2	0	2.05703952533525e-05	2.05700756354525e-05	0	5	4	2	1.09106898811028	1.10096793566564
YHR183W	P38720	GND1	53.54274	2	9.1207128589265	opt_isoenz_tight	2	0	5.65120472035721e-06	5.65111691328339e-06	0	6	5	2	1.04746060732181	1.05239182984382
YNR001C	P00890	CIT1	53.35945	2	3.27873009002019	opt_isoenz_tight	2	0	5.83667929566976e-07	5.8363751126036e-07	1	7	0	2	1.00347189768171	1.00381598198827
YGL062W	P11154	PYC1	130.09827	2	1.73851877748035	opt_isoenz_tight	2	0	1.6797835633016e-06	1.67925481860749e-06	0	8	8	2	1.04961573049794	1.05478258440307
YAL038W	P00549	CDC19	54.54404	2	1.1936739523992	opt_isoenz_tight	2	0	1.01007308158952e-06	1.01005456644844e-06	0	6	10	2	1.02210640138478	1.11214608547215
YBL039C	P28274	URA7	64.70953	0	0.289420402949408	subOpt_isoenz	0	0	4.1528900466424e-08	0	0	12	14	2	0.999999999999962	0.999999999999957
YER070W	P21524	RNR1	99.56021	0	0.281463047767535	subOpt_isoenz	0	0	4.87266676415695e-07	0	0	24	15	2	0.999999999999972	0.999999999999973
YIL066C	P21672	RNR3	97.51369	0	0.281463047767535	subOpt_isoenz	0	0	4.87266676417166e-07	0	0	24	15	2	0.999999999999997	1
YJL026W	P09938	RNR2	46.14681	0	0.281463047767535	subOpt_isoenz	0	0	4.87266676417679e-07	0	0	24	15	2	0.999999999999961	0.99999999999996
YNR019W	P53629	ARE2	74.022	0	0.207585677993905	subOpt_isoenz	0	0	0.00109154977589986	0	1	84	0	2	0.999999999999988	0.999999999999987
YGR087C	P26263	PDC6	61.57964	0	0.167313859258479	subOpt_isoenz	0	0	2.34225485457648e-07	0	0	17	16	2	0.999999999999997	0.999999999999965
YLR134W	P16467	PDC5	61.91138	0	0.167313859258479	subOpt_isoenz	0	0	2.34225485457813e-07	0	0	17	16	2	0.99999999999999	0.99999999999999
YOR245C	Q08650	DGA1	47.71075	0	0.164378516990858	subOpt_isoenz	0	0	1.01733999432171e-07	0	1	122	0	2	0.999999999999985	0.999999999999989
GshF	D4N892	GshF	85.438	2	1000	opt_isoenz	2	0	1.189697322542e-07	6.11618686287631e-08	1	9	0	3	1.00029950112715	1.00032908024358
YPR074C	P23254	TKL1	73.80488	1	63.6087975432274	opt_isoenz	2	0	0.00109669244072766	1.93188683673851e-06	0	10	1	3	1.02133671495977	1.02349275175493
YNL036W	P53615	NCE103	24.85889	1	1.26200605433827	opt_isoenz	2	0	0.00325029249496254	1.24612610692706e-10	1	4	0	3	1	1
YGR254W	P00924	ENO1	46.81564	1	1.1284254665608	opt_isoenz	2	0	0.00172694517713753	1.05261002229386e-06	0	5	11	3	1.01010246448634	1.0974193286029
YJL052W	P00360	TDH1	35.74956	1	1.05548596387315	opt_isoenz	2	0	0.0022747388983783	1.46102237904495e-05	0	8	13	3	1.34900300243423	1.64549925757964
