genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	1	1000	subOpt_isoenz	2	0	1.58337243371418e-09	0
YBR145W	P38113	ADH5	37.64764	1	1000	subOpt_isoenz	2	0	8.04615763810901e-10	0
YBR252W	P33317	DUT1	15.30716	1	1000	subOpt_isoenz	2	0	6.21681039120564e-09	0
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10046645335135e-07	2.10443243721264e-07	2.10188074822914e-07
YER170W	P26364	ADK2	25.19373	1	1000	subOpt_isoenz	2	0	3.66216073451068e-09	0
YOL086C	P00330	ADH1	36.84874	1	1000	subOpt_isoenz	2	0	3.44603868085058e-10	0
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72445712328582e-08	2.72790799748879e-08	2.72466152002226e-08
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.4085752976874e-11	4.33863366219546e-09	1.5728024228112e-10
YDR452W	Q04119	PPN1	78.34335	1	1000	opt_isoenz	2	0	1.18026827124826e-09	1.59461388661699e-12
CrTdc	A0A3S7SKS7	CrTdc	56.221	2	1000	tightly_const	2	5.69648010029773e-08	5.69648010030912e-08	5.69648010029773e-08
PcpsiH	P0DPA7	PcpsiH	57.515	2	1000	tightly_const	2	0.000682894034423691	0.000682894034425057	0.000682894034423691
PcPsiK	P0DPA8	PcPsiK	40.442	2	1000	tightly_const	2	0.000682894034423691	0.000682896318536023	0.000682894034423691
PcPsiM	P0DPA9	PcPsiM	34.434	2	1000	tightly_const	2	0.000682894034423691	0.000682894034425057	0.000682894034423691
YGR087C	P26263	PDC6	61.57964	1	12.2048150664466	subOpt_isoenz	2	0	2.61370425134423e-09	0
YLR134W	P16467	PDC5	61.91138	1	12.2048150664466	subOpt_isoenz	2	0	2.58935564772687e-09	0
YLR044C	P06169	PDC1	61.49468	2	12.2048150664466	tightly_const	2	8.38206265916197e-07	8.46254825029736e-07	8.40170444902648e-07
YAL038W	P00549	CDC19	54.54404	2	2.44761512492585	essential	2	1.89609376985069e-06	2.03858556219797e-06	2.03809650716432e-06
YOR347C	P52489	PYK2	55.19478	1	2.44761512492585	subOpt_isoenz	2	0	1.42002737197967e-07	0
YGR254W	P00924	ENO1	46.81564	2	2.2932457072435	essential	2	1.90514347515999e-06	2.09321034897237e-06	2.09123969210763e-06
