chemicals	results_folder	ecModel	media	carbon_source	overexpression	downregulation	deletion
(S)-reticuline	(s)-reticuline_targets	ec(S)-reticuline.mat	YEP	glucose			
2-phenylethanol	2-phenylethanol_targets	ec2-phenylethanol.mat	Min	glucose	YGL148W,YHR137W,YNL316C,YPR074C,YDR380W	YAL038W,YBR166C	YDR035W,YBR249C,YPR060C,YGL202W
3-hydroxypropanoate-asp	3hp-asp_targets	ec3HP-asp.mat	Min	glucose			
3-hydroxypropanoate-malcoa	3hp-malcoa_targets	ec3HP-malcoa.mat	Min	glucose			
3-Methyl-1-Butanol	3-methylbutanol_targets	ec3-methylbutanol.mat	YEP	glucose	YMR108W,YJR016C,YLR355C,YDR380W,YMR303C,YNL104C		YPL061W,YHR208W
4-hydroxymandelic	4-hydroxymandelic_acid_targets	ec4-hydroxymandelic_acid.mat	Min	glucose	YDR127W		YNL316C,YER090W,YDR380W,YLR134W,YGL202W,YBR249C
Acetaldehyde	acetaldehyde_targets	ecAcetaldehyde.mat	Min	glucose			
Acetate	acetate_targets	ecAcetate.mat	Min	glucose			
Adipic acid	adipic_acid_targets	ecAdipic_acid.mat	YEP	glucose			YDR035W,YBR249C,YNL241C
Alanine	alanine_targets	ecAlanine.mat	Min	glucose			
_-Amylase	alpha_amylase_targets	ecalpha_Amylase.mat	Min	glucose			
Amorphadiene	amorphadiene_targets	ecAmorphadiene.mat	Min	glucose	YML075C,YMR220W,YPL028W,YMR208W,YML126C,YNR043W,YJL167W,YPL117C	YHR190W	YBR020W,YBR018C,YBR019C
ARA	ara_targets	ecARA.mat	Min	glucose			
Arginine	arginine_targets	ecArginine.mat	Min	glucose			
Artemisinic acid	artemisinic_targets	ecArtemisinic.mat	YEP	glucose	YML075C,YLR450W	YHR190W	
Asparagine	asparagine_targets	ecAsparagine.mat	Min	glucose			
Aspartate	aspartate_targets	ecAspartate.mat	Min	glucose			
Astaxanthin	astaxanthin_targets	ecAstaxanthin.mat	YEP	glucose	YML075C		
_-Amyrin	beta_amyrin_targets	ecbeta_Amyrin.mat	YEP	glucose	YHR190W,YJL167W		
_-Carotene	beta_carotene_targets	ecbeta_Carotene.mat	YEP	glucose	YML075C		
_-ionone	beta_ionone_targets	ecbeta_Ionone.mat	YEP	glucose	YJL167W,YML075C,YPL069C	YHR190W	YDR284C,YDR503C
Betaxanthin	betaxanthin_targets	ecBetaxanthin.mat	YEP	raffinose			YBR249C
Caffeic acid	caffeic_acid_targets	ecCaffeic_acid.mat	YEP	glucose			YDR380W,YLR134W
Catechin	catechin_targets	ecCatechin.mat	Min	glucose			
Choline	choline_targets	ecCholine.mat	Min	glucose			
Trans-cinnamate	cinnamate_targets	ecCinnamate.mat	YEP	glucose			
cis,cis-muconic acid	cis_muconate_targets	eccis_Muconate.mat	YEP	glucose			YDR035W,YBR249C,YNL241C
Citrate	citrate_targets	ecCitrate.mat	Min	glucose			
Citrulline	citrulline_targets	ecCitrulline.mat	Min	glucose			
p-coumaric acid	coumaric_acid_targets	ecCoumaric_acid.mat	YEP	glucose			YBR249C,YPR060C,YDR380W,YLR134W
p-coumaric acid	coumaric_acid_xylose_targets	ecCoumaric_acid_xylose.mat	Min	xylose			YBR249C,YPR060C,YDR380W,YLR134W
Cysteine	cysteine_targets	ecCysteine.mat	Min	glucose			
DHA	dha_targets	ecDHA.mat	Min	glucose			
docosanol	docosanol_targets	ecDocosanol.mat	Min	glucose	YJL196C,YCR034W,YNR016C		YCR048W,YOR245C,YNR019W,YNR008W,YGL205W,YLR372W,YBR020W
EPA	epa_targets	ecEPA.mat	Min	glucose			
Ergosterol	ergosterol_targets	ecErgosterol.mat	Min	glucose			
Ethylene	ethylene_targets	ecEthylene.mat	Min	glucose			
Farnesene	farnesene_targets	ecFarnesene.mat	Min	glucose	YML075C,YJL167W,YDL215C	YHR190W	YDR503C,YDR284C,YOR375C
FFA	ffas_targets	ecFFAs.mat	Min	glucose			YGL205W,YOR317W,YMR246W,YMR110C,YDL078C
Fumaric acid	fumaric_acid_targets	ecFumaric_acid.mat	Min	glucose	YBR218C		
Genistein	genistein_targets	ecGenistein.mat	YEP	glucose			
Geraniol	geraniol_targets	ecGeraniol.mat	YEP	glucose	YML075C,YPL117C,YJL167W		
Glucagon	glucagon_targets	ecGlucagon.mat	YEP	glucose			
Glutamate	glutamate_targets	ecGlutamate.mat	Min	glucose			
Glutamine	glutamine_targets	ecGlutamine.mat	Min	glucose			
Glutathione	glutathione_targets	ecGlutathione.mat	YEP	glucose	YJL101C,YDR300C		
Glycerol	glycerol_targets	ecGlycerol.mat	Min	glucose			
Glycine	glycine_targets	ecGlycine.mat	Min	glucose			
Glycolate	glycolate_targets	ecGlycolate.mat	Min	glucose			
Glycyrrhetinic acid	glycyrrhetinic_acid_targets	ecGlycyrrhetinic_acid.mat	YEP	glucose			
Guanine	guanine_targets	ecGuanine.mat	Min	glucose			
Hemoglobin	hemoglobin_targets	ecHemoglobin.mat	Min	glucose	YDL205C		
Hexanoate	hexanoate_targets	ecHexanoate.mat	Min	glucose			
Histidine	histidine_targets	ecHistidine.mat	Min	glucose			
Homoserine	homoserine_targets	ecHomoserine.mat	Min	glucose			
Human Serum Albumin (HSA)	hsa_targets	ecHSA.mat	Min	glucose			
Hypoxanthine	hypoxanthine_targets	ecHypoxanthine.mat	Min	glucose			
Isobutanol	isobutanol_targets	ecIsobutanol.mat	YEP	glucose	YMR108W,YJR016C,YLR355C,YDR380W,YMR303C,YNL104C		YPL061W,YHR208W
Isoleucine	isoleucine_targets	ecIsoleucine.mat	Min	glucose			
Itaconic acid	itaconic_acid_targets	ecItaconic_acid.mat	YEP	glucose			YJR078W,YJR019C
Kaempferol	kaempferol_targets	ecKaempferol.mat	YEP	glucose			
L-phenylacetylcarbinol	l_pac_targets	ecL_PAC.mat	YEP	glucose			
lactase	lactase_targets	ecLactase.mat	YEP	glucose			
Lactic acid	lactate_targets	ecLactate.mat	YEP	glucose			YDL022W,YML054C,YLR044C,YOL086C,YPL061W
Laurate	laurate_targets	ecLaurate.mat	Min	glucose			
Leucine	leucine_targets	ecLeucine.mat	Min	glucose			
Limonene	limonene_targets	ecLimonene.mat	Min	glucose	YJL167W		
Linalool	linalool_targets	ecLinalool.mat	Min	glucose	YJL167W		
Lupeol	lupeol_targets	ecLupeol.mat	Min	glucose	YML075C,YML126C	YHR072W	
Lysine	lysine_targets	ecLysine.mat	Min	glucose			
Malate	malate_targets	ecMalate.mat	Min	glucose	YBR218C,YOL126C		YLR044C,YLR134W,YGR087C,YDL078C
mandelic	mandelic_acid_targets	ecmandelic_acid.mat	Min	glucose	YDR127W		YBR166C,YER090W,YDR380W,YLR134W,YGL202W,YBR249C
Methionine	methionine_targets	ecMethionine.mat	Min	glucose			
Miltiradiene	miltiradiene_targets	ecMiltiradiene.mat	YEP	glucose	YPL069C,YJL167W,YML075C		
Naringenin	naringenin_targets	ecNaringenin.mat	Min	glucose			YDR035W,YBR249C,YDR380W,YLR134W,YGR087C
n-butanol	n-butanol_targets	ecn-Butanol.mat	YEP	glucose	YCL017C,YHR002W		YOL086C
Nicotianamine	nicotianamine_targets	ecNicotianamine.mat	YEP	glucose			YGL125W
Oleanolic acid	oleanolate_targets	ecOleanolate.mat	YEP	glucose	YML075C,YGR175C,YHR190W		YBR020W
Oleate	oleate_targets	ecOleate.mat	Min	glucose			
L-ornithine 	ornithine_targets	ecOrnithine.mat	Min	glucose	YOR130C,YPR021C,YOR375C	YJL088W	YLR438W
Oxoglutarate	oxoglutarate_targets	ecOxoglutarate.mat	Min	glucose			
Palmitoleate	palmitoleate_targets	ecPalmitoleate.mat	Min	glucose			
Patchoulol	patchoulol_targets	ecPatchoulol.mat	YEP	glucose	YML075C,YPL117C,YJL167W	YHR190W	
Phenylalanine	phenylalanine_targets	ecPhenylalanine.mat	Min	glucose			
Proline	proline_targets	ecProline.mat	Min	glucose			
Protopanaxadiol	protopanaxadiol_targets	ecProtopanaxadiol.mat	Min	glucose	YHR190W,YGR175C,YJL167W,YML075C		
Psilocybin	psilocybin_targets	ecPsilocybin.mat	Min	glucose	YDR127W,YGL148W		YBR249C
Putrescine	putrescine_targets	ecPutrescine.mat	Min	glucose			
Pyruvate	pyruvate_targets	ecPyruvate.mat	YEP	glucose			YLR044C,YLR134W,YGR087C
Quercetin	quercetin_targets	ecQuercetin.mat	YEP	glucose			
R,R-2,3-butanediol	r,r-2,3-butanediol_targets	ecR,R-2,3-butanediol.mat	Min	glucose			
Resveratrol	resveratrol_targets	ecResveratrol.mat	Min	glucose			
Rosmarinic acid	rosmarinic_acid_targets	ecRosmarinic_acid.mat	Min	glucose			YBR249C,YPR060C,YDR380W,YLR134W
Salidroside	salidroside_targets	ecSalidroside.mat	YEP	glucose			YNL316C,YLR044C,YKL211C
Santalene	santalene_targets	ecSantalene.mat	Min	glucose	YML075C,YJL167W,YDL215C	YHR190W	YDR503C,YDR284C,YOR375C
Serine	serine_targets	ecSerine.mat	Min	glucose			
Spermine	spermine_targets	ecSpermine.mat	Min	glucose			
Succinic acid	suc-retca_targets	ecSuc-reTCA.mat	Min	glucose			YLR044C,YLR134W,YGR087C,YPL262W,YER065C,YNL117W
Succinic acid	suc_targets	ecSuc.mat	Min	glucose			
Taxa-4(20),11(12)-dien-6alpha-yl acetate	taxadien_5alpha_yl_acetate_targets	ecTaxadien_5alpha_yl_acetate.mat	YEP	glucose	YMR220W,YMR208W,YJL167W,YNR043W		
Threonine	threonine_targets	ecThreonine.mat	Min	glucose			
Thymidine	thymidine_targets	ecThymidine.mat	Min	glucose			
triacylglycerol	triacylglycerol_targets	ectriacylglycerol.mat	Min	glucose	YNR016C,YMR165C		YMR313C,YKR089C,YOR081C,YPL147W
Tryptophan	tryptophan_targets	ecTryptophan.mat	Min	glucose			
tyrosine	tyrosine_targets	ecTyrosine.mat	YEP	glucose			YDR035W,YBR249C,YDR380W,Zwf1
Tyrosol	tyrosol_targets	ecTyrosol.mat	YEP	glucose			YNL316C,YLR044C,YKL211C
Urea	urea_targets	ecUrea.mat	Min	glucose			
Valencene	valencene_targets	ecValencene.mat	YEP	glucose	YML075C,YMR220W,YPL028W,YMR208W,YML126C,YJL167W,YNR043W,YPL117C	YHR190W	YPL069C,YDR284C,YDR503C
Valine	valine_targets	ecValine.mat	Min	glucose			
vanillin-_-glucoside	vanillin___glucoside_targets	ecVanillin___glucoside.mat	Min	glucose			YMR318C,YLR300W
Vitamin A	vitamin_a_targets	ecVitamin_A.mat	Min	xylose			YPL061W
Xanthine	xanthine_targets	ecXanthine.mat	Min	glucose			
Xanthone	xanthone_targets	ecXanthone.mat	YEP	glucose		YJL167W	
Nootkatone	nootkatone_targets	ecNootkatone.mat	YEP	glucose	YJL167W,YML075C	YHR190W	
Cinnamoyltropine	cinnamoyltropine_targets	ecCinnamoyltropine.mat	YEP	glucose	YKL184W,YPL111W,YJL071W,YMR020W		YMR170C,YMR169C,YOR374W,YER073W,YMR110C,YLR017W
Squalene	squalene_targets	ecSqualene.mat	YEP	ethanol	YML075C,YJL167W,YHR190W,YMR220W,YPL028W,YMR208W,YML126C,YNR043W,YMR303C		
L-(+)-Ergothioneine	ergothioneine_targets	ecErgothioneine.mat	Min	glucose			
S-adenosyl-L-methionine	s-adenosyl-l-methionine_targets	ecS-adenosyl-L-methionine.mat	YEP	glucose	YDR502C		YOL052C
2'-fucosyllactose	2_fucosyllactose_targets	ec2_Fucosyllactose.mat	YEP	xylose + lactose			YDL236W,YPL061W
lycopene	lycopene_targets	ecLycopene.mat	YEP	glucose	YML075C,YMR303C,YPL061W,YPL188W,YMR165C,YNR016C,YGL055W		YBR020W,YBR018C,YBR019C,YLR300W
