Name	Formula	KEGG ID	CHEBI ID	MW	Group	class	ecModel
"(R,R)-2,3-butanediol "	C4H10O2	C03044	16982	90.121	native	alcohol	"ecR,R-2,3-butanediol.mat"
2-phenylethanol 	C8H10O	C05853	49000	122.1644	native	alcohol	ec2-phenylethanol.mat
glycerol 	C3H8O3	C00116	17754	92.09382	native	alcohol	ecGlycerol.mat
isoamylol 	C5H12O	C07328	15837	88.14818	native	alcohol	ec3-methylbutanol.mat
isobutanol 	C4H10O	C14710	46645	74.1216	native	alcohol	ecIsobutanol.mat
choline 	C5H14NO	C00114	15354	104.1708	native	alkaloid	ecCholine.mat
hypoxanthine 	C5H4N4O	C00262	17368	136.11162	native	alkaloid	ecHypoxanthine.mat
xanthine 	C5H4N4O2	C00385	17712	152.11102	native	alkaloid	ecXanthine.mat
glutathione 	C10H17N3O6S	C00051	16856	307.32	native	amino acid	ecGlutathione.mat
L-alanine 	C3H7NO2	C00041	16977	89.09322	native	amino acid	ecAlanine.mat
L-arginine 	C6H14N4O2	C00062	16467	174.201	native	amino acid	ecArginine.mat
L-asparagine 	C4H8N2O3	C00152	17196	132.118001	native	amino acid	ecAsparagine.mat
L-aspartate 	C4H7NO4	C00049	17053	133.1027	native	amino acid	ecAspartate.mat
L-citrulline 	C6H13N3O3	C00327	16349	175.18584	native	amino acid	ecCitrulline.mat
L-cysteine 	C3H7NO2S	C00097	17561	121.158	native	amino acid	ecCysteine.mat
L-glutamate 	C5H8NO4	C00025	29985	146.12136	native	amino acid	ecGlutamate.mat
L-glutamine 	C5H10N2O3	C00064	18050	146.14458	native	amino acid	ecGlutamine.mat
L-glycine 	C2H5NO2	C00037	15428	75.06664	native	amino acid	ecGlycine.mat
L-histidine 	C6H9N3O2	C00135	15971	155.15468	native	amino acid	ecHistidine.mat
L-homoserine 	C4H9NO3	C00263	15699	119.1192	native	amino acid	ecHomoserine.mat
L-isoleucine 	C6H13NO2	C00407	17191	131.175	native	amino acid	ecIsoleucine.mat
L-leucine 	C6H13NO2	C00123	15603	131.17296	native	amino acid	ecLeucine.mat
L-lysine 	C6H15N2O2	C00047	32551	147.19558	native	amino acid	ecLysine.mat
L-methionine 	C5H11NO2S	C00073	16643	149.21238	native	amino acid	ecMethionine.mat
L-phenylalanine 	C9H11NO2	C00079	17295	165.18918	native	amino acid	ecPhenylalanine.mat
L-proline 	C5H9NO2	C00148	17203	115.1305	native	amino acid	ecProline.mat
L-serine 	C3H7NO3	C00065	17115	105.09262	native	amino acid	ecSerine.mat
L-threonine 	C4H9NO3	C00188	16857	119.1192	native	amino acid	ecThreonine.mat
L-tryptophan 	C11H12N2O2	C00078	16828	204.22526	native	amino acid	ecTryptophan.mat
L-tyrosine 	C9H11NO3	C00082	17895	181.18858	native	amino acid	ecTyrosine.mat
L-valine 	C5H11NO2	C00183	16414	117.14638	native	amino acid	ecValine.mat
ornithine 	C5H13N2O2	C01602	46912	133.169	native	amino acid	ecOrnithine.mat
putrescine 	C4H14N2	C00134	326268	90.1674	native	bioamine	ecPutrescine.mat
spermine 	C10H30N4	C00750	45725	206.372	native	bioamine	ecSpermine.mat
