chemical	class	ecModel	original	cluster
linalool 	terpene	ecLinalool.mat	c1	cluster_1
artemisinic acid 		ecArtemisinic_acid.mat	c1	cluster_1
_-Amyrin 		ecbeta_Amyrin.mat	c1	cluster_1
Geraniol 	terpene	ecGeraniol.mat	c1	cluster_1
Limonene 	terpene	ecLimonene.mat	c1	cluster_1
amorphadiene 		ecAmorphadiene.mat	c1	cluster_1
Santalene 	terpene	ecSantalene.mat	c1	cluster_1
squalene	terpene	ecsqualene.mat	c1	cluster_1
alpha-Farnesene 	terpene	ecFarnesene.mat	c1	cluster_1
triacylglycerol 	fatty acids and lipids	ectriacylglycerol.mat	c2	cluster_2
ergosterol 	fatty acids and lipids	ecErgosterol.mat	c2	cluster_2
3-hydroxypropanoate 	organic acid	ec3HP-malcoa.mat	c3	cluster_3
Free fatty acids	fatty acids and lipids	ecFFAs.mat	c3	cluster_3
laurate 	fatty acids and lipids	ecLaurate.mat	c3	cluster_3
oleate 	fatty acids and lipids	ecOleate.mat	c3	cluster_3
palmitoleate 	fatty acids and lipids	ecPalmitoleate.mat	c3	cluster_3
L-cysteine 	amino acid	ecCysteine.mat	c3	cluster_4
L-alanine 	amino acid	ecAlanine.mat	c3	cluster_4
L-asparagine 	amino acid	ecAsparagine.mat	c3	cluster_4
L-aspartate 	amino acid	ecAspartate.mat	c3	cluster_4
L-histidine 	amino acid	ecHistidine.mat	c3	cluster_4
L-homoserine 	amino acid	ecHomoserine.mat	c3	cluster_4
L-isoleucine 	amino acid	ecIsoleucine.mat	c3	cluster_4
L-methionine 	amino acid	ecMethionine.mat	c3	cluster_4
L-serine 	amino acid	ecSerine.mat	c3	cluster_4
L-threonine 	amino acid	ecThreonine.mat	c3	cluster_4
L-valine 	amino acid	ecValine.mat	c3	cluster_4
3-hydroxypropanoate 	organic acid	ec3HP-asp.mat	c3	cluster_4
n-butanol 	alcohol	ecn-Butanol.mat	c3	cluster_4
L-proline 	amino acid	ecProline.mat	c4	cluster_5
glutathione 	amino acid	ecGlutathione.mat	c4	cluster_5
putrescine 	bioamine	ecPutrescine.mat	c4	cluster_5
spermine 	bioamine	ecSpermine.mat	c4	cluster_5
ornithine 	amino acid	ecOrnithine.mat	c4	cluster_5
L-arginine 	amino acid	ecArginine.mat	c4	cluster_5
L-citrulline 	amino acid	ecCitrulline.mat	c4	cluster_5
L-lysine 		ecLysine.mat	c4	cluster_5
isoamylol 		ec3-methylbutanol.mat	c5	cluster_6
L-leucine 		ecLeucine.mat	c5	cluster_6
Itaconic acid 		ecItaconic_acid.mat	c5	cluster_6
L-glutamate 		ecGlutamate.mat	c5	cluster_6
L-glutamine 		ecGlutamine.mat	c5	cluster_6
