genes	enzymes	shortNames	MWs	actions	k_scores
YBL015W	P32316	ACH1	58.71137	1	1000
YBR218C	P32327	PYC2	130.16549	1	1000
YCL064C	P25379	CHA1	39.30093	1	1000
YCR053W	P16120	THR4	57.47349	1	1000
YDL171C	Q12680	GLT1	238.09944	1	1000
YDR158W	P13663	HOM2	39.54334	1	1000
YER052C	P10869	HOM3	58.10913	1	1000
YER062C	P40106	GPP2	27.8134	1	1000
YER065C	P28240	ICL1	62.40816	1	1000
YER170W	P26364	ADK2	25.19373	1	1000
YFL030W	P43567	AGX1	41.90679	1	1000
YFL053W	P43550	DAK2	62.13397	1	1000
YGL062W	P11154	PYC1	130.09827	1	1000
YHR025W	P17423	THR1	38.71215	1	1000
YIL053W	P41277	GPP1	27.94655	1	1000
YJR139C	P31116	HOM6	38.50163	1	1000
YLR027C	P23542	AAT2	46.05711	1	1000
YML070W	P54838	DAK1	62.20593	1	1000
YOL126C	P22133	MDH2	40.7305	1	1000
YOR108W	Q12166	LEU9	67.19951	1	1000
YOR120W	P14065	GCY1	35.07875	1	1000
YDR452W	Q04119	PPN1	78.34335	1	1000
YNL104C	P06208	LEU4	68.40819	1	500.738517082122
YML082W	Q04533	YML082W	74.31247	1	334.051086991009
YLL058W	Q12198	YLL058W	64.22244	1	286.491674637834
YDL022W	Q00055	GPD1	42.8683	1	84.7035297264483
YOL059W	P41911	GPD2	49.42115	1	84.7035297264483
YEL046C	P37303	GLY1	42.81463	1	36.8275999748811
YLR348C		DIC1	NaN	1	17.935383354247
YKL029C	P36013	MAE1	74.37529	1	13.7918069031789
YNL036W	P53615	NCE103	24.85889	1	6.890651938876
YPR035W	P32288	GLN1	41.7656	1	5.61951198814545
YJR109C	P03965	CPA2	123.91392	1	4.5887971738179
YOR303W	P07258	CPA1	45.36103	1	4.5887971738179
YBR296C		PHO89	NaN	1	4.02389470317181
YCR037C		PHO87	NaN	1	4.02389470317181
YJL198W		PHO90	NaN	1	4.02389470317181
YML123C		PHO84	NaN	1	4.02389470317181
YNR013C		PHO91	NaN	1	4.02389470317181
YBR263W	P37292	SHM1	53.68589	1	2.30610647114209
YJR051W	P21375	OSM1	55.06455	1	2.20741483501816
YEL047C	P32614	FRD1	50.84351	1	2.12724536731461
YHR037W	P07275	PUT2	64.43444	1	2.12724536731461
YLR089C	P52893	ALT1	66.42089	1	2.12724536731461
YLR142W	P09368	PUT1	53.27087	1	2.12724536731461
YBR208C	P32528	DUR1,2	201.82994	1	2.09195839853872
YLR438W	P07991	CAR2	46.08557	1	2.09195839853872
YER023W	P32263	PRO3	30.13145	1	2.09195839853872
YPL111W	P00812	CAR1	35.66162	1	2.09195839853872
YPL262W	P08417	FUM1	53.15125	1	1.80039269156972
YBR196C	P12709	PGI1	61.29832	1	1.59475518169873
YDL080C	Q07471	THI3	68.36566	1	1.52490367629607
YGL009C	P07264	LEU1	85.79356	1	1.49103491323669
YCL018W	P04173	LEU2	38.95257	1	1.49103491323669
YCL009C	P25605	ILV6	33.98652	1	1.46303341525331
YJR016C	P39522	ILV3	62.86049	1	1.46303341525331
YLR355C	P06168	ILV5	44.36792	1	1.46303341525331
YMR108W	P07342	ILV2	74.93608	1	1.46303341525331
YLR354C	P15019	TAL1	37.0359	1	1.442869021186
YGR043C	P53228	NQM1	37.25314	1	1.442869021186
YDR384C		ATO3	NaN	1	1.44076418892291
YGR121C		MEP1	NaN	1	1.44076418892291
YNL142W		MEP2	NaN	1	1.44076418892291
YPR138C		MEP3	NaN	1	1.44076418892291
YDR050C	P00942	TPI1	26.79508	1	1.26563982508832
YGR240C	P16861	PFK1	107.96906	1	1.26072145836432
YKL060C	P14540	FBA1	39.62024	1	1.26072145836432
YMR205C	P16862	PFK2	104.61673	1	1.26072145836432
YAL038W	P00549	CDC19	54.54404	1	1.23403817869292
YGR254W	P00924	ENO1	46.81564	1	1.23403817869292
YHR174W	P00925	ENO2	46.91368	1	1.23403817869292
YKL152C	P00950	GPM1	27.60828	1	1.23403817869292
YOR347C	P52489	PYK2	55.19478	1	1.23403817869292
YMR323W	P42222	ERR3	47.31216	1	1.23403817869292
YOR393W	P0CX10	ERR1	47.32712	1	1.23403817869292
YPL281C	P0CX11	ERR2	47.32712	1	1.23403817869292
YOR283W	Q12040	YOR283W	26.17622	1	1.23403817869292
YCL050C	P16550	APA1	36.49211	1	1.1908854077645
YKL001C	Q02196	MET14	23.06018	1	1.1908854077645
YOL064C	P32179	MET22	39.14886	1	1.1908854077645
YPL092W		SSU1	NaN	1	1.1908854077645
YPR167C	P18408	MET16	30.3799	1	1.1908854077645
YCR012W	P00560	PGK1	44.73787	1	1.18786825981427
YGR192C	P00359	TDH3	35.74626	1	1.18786825981427
YJL052W	P00360	TDH1	35.74956	1	1.18786825981427
YJR009C	P00358	TDH2	35.84645	1	1.18786825981427
YML120C	P32340	NDI1	57.24915	1	1.17893646747529
YJR130C	P47164	STR2	72.34965	1	1.13520051878786
YAL012W	P31373	CYS3	42.5416	1	1.01806045423916
YGL184C	P53101	STR3	51.82796	1	1.01806045423916
YFR055W	P43623	IRC7	36.97108	1	1.01806045423916
YER141W	P40086	COX15	54.65792	0	0.28861
YMR246W	P47912	FAA4	77.26612	0	0.2856216029516
YOR317W	P30624	FAA1	77.86529	0	0.285621602951595
YHR002W		LEU5	NaN	0	0.237701887082256
YDR503C	Q04396	LPP1	31.58604	0	0.200967389246641
YLR174W	P41939	IDP2	46.56172	0	0.136949982334726
YMR170C	P47771	ALD2	55.18718	0	0.0718998984667722
YMR110C	Q04458	HFD1	59.97826	0	0.0718998984667722
YLR153C	P52910	ACS2	75.49079	0	0.0718998984667719
YGR180C	P49723	RNR4	40.05407	0	0.0672527822194623
YER070W	P21524	RNR1	99.56021	0	0.057588504459579
YIL066C	P21672	RNR3	97.51369	0	0.057588504459579
YJL026W	P09938	RNR2	46.14681	0	0.057588504459579
YLR058C	P37291	SHM2	52.21793	0	0.0222045517155822
YAL062W	P39708	GDH3	49.62653	0	0
YBR115C	P07702	LYS2	155.34394	0	0
YBR291C		CTP1	NaN	0	0
YDL066W	P21954	IDP1	48.18986	0	0
YDL131W	Q12122	LYS21	48.59372	0	0
YDR148C	P19262	KGD2	50.43011	0	0
YDR234W	P49367	LYS4	75.14989	0	0
YER081W	P40054	SER3	51.1927	0	0
YER091C	P05694	MET6	85.85892	0	0
YER152C	P10356	YER152C	49.48976	0	0
YGL125W	P53128	MET13	68.55958	0	0
YGL154C	P50113	LYS5	30.68281	0	0
YGR087C	P26263	PDC6	61.57964	0	0
YGR208W	P42941	SER2	34.20684	0	0
YGR244C	P53312	LSC2	46.90018	0	0
YGR248W	P53315	SOL4	28.44737	0	0
YGR256W	P53319	GND2	53.92235	0	0
YHR163W	P38858	SOL3	27.78417	0	0
YHR183W	P38720	GND1	53.54274	0	0
YIL074C	P40510	SER33	51.18777	0	0
YIL094C	P40495	LYS12	40.06854	0	0
YIL125W	P20967	KGD1	114.41496	0	0
YIR034C	P38998	LYS1	41.46445	0	0
YJL060W	P47039	BNA3	50.08168	0	0
YKL085W	P17505	MDH1	35.64959	0	0
YKL106W	Q01802	AAT1	51.79484	0	0
YLR044C	P06169	PDC1	61.49468	0	0
YLR134W	P16467	PDC5	61.91138	0	0
YMR241W		YHM2	NaN	0	0
YNL241C	P11412	ZWF1	57.5209	0	0
YNR050C	P38999	LYS9	48.91735	0	0
YOR142W	P53598	LSC1	35.03207	0	0
YOR184W	P33330	SER1	43.41501	0	0
YOR375C	P07262	GDH1	49.56931	0	0
YOR388C	Q08911	FDH1	41.7138	0	0
YPL023C	P46151	MET12	73.94088	0	0
YPR021C		AGC1	NaN	0	0
YJL200C	P39533	ACO2	86.58224	0	0
