genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YAR035W	P80235	YAT1	77.76483	2	1000	2	0	3.57730263370063e-07	3.57458143050871e-07
YBL015W	P32316	ACH1	58.71137	1	1000	2	0	0.00119225203231543	6.72736422096e-12
YBR252W	P33317	DUT1	15.30716	1	1000	2	0	1.22421750710131e-09	0
YCL064C	P25379	CHA1	39.30093	2	1000	2	0	1.19913060619657e-05	1.18132929319001e-05
YDR300C	P32264	PRO1	47.16164	2	1000	2	0	1.09434376318259e-07	1.0902612724658e-07
YEL046C	P37303	GLY1	42.81463	2	1000	2	2.41627438442226e-06	2.41632957913521e-06	2.41627438442249e-06
YER024W	P40017	YAT2	103.33286	1	1000	2	0	9.5009280239191e-07	0
YER170W	P26364	ADK2	25.19373	1	1000	2	0	0.00277842422943276	4.17441764088e-13
YML042W	P32796	CAT2	77.24096	2	1000	2	3.51703524567248e-07	3.60814806845613e-07	3.60540340157832e-07
YNL037C	P28834	IDH1	39.32357	2	1000	2	3.00532493068929e-06	3.1649570052829e-06	3.0061091920766e-06
YOR100C		CRC1	NaN	1	1000	2	0	0	0
YOR136W	P28241	IDH2	39.73903	2	1000	2	3.00532493068929e-06	3.1649570052829e-06	3.0061091920766e-06
YOR323C	P54885	PRO2	49.73991	2	1000	2	0	1.41859443915848e-08	1.41330231905917e-08
YJR069C	P47119	HAM1	22.09268	1	1000	2	0	0.00316841250794242	2.24493940771906e-11
efe	Q9Z3T0	efe	38.064	2	1000	2	0.000514421355261401	0.000514421355261402	0.000514421355261401
YAL054C	Q01574	ACS1	79.13997	1	668.233040927415	2	0	1.66525107168575e-06	7.82703527448e-13
YLR174W	P41939	IDP2	46.56172	1	22.3112775830409	2	2.85688045687392e-06	0.0015062340682999	2.87861574714439e-06
YLR304C	P19414	ACO1	85.36736	1	12.7493351364302	2	0	0.000823669136655056	3.69821625058784e-06
YCR053W	P16120	THR4	57.47349	2	10.8305965590754	2	2.62750865468525e-08	2.62785425141006e-08	2.62779608740555e-08
YDR158W	P13663	HOM2	39.54334	2	10.8305965590754	2	5.64879588941737e-07	5.64892092065262e-07	5.64879588941796e-07
YER052C	P10869	HOM3	58.10913	2	10.8305965590754	2	4.72308394219535e-07	4.72318849597409e-07	4.72308394219583e-07
YHR025W	P17423	THR1	38.71215	2	10.8305965590754	2	2.62750859700401e-06	2.62785425829798e-06	2.62779608740555e-06
YJR139C	P31116	HOM6	38.50163	2	10.8305965590754	2	4.74817203282628e-06	4.74827714197358e-06	4.74817203282685e-06
YOL126C	P22133	MDH2	40.7305	1	9.53569601593982	2	3.07568831789595e-08	0.00171861475674516	3.07576507833081e-08
YKL085W	P17505	MDH1	35.64959	1	9.40567157889298	2	1.39162479894263e-06	0.0019649140142676	1.39168652429469e-06
YNR001C	P00890	CIT1	53.35945	2	9.40567157889298	2	0	1.87528442650549e-06	1.87527402977217e-06
YPR001W	P43635	CIT3	53.81073	1	9.40567157889298	2	0	1.87528442650559e-06	0
YBR218C	P32327	PYC2	130.16549	1	6.35496404301364	2	0	6.34423311607181e-06	0
YGL062W	P11154	PYC1	130.09827	2	6.35496404301364	2	0	6.34423311607052e-06	6.28526158684356e-06
YLR153C	P52910	ACS2	75.49079	2	4.69912278224643	2	0	1.66525028898351e-06	1.66506158119856e-06
YPL061W	P54115	ALD6	54.41344	2	4.69912278224643	2	4.72166349552521e-06	4.72299900880148e-06	4.72273086634319e-06
YNL036W	P53615	NCE103	24.85889	1	4.30892226784855	2	0	0.00281584408395165	4.10225626985029e-10
YLR027C	P23542	AAT2	46.05711	1	3.8302765365754	2	0	0.00152002393732741	1.97774257610929e-07
YAL038W	P00549	CDC19	54.54404	2	2.61215158282222	2	0	2.23579975208826e-06	2.23576332005476e-06
YOR347C	P52489	PYK2	55.19478	1	2.61215158282222	2	0	2.23579975208826e-06	0
YBR221C	P32473	PDB1	40.0532	2	2.51594769969937	2	2.52865334243449e-06	2.52873773607062e-06	2.52873773607046e-06
YER178W	P16387	PDA1	46.34261	2	2.51594769969937	2	2.52865334243449e-06	2.52873773607062e-06	2.52873773607046e-06
YGR193C	P16451	PDX1	45.36125	2	2.51594769969937	2	2.52865334243449e-06	2.52873773607062e-06	2.52873773607046e-06
