family	Lvl1	Lvl2	LVl3	type
AA	25.19	15.46	4.04	OE
AA	29	10.65	7.27	KD
AA	12.46	4.85	4.27	KO
alk	22.33	11.83	18.33	OE
alk	47.67	10.67	4.67	KD
alk	13.17	6.83	4.5	KO
oAc	21.71	14.21	2.14	OE
oAc	34.79	8.71	5.93	KD
oAc	18.86	10.43	8.29	KO
alc	14.88	10.5	5	OE
alc	49.38	12.25	8.38	KD
alc	9.75	4	3.12	KO
ter	18.23	9.73	6.18	OE
ter	51.36	11.55	7.5	KD
ter	18.27	5.68	5.32	KO
FAL	21.89	13.89	8.67	OE
FAL	38.67	12.22	3.11	KD
FAL	10.22	4.89	3.67	KO
fla	17.8	10.8	7	OE
fla	74	12.4	10	KD
fla	20.4	8.4	8.4	KO
aro	13.44	9.33	5.11	OE
aro	49.44	10.22	8.33	KD
aro	24.89	18.22	18.22	KO
bio	35.5	22	18	OE
bio	29	12.5	8.5	KD
bio	4	4	3.5	KO
stb	12	8	4	OE
stb	80	11	11	KD
stb	21	14	14	KO
