genes	enzymes	shortNames	MWs	actions	k_scores
YBR208C	P32528	DUR1,2	201.82994	1	1000
YDL080C	Q07471	THI3	68.36566	1	1000
YDL171C	Q12680	GLT1	238.09944	1	1000
YDR321W	P38986	ASP1	41.3948	1	1000
YEL046C	P37303	GLY1	42.81463	1	1000
YEL047C	P32614	FRD1	50.84351	1	1000
YER065C	P28240	ICL1	62.40816	1	1000
YFL030W	P43567	AGX1	41.90679	1	1000
YGR248W	P53315	SOL4	28.44737	1	1000
YGR256W	P53319	GND2	53.92235	1	1000
YHR037W	P07275	PUT2	64.43444	1	1000
YHR163W	P38858	SOL3	27.78417	1	1000
YHR183W	P38720	GND1	53.54274	1	1000
YKL106W	Q01802	AAT1	51.79484	1	1000
YKR097W	P10963	PCK1	60.98257	1	1000
YLR089C	P52893	ALT1	66.42089	1	1000
YLR142W	P09368	PUT1	53.27087	1	1000
YLR438W	P07991	CAR2	46.08557	1	1000
YNL241C	P11412	ZWF1	57.5209	1	1000
YPL111W	P00812	CAR1	35.66162	1	1000
YDR452W	Q04119	PPN1	78.34335	1	1000
YDR380W	Q06408	ARO10	71.38357	1	92.4717113347962
YPR035W	P32288	GLN1	41.7656	1	31.4119562353456
YJR051W	P21375	OSM1	55.06455	1	9.70751061390785
YOR095C	Q12189	RKI1	28.25777	1	7.32090733321481
YJR095W		SFC1	NaN	1	6.98697584825658
YDR384C		ATO3	NaN	1	6.02319449117974
YGR121C		MEP1	NaN	1	6.02319449117974
YNL142W		MEP2	NaN	1	6.02319449117974
YPR138C		MEP3	NaN	1	6.02319449117974
YKL069W	P36088	YKL069W	19.73402	1	4.73981637448849
YPL262W	P08417	FUM1	53.15125	1	3.96999077615602
YER023W	P32263	PRO3	30.13145	1	3.74272191667038
YLR155C	P0CZ17	ASP3-1	38.6862	1	3.55917152167523
YLR157C	P0CX77	ASP3-2	38.6862	1	3.55917152167523
YLR158C	P0CX78	ASP3-3	38.6862	1	3.55917152167523
YLR160C	P0CX79	ASP3-4	38.6862	1	3.55917152167523
YER081W	P40054	SER3	51.1927	1	2.10836986930197
YIL074C	P40510	SER33	51.18777	1	2.10836986930197
YOR184W	P33330	SER1	43.41501	1	2.10836986930197
YGR208W	P42941	SER2	34.20684	1	2.10836986930197
YKL029C	P36013	MAE1	74.37529	1	1.42346982031695
YCR012W	P00560	PGK1	44.73787	1	1.25610203212629
YGR192C	P00359	TDH3	35.74626	1	1.25610203212629
YJL052W	P00360	TDH1	35.74956	1	1.25610203212629
YJR009C	P00358	TDH2	35.84645	1	1.25610203212629
YDR050C	P00942	TPI1	26.79508	1	1.17836390048458
YGR240C	P16861	PFK1	107.96906	1	1.16770136088286
YKL060C	P14540	FBA1	39.62024	1	1.16770136088286
YMR205C	P16862	PFK2	104.61673	1	1.16770136088286
YAL012W	P31373	CYS3	42.5416	1	1.0435155049468
YGL184C	P53101	STR3	51.82796	1	1.0435155049468
YFR055W	P43623	IRC7	36.97108	1	1.0435155049468
YDR516C	Q04409	EMI2	55.92028	1	1.00082646468005
YER141W	P40086	COX15	54.65792	0	0.149704166666667
YJL130C	P07259	URA2	245.03829	0	0.138237154577845
YOR303W	P07258	CPA1	45.36103	0	0.115957811105925
YJR109C	P03965	CPA2	123.91392	0	0.115955964707781
YAL054C	Q01574	ACS1	79.13997	0	0.114947690389182
YPL061W	P54115	ALD6	54.41344	0	0.114947690389182
YLR153C	P52910	ACS2	75.49079	0	0.114947690389182
YAL044C	P39726	GCV3	18.79276	0	0.109039641718511
YDR019C	P48015	GCV1	44.46849	0	0.109039641718511
YMR189W	P49095	GCV2	114.45033	0	0.109039641718511
YDR503C	Q04396	LPP1	31.58604	0	0.107871374879371
YFL018C	P09624	LPD1	54.00934	0	0.0993975597935166
YMR246W	P47912	FAA4	77.26612	0	0.0847342543259751
YOR317W	P30624	FAA1	77.86529	0	0.0706118695411067
YBR263W	P37292	SHM1	53.68589	0	0.0655791971596124
YDR353W	P29509	TRR1	34.23767	0	0.0338854386326485
YGR180C	P49723	RNR4	40.05407	0	0.0124569783018051
YHR002W		LEU5	NaN	0	0.0108146911069988
YER070W	P21524	RNR1	99.56021	0	0.0106669007111913
YIL066C	P21672	RNR3	97.51369	0	0.0106669007111913
YJL026W	P09938	RNR2	46.14681	0	0.0106669007111913
YBR221C	P32473	PDB1	40.0532	0	0.00460850351423483
YER178W	P16387	PDA1	46.34261	0	0.00460850351423483
YGR193C	P16451	PDX1	45.36125	0	0.00460850351423483
YNL071W	P12695	LAT1	51.81762	0	0.00460850351423483
YLR058C	P37291	SHM2	52.21793	0	0.00287944446328907
YAL038W	P00549	CDC19	54.54404	0	0
YBR115C	P07702	LYS2	155.34394	0	0
YCL009C	P25605	ILV6	33.98652	0	0
YCL018W	P04173	LEU2	38.95257	0	0
YCL040W	P17709	GLK1	55.37689	0	0
YCR053W	P16120	THR4	57.47349	0	0
YDL066W	P21954	IDP1	48.18986	0	0
YDL131W	Q12122	LYS21	48.59372	0	0
YDR158W	P13663	HOM2	39.54334	0	0
YDR234W	P49367	LYS4	75.14989	0	0
YDR300C	P32264	PRO1	47.16164	0	0
YER052C	P10869	HOM3	58.10913	0	0
YER069W	Q01217	ARG5,6	94.86823	0	0
YER152C	P10356	YER152C	49.48976	0	0
YFR053C	P04806	HXK1	53.73784	0	0
YGL009C	P07264	LEU1	85.79356	0	0
YGL080W		MPC1	NaN	0	0
YGL154C	P50113	LYS5	30.68281	0	0
YGL253W	P04807	HXK2	53.9419	0	0
YGR243W		MPC3	NaN	0	0
YHR018C	P04076	ARG4	51.9886	0	0
YHR025W	P17423	THR1	38.71215	0	0
YHR162W		MPC2	NaN	0	0
YIL094C	P40495	LYS12	40.06854	0	0
YIR034C	P38998	LYS1	41.46445	0	0
YJL088W	P05150	ARG3	37.84479	0	0
YJR016C	P39522	ILV3	62.86049	0	0
YJR139C	P31116	HOM6	38.50163	0	0
YLR355C	P06168	ILV5	44.36792	0	0
YMR062C	Q04728	ARG7	47.84821	0	0
YMR108W	P07342	ILV2	74.93608	0	0
YMR241W		YHM2	NaN	0	0
YNL037C	P28834	IDH1	39.32357	0	0
YNL104C	P06208	LEU4	68.40819	0	0
YNR050C	P38999	LYS9	48.91735	0	0
YOL058W	P22768	ARG1	46.92715	0	0
YOL126C	P22133	MDH2	40.7305	0	0
YOL140W	P18544	ARG8	46.68082	0	0
YOR130C		ORT1	NaN	0	0
YOR136W	P28241	IDH2	39.73903	0	0
YOR323C	P54885	PRO2	49.73991	0	0
YOR347C	P52489	PYK2	55.19478	0	0
YOR388C	Q08911	FDH1	41.7138	0	0
YLR446W	Q06204	YLR446W	48.96875	0	0
YJL200C	P39533	ACO2	86.58224	0	0
