models	chemClass	cand_1_total	cand_1_OE	cand_1_dR	cand_1_del	cand_2_total	cand_2_OE	cand_2_dR	cand_2_del	cand_3_total	cand_3_OE	cand_3_dR	cand_3_del
ecacetate	organic acid	81	24	31	19	51	18	9	17	27	1	9	17
ecadipic_acid	organic acid	38	9	21	7	16	7	7	1	8	5	2	1
ecalanine	amino acid	92	21	49	20	27	10	13	2	12	0	10	2
ecamorphadiene	terpene	56	21	16	15	19	11	7	0	14	11	3	0
ecara	fatty acids and lipids	145	24	86	28	50	16	18	15	27	7	6	14
ecarginine	amino acid	65	41	6	9	46	30	4	5	15	6	4	5
ecartemisinic_acid	terpene	65	28	19	15	26	17	9	0	18	13	5	0
ecasparagine	amino acid	54	23	15	6	35	13	9	5	8	8	0	0
ecaspartate	amino acid	101	23	62	11	63	9	45	4	49	0	45	4
ecastaxanthin	terpene	116	16	74	19	31	9	14	7	14	9	3	2
ecbeta_amyrin	terpene	60	23	19	15	24	15	9	0	11	7	4	0
ecbeta_carotene	terpene	114	14	74	19	31	7	14	9	21	6	7	8
ecbeta_ionone	aromatic	115	15	74	19	30	8	14	7	21	3	11	7
ecbetaxanthin	terpene	118	13	79	19	29	6	15	7	21	2	12	7
eccaffeic_acid	organic acid	118	13	79	19	28	6	14	7	20	2	11	7
eccatechin	flavonoid	118	20	72	19	33	13	12	7	25	9	9	7
eccholine	alkaloid	52	18	17	9	28	12	6	8	18	7	3	8
eccinnamate	aromatic	39	14	21	2	22	12	7	1	12	9	2	1
eccinnamoyltropine	alkaloid	126	21	79	19	36	12	16	7	21	10	5	6
eccis_muconate	organic acid	60	13	40	6	19	6	9	3	12	4	7	1
eccitrate	organic acid	70	25	24	18	37	17	9	8	14	0	6	8
eccitrulline	amino acid	76	36	23	5	46	23	9	4	19	6	9	4
eccoumaric_acid	aromatic	90	13	51	20	36	9	12	14	29	3	12	14
eccysteine	amino acid	61	25	21	6	30	14	12	1	12	11	1	0
ecdha	fatty acids and lipids	131	25	80	19	43	17	18	7	18	10	3	5
ecdocosanol	alcohol	116	12	78	19	26	5	13	7	16	3	7	6
ecepa	fatty acids and lipids	138	25	87	19	43	17	18	7	16	8	3	5
ecergosterol	fatty acids and lipids	73	39	20	11	39	29	9	1	24	19	4	1
ecergothioneine	amino acid	112	14	72	19	25	6	11	7	16	1	8	7
ecfarnesene	terpene	52	22	13	15	19	12	7	0	13	11	2	0
ecffas	fatty acids and lipids	44	18	17	0	26	12	11	0	15	15	0	0
ecfumaric_acid	organic acid	49	11	20	12	24	4	8	6	3	0	1	2
ecgenistein	flavonoid	121	17	78	19	31	10	13	7	23	6	10	7
ecgeraniol	terpene	64	20	18	22	27	10	9	7	20	10	5	5
ecglutamate	amino acid	90	22	25	34	35	15	7	8	15	0	7	8
ecglutamine	amino acid	90	27	28	29	37	16	8	7	10	9	1	0
ecglutathione	amino acid	92	22	32	18	51	20	15	5	13	1	7	5
ecglycerol	alcohol	49	10	26	9	27	7	8	8	17	1	8	8
ecglycine	amino acid	100	39	14	38	65	28	6	22	28	1	6	21
ecglycolate	organic acid	94	46	15	25	64	36	4	18	22	0	4	18
ecglycyrrhetinic_acid	terpene	114	14	74	19	29	7	14	7	21	3	11	7
echexanoate	organic acid	89	28	25	29	45	17	7	20	27	0	7	20
echistidine	amino acid	59	28	13	13	33	14	10	7	19	8	4	7
echomoserine	amino acid	58	14	34	2	28	12	11	1	11	8	3	0
echydroxymandelic_acid	aromatic	39	10	23	2	18	8	5	1	9	6	2	1
echypoxanthine	alkaloid	116	29	27	7	64	14	10	6	39	37	2	0
ecisobutanol	alcohol	109	15	85	2	38	9	20	2	19	0	17	2
ecisoleucine	amino acid	55	23	17	3	30	15	10	0	6	0	6	0
ecitaconic_acid	organic acid	74	19	18	32	34	9	8	17	8	8	0	0
eckaempferol	flavonoid	116	18	72	19	31	11	12	7	23	7	9	7
ecl_pac	alcohol	89	12	50	21	31	7	12	6	7	0	4	3
eclactate	organic acid	128	12	102	7	34	5	18	4	19	1	14	4
eclaurate	fatty acids and lipids	69	35	21	7	35	16	11	7	19	1	11	7
ecleucine	amino acid	69	25	19	15	31	15	5	6	12	1	5	6
eclimonene	terpene	55	21	16	15	18	11	7	0	14	10	4	0
eclinalool	terpene	78	33	23	19	34	17	10	7	19	5	7	7
eclupeol	terpene	112	12	74	19	29	5	14	9	21	1	11	9
eclycopene	terpene	115	15	74	19	29	7	14	7	20	2	11	7
eclysine	amino acid	80	36	18	19	31	18	5	8	14	1	5	8
ecmalate	organic acid	48	11	20	11	24	4	8	6	3	0	1	2
ecmandelic_acid	aromatic	39	13	22	2	22	11	8	1	14	8	5	1
ecmethionine	amino acid	58	34	15	4	33	23	9	0	17	17	0	0
ecmethylbutanol	alcohol	61	22	17	16	34	17	6	5	14	6	3	5
ecmiltiradiene	terpene	114	14	74	19	29	7	14	7	20	2	11	7
ecn_butanol	alcohol	62	28	27	1	38	21	15	1	32	21	11	0
