b1	b2	b3
acetate	8	native
adipic_acid	8	heterologous
alanine	3	native
amorphadiene	10	heterologous
ara	6	heterologous
arginine	3	native
artemisinic_acid	10	heterologous
asparagine	3	native
aspartate	3	native
astaxanthin	10	heterologous
beta_amyrin	10	heterologous
beta_carotene	10	heterologous
beta_ionone	4	heterologous
betaxanthin	10	heterologous
caffeic_acid	8	heterologous
catechin	7	heterologous
choline	2	native
cinnamate	4	heterologous
cinnamoyltropine	2	heterologous
cis_muconate	8	heterologous
citrate	8	native
citrulline	3	native
coumaric_acid	4	heterologous
cysteine	3	native
dha	6	heterologous
docosanol	1	heterologous
epa	6	heterologous
ergosterol	6	native
ergothioneine	3	heterologous
farnesene	10	heterologous
ffas	6	native
fumaric_acid	8	native
genistein	7	heterologous
geraniol	10	heterologous
glutamate	3	native
glutamine	3	native
glutathione	3	native
glycerol	1	native
glycine	3	native
glycolate	8	native
glycyrrhetinic_acid	10	heterologous
hexanoate	8	native
histidine	3	native
homoserine	3	native
hydroxymandelic_acid	4	heterologous
hypoxanthine	2	native
isobutanol	1	native
isoleucine	3	native
itaconic_acid	8	heterologous
kaempferol	7	heterologous
l_pac	1	heterologous
lactate	8	native
laurate	6	native
leucine	3	native
limonene	10	heterologous
linalool	10	heterologous
lupeol	10	heterologous
lycopene	10	heterologous
lysine	3	native
malate	8	native
mandelic_acid	4	heterologous
methionine	3	native
methylbutanol	1	native
miltiradiene	10	heterologous
n_butanol	1	heterologous
naringenin	7	heterologous
nicotianamine	3	heterologous
nootkatone	10	heterologous
oleanolate	10	heterologous
oleate	6	native
ornithine	3	native
oxoglutarate	8	native
palmitoleate	6	native
patchoulol	10	heterologous
phenylalanine	3	native
phenylethanol	1	native
proline	3	native
protopanaxadiol	10	heterologous
psilocybin	2	heterologous
putrescine	5	native
pyruvate	8	native
quercetin	7	heterologous
resveratrol	9	heterologous
rosmarinic_acid	4	heterologous
rrbutanediol	1	native
s_reticuline	2	heterologous
salidroside	4	heterologous
santalene	10	heterologous
serine	3	native
spermine	5	native
squalene	10	heterologous
succinate	8	native
taxadien_alpha_yl_acetate	10	heterologous
threonine	3	native
triacylglycerol	6	native
tryptophan	3	native
tyrosine	3	native
tyrosol	4	heterologous
valencene	10	heterologous
valine	3	native
vanillin_beta_glucoside	4	heterologous
xanthine	2	native
